cell,regime,fundamental,mm,vt,free_params,fixed_params,D,dKS,dV,dACF1,dACF2,dHill,ret_std,ret_kurtosis,hill,acf_r_1,acf_absr_1,acf_absr_5,acf_absr_10,acf_absr_20,surrogate_r2,n_samples,timestamp
C0,calm,Kalman,0,0,ft_sigma_c|zi_alpha|zi_mu|zi_delta,p_zi,48.362060300630645,23.367608349600623,6.501066960005538,4.385220484177193,13.28087623956058,0.8272882672867043,0.0003548455515128082,9.015261256092051,3.0212740333674675,0.028001501993613804,0.18887605783812603,0.09444802790385809,0.09516407983259549,0.07546422919713862,0.8968751041818505,192,2026-06-01T20:06:05Z
C0,stressed,Kalman,0,0,ft_sigma_c|zi_alpha|zi_mu|zi_delta,p_zi,29.106262968577973,18.44632961659098,0.06343019920469989,2.629201437370072,4.040878988914252,3.9264227264979734,0.0018126035647041065,58.444252180197964,2.4423748496985573,-0.04735225157960913,0.26423713553554234,0.13018264408332905,0.06626956073432398,0.04407276423718823,0.9496416424024842,192,2026-06-01T20:06:05Z
C1,calm,SV-MJD,0,0,ft_sigma_c|zi_alpha|zi_mu|zi_delta,p_zi,47.1656075683926,24.386946014674994,0.9060488619443251,2.4665286136480504,14.922612494975777,4.483471583149455,0.00030534107829888657,16.917226161782768,2.6129201609398702,-0.011666030588997851,0.150351783532335,0.10067791109885847,0.06887523785496107,0.06375460076508166,0.8845631063586857,192,2026-06-01T20:58:47Z
C1,stressed,SV-MJD,0,0,ft_sigma_c|zi_alpha|zi_mu|zi_delta,p_zi,36.92340134233646,22.946876250845563,0.4627484271040092,3.3497795885690658,4.437029777742859,5.726967298074962,0.0018954853719212843,47.90737299107156,2.104801421249626,-0.05114880659878159,0.21887448330512582,0.11800908737729265,0.06704282597601531,0.04678749062737415,0.9644173239397185,192,2026-06-01T20:58:47Z
C2,calm,Kalman,4,0,ft_sigma_c|zi_alpha|zi_mu|zi_delta,p_zi,51.461259338490855,18.479886166898453,5.708062774554187,6.36875704407636,14.702198553330211,6.2023547996316415,0.0003478290854765665,16.61950458975775,2.4807521402669606,0.057574259062856896,0.18267094618887936,0.07821996611358562,0.07034550072061023,0.06308494238334976,0.9346617151587638,192,2026-06-01T21:57:31Z
C2,stressed,Kalman,4,0,ft_sigma_c|zi_alpha|zi_mu|zi_delta,p_zi,33.4172098792745,21.694584851073106,3.2939879363326687,1.26812191005955,3.916845183036,3.24366999877318,0.0013037374683159365,24.927354112232283,2.5703801113950537,0.00919789937319052,0.2197155910418669,0.15732807664520065,0.08254801114220399,0.05121376177177997,0.9811231567664156,192,2026-06-01T21:57:31Z
C3,calm,Kalman,0,10,ft_sigma_c|zi_alpha|zi_mu|zi_delta,p_zi,52.80400047132979,18.12614151636531,10.730879596611805,5.1872459168985365,13.108036821035508,5.651696620418627,0.0003922707470526299,13.861725920980156,2.523093237623697,0.036018190989015215,0.18197306920434456,0.11007993555073652,0.09223449792327494,0.07645380285839166,0.8961463927154673,192,2026-06-01T22:54:18Z
C3,stressed,Kalman,0,10,ft_sigma_c|zi_alpha|zi_mu|zi_delta,p_zi,21.269927485654495,9.6620923997278,3.603820100239124,5.205716058300474,2.75917219019683,0.03912673719026876,0.002390255938134634,19.859245900993287,3.1711809316035797,-0.08387134962549954,0.25653368450301944,0.15368865732734946,0.11100232532554599,0.09153869395075555,0.9749310339862318,192,2026-06-01T22:54:18Z
C4,calm,Kalman,0,0,zi_alpha|zi_mu|zi_delta,ft_sigma_c,102.69422154787534,46.988178052348054,6.83736706182364,7.383227513631776,22.54119186361763,18.944257056454248,0.0003578211199721957,5255.751244785843,1.501004368723473,0.044298611213661014,0.03971213056769573,0.012343247791884926,0.0049674039541106356,0.005258662833535598,0.8693272044851535,192,2026-06-01T23:49:01Z
C4,stressed,Kalman,0,0,zi_alpha|zi_mu|zi_delta,ft_sigma_c,71.90077197007732,51.2450818995004,0.3541110601371537,1.5153974982962357,8.619137037511134,10.167044474632393,0.0017668165374990295,1409.4906286778062,1.272357671325908,0.0005820727409076302,0.03281775542344321,0.024771368058912484,0.0006688849173290499,0.0015348116447209952,0.8225972469956775,192,2026-06-01T23:49:01Z
C5,calm,Kalman,0,0,ft_sigma_c|zi_mu|zi_delta,zi_alpha,66.35407593080697,21.468418559333674,13.545828828376054,4.829573127392767,14.057366416885701,12.452888998818775,0.00041717729362675287,33.707883920584756,2.00013732866527,-0.03921651942007114,0.2582117472602204,0.0770271586515032,0.04638329168891647,0.04339359299142723,0.9081862621536461,192,2026-06-02T00:38:32Z
C5,stressed,Kalman,0,0,ft_sigma_c|zi_mu|zi_delta,zi_alpha,26.67673708672534,13.300030185040372,3.097350021461518,4.851067495154515,3.1239940832064708,2.3042953018624655,0.002310478552030991,54.527259656177286,2.7464979048893796,-0.08511911245201881,0.2551907906507364,0.15302988139793142,0.0961931672242894,0.0728762520988875,0.9605642058657812,192,2026-06-02T00:38:32Z
C6,calm,Kalman,0,0,ft_sigma_c|zi_alpha|zi_delta,zi_mu,48.27603348652661,22.2991262636347,3.9957999388233865,7.439045672162687,14.015444762189656,0.5266168497161829,0.0003326790594711097,5.856748801722901,2.998154867532256,0.05741461376554302,0.1651648210363473,0.09955946391550313,0.08845993766517905,0.06925314972276381,0.9300019906406354,192,2026-06-02T01:31:10Z
C6,stressed,Kalman,0,0,ft_sigma_c|zi_alpha|zi_delta,zi_mu,29.954536815040086,19.166779196212776,1.8821948466230563,2.217985458385033,3.663094518252478,3.0244827955667426,0.0015261181520634457,40.85596109007815,2.6114742208253605,-0.03478201960399841,0.27863213405493653,0.1474405710651413,0.092647989598379,0.05798604823857704,0.9546115100822632,192,2026-06-02T01:31:10Z
C7,calm,Kalman,0,0,ft_sigma_c|zi_alpha|zi_mu,zi_delta,50.77006728386736,17.227195220709294,4.820683790659463,6.268526442100633,15.629003335237675,6.824658495160302,0.0003399775953886192,19.001852282461638,2.432902090358516,0.055551526502065685,0.16877250616919023,0.0706745041502557,0.06858689861847367,0.04786236982070169,0.8588047277564749,192,2026-06-02T02:24:30Z
C7,stressed,Kalman,0,0,ft_sigma_c|zi_alpha|zi_mu,zi_delta,30.353362919682723,19.38942256932169,1.7137960772923806,2.0807591107608183,3.75898497012622,3.410400192181611,0.0015526437341327683,54.77903664236877,2.5391208557768814,-0.03274900348284566,0.26545792816831865,0.13879879835512313,0.08827793632477088,0.04604906897616343,0.9620058202506423,192,2026-06-02T02:24:30Z
C8,calm,Kalman,0,0,ft_sigma_c,zi_alpha|zi_mu|zi_delta,59.0691539529179,24.30032037824162,15.018941667844333,5.638045717574457,12.216488622574895,1.8953575666825968,0.0004302113310193775,13.936786138696316,2.811924900501119,-0.04767328094619908,0.26289419703581224,0.10765784169813425,0.06787632020420184,0.06313457761746068,0.82765260144081,192,2026-06-02T03:14:12Z
C8,stressed,Kalman,0,0,ft_sigma_c,zi_alpha|zi_mu|zi_delta,33.43113730387501,18.035091685374038,2.1332613951272275,5.233004105345395,4.336177831530704,3.6936022864976468,0.0021586187012638263,54.7453165705797,2.4860249738801894,-0.09202920125898063,0.3082116715836261,0.1507774181625761,0.07750862375596837,0.041933789190226146,0.9572620740397797,192,2026-06-02T03:14:12Z
C9,calm,Kalman,0,0,ft_sigma_c|zi_alpha|zi_mu|zi_delta|p_zi,none,49.704247743188354,18.024490754717856,4.7762560481698015,7.808303190270794,15.375243173780294,3.719954576249608,0.000339584500683743,24.69115356421249,2.671628356228775,0.06974758947017279,0.1756282764622287,0.06784943518527514,0.07695066963693804,0.046685424137175156,0.8585418062638905,192,2026-06-02T04:07:13Z
C9,stressed,Kalman,0,0,ft_sigma_c|zi_alpha|zi_mu|zi_delta|p_zi,none,23.00145869555744,13.39291727495785,1.037408837525422,1.776525763039535,4.221735002312806,2.572871817721826,0.0016591858740212736,45.371580888351744,2.6961440859999612,-0.032944987819098694,0.23711255832701858,0.1214033432970326,0.06383671649995332,0.046444315269711454,0.9490094390467557,192,2026-06-02T04:07:13Z
