ts,V_smooth,sigma_t
2020-02-24 13:30:00,3387.375000000002,0.0006945178217925501
2020-02-24 13:31:00,3402.47498508133,0.0006833579848536248
2020-02-24 13:32:00,3401.128634422616,0.0007681328667942687
2020-02-24 13:33:00,3400.129228137226,0.0007620427659750326
2020-02-24 13:34:00,3403.4007365301545,0.0007220313533578776
2020-02-24 13:35:00,3407.490727613414,0.0006890805231996811
2020-02-24 13:36:00,3404.380705554333,0.0005878903896522579
2020-02-24 13:37:00,3403.4748797934535,0.0005545366774588035
2020-02-24 13:38:00,3403.881863997172,0.000649738984578146
2020-02-24 13:39:00,3406.3970222012795,0.0006303598802400999
2020-02-24 13:40:00,3404.61798064429,0.0005853303981749144
2020-02-24 13:41:00,3405.7961193992464,0.0005832165437450743
2020-02-24 13:42:00,3405.1166338984317,0.0005651690767705193
2020-02-24 13:43:00,3409.5902948686658,0.0005627893863696247
2020-02-24 13:44:00,3410.190190818965,0.00046428798654938745
2020-02-24 13:45:00,3409.8779747118892,0.00048827204538408916
2020-02-24 13:46:00,3409.1320051977905,0.0005643976163892955
2020-02-24 13:47:00,3411.060510351626,0.0005607811189911084
2020-02-24 13:48:00,3412.2599433138334,0.0005575901130980343
2020-02-24 13:49:00,3410.613107334954,0.000423386481551818
2020-02-24 13:50:00,3410.790150262647,0.00031976436176065
2020-02-24 13:51:00,3410.2598818897454,0.00010953958590126637
2020-02-24 13:52:00,3410.029336204372,7.998900810428009e-05
2020-02-24 13:53:00,3410.0181410887762,1e-10
2020-02-24 13:54:00,3409.7989874141563,4.43124223678732e-05
2020-02-24 13:55:00,3409.6042018378694,7.329024606318334e-05
2020-02-24 13:56:00,3409.311593834503,8.02039837358595e-05
2020-02-24 13:57:00,3409.3004016991376,1e-10
2020-02-24 13:58:00,3409.289209692573,1e-10
2020-02-24 13:59:00,3409.2780173682254,1e-10
2020-02-24 14:00:00,3409.266824779307,1e-10
2020-02-24 14:01:00,3409.2556328855544,1e-10
2020-02-24 14:02:00,3409.2444400603517,1e-10
2020-02-24 14:03:00,3409.2332473036477,1e-10
2020-02-24 14:04:00,3409.2220554938576,1e-10
2020-02-24 14:05:00,3409.2108636964144,1e-10
2020-02-24 14:06:00,3409.1996720447005,1e-10
2020-02-24 14:07:00,3409.188480022271,1e-10
2020-02-24 14:08:00,3409.1772876786367,1e-10
2020-02-24 14:09:00,3409.1660956291953,1e-10
