ts,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,symbol
2020-02-17 13:30:00+00:00,3387.0,3388.75,1,1,ESU0
2020-02-17 13:30:00+00:00,3387.75,3388.25,6,6,ESM0
2020-02-17 13:30:00+00:00,3387.25,3387.5,83,16,ESH0
2020-02-17 13:31:00+00:00,3387.25,3387.5,6,67,ESH0
2020-02-17 13:31:00+00:00,3387.75,3388.0,6,2,ESM0
2020-02-17 13:31:00+00:00,3387.0,3388.75,1,1,ESU0
2020-02-17 13:31:00+00:00,3372.25,3400.0,5,1,ESZ0
2020-02-17 13:32:00+00:00,3387.0,3388.75,1,1,ESU0
2020-02-17 13:32:00+00:00,3387.75,3388.25,6,6,ESM0
2020-02-17 13:32:00+00:00,3387.25,3387.5,44,85,ESH0
2020-02-17 13:33:00+00:00,3387.25,3387.5,35,58,ESH0
2020-02-17 13:33:00+00:00,3387.75,3388.25,6,6,ESM0
2020-02-17 13:33:00+00:00,3387.0,3388.75,1,1,ESU0
2020-02-17 13:34:00+00:00,3387.75,3388.25,6,6,ESM0
2020-02-17 13:34:00+00:00,3387.25,3387.5,53,57,ESH0
2020-02-17 13:35:00+00:00,3387.25,3387.5,45,61,ESH0
2020-02-17 13:35:00+00:00,3387.75,3388.25,6,6,ESM0
2020-02-17 13:35:00+00:00,3387.0,3388.75,1,1,ESU0
2020-02-17 13:36:00+00:00,3387.0,3388.75,1,1,ESU0
2020-02-17 13:36:00+00:00,3387.75,3388.25,6,6,ESM0
2020-02-17 13:36:00+00:00,3387.25,3387.5,61,45,ESH0
2020-02-17 13:37:00+00:00,3387.5,3387.75,19,60,ESH0
2020-02-17 13:37:00+00:00,3388.0,3388.5,6,6,ESM0
2020-02-17 13:37:00+00:00,3387.25,3389.0,1,1,ESU0
2020-02-17 13:38:00+00:00,3387.25,3389.0,1,1,ESU0
2020-02-17 13:38:00+00:00,3388.0,3388.5,6,5,ESM0
2020-02-17 13:38:00+00:00,3387.5,3387.75,59,47,ESH0
2020-02-17 13:39:00+00:00,3387.5,3387.75,67,48,ESH0
2020-02-17 13:39:00+00:00,3388.0,3388.5,6,5,ESM0
2020-02-17 13:39:00+00:00,3387.25,3389.0,1,1,ESU0
2020-02-17 13:40:00+00:00,3387.25,3389.0,1,1,ESU0
2020-02-17 13:40:00+00:00,3388.25,3388.5,1,5,ESM0
2020-02-17 13:40:00+00:00,3387.5,3387.75,84,30,ESH0
2020-02-17 13:41:00+00:00,3387.25,3387.5,67,59,ESH0
2020-02-17 13:41:00+00:00,3387.75,3388.25,6,6,ESM0
2020-02-17 13:41:00+00:00,3387.0,3388.75,1,1,ESU0
