date,symbol,OPrice,DPrice,Ret_mkt_t,BuyVol_LR1,SellVol_LR1,BuyVol_LRi,SellVol_LRi,IVol_t_m,IVol_q_m,VarianceRatio1,VarianceRatio2,TSignSqrtDVol1,TSignSqrtDVol2,NObsUsed1
2013-01-02,SPY,145.11,146.09,0.0071414161,106569231,92772391,93438640,82908917,3.5254624E-9,1.4227094E-9,0.0115825872,0.1521698703,-4.03147E-10,-5.941388E-9,78
2013-01-03,SPY,145.99,145.77,-0.001782532,77172297,71559382,74056568,57924985,6.0840058E-9,1.0935542E-9,0.0872743365,0.2011942656,-1.443766E-8,-1.546046E-8,78
2013-01-04,SPY,145.97,146.38,0.0032829521,63905397,56031558,54652375,50430309,5.3246556E-9,9.774341E-10,0.0552729811,0.0838629069,8.19719E-9,7.5854024E-9,78
2013-01-07,SPY,145.85,145.965,0.00047983,61985192,52534198,56854041,42810523,4.0230845E-9,6.886995E-10,0.0423621323,0.0576080441,-5.728945E-9,-6.94809E-9,78
2013-01-08,SPY,145.71,145.54,-0.001236094,68150530,56459208,61310428,47586283,1.1257637E-8,7.646086E-10,0.0005938897,0.1853712558,-1.018011E-8,-1.133768E-8,78
2013-01-09,SPY,145.86,145.95,0.0008908687,46699485,47080465,43345157,40346560,5.2429374E-9,7.320232E-10,0.012549871,0.0182398146,1.3680047E-8,1.4259789E-8,78
2013-01-10,SPY,146.73,147.07,0.0023145007,57794386,75423700,47379810,65642559,3.1012E-9,9.206054E-10,0.072921386,0.0627063325,-1.48719E-8,-1.458123E-8,78
2013-01-11,SPY,147.04,147.11,0.0002040053,60827694,60906837,56227652,52509034,2.6988684E-9,6.132328E-10,0.0332516246,0.0406381328,-1.307881E-8,-1.309536E-8,78
2013-01-14,SPY,146.89,146.96,0.0004764336,45353705,47094632,38321331,35177683,2.8567486E-9,7.722112E-10,0.0217171573,0.0441329987,-2.315195E-8,-2.323794E-8,78
2013-01-15,SPY,146.29,147.04,0.0053177109,50611120,46103427,45529487,38574583,4.8195721E-9,7.64773E-10,0.0448001525,0.079368708,-9.893694E-9,-1.329248E-8,78
2013-01-16,SPY,146.77,147.04,0.0019059294,59877656,46761555,54261950,38713875,2.7541769E-9,5.6346E-10,0.0218826173,0.1591334525,-4.873016E-9,-5.79814E-9,78
2013-01-17,SPY,147.7,147.92,0.001826361,68432205,69669670,60314050,61459506,1.5676966E-8,8.05356E-10,0.1546550075,0.0218699232,-2.738348E-9,-3.403919E-9,78
2013-01-18,SPY,147.98,148.33,0.0023623918,97508871,76103313,92316203,60219632,4.937585E-9,6.353123E-10,0.0062317604,0.0587548933,7.2818586E-9,7.1854846E-9,78
2013-01-22,SPY,148.34,149.0901,0.0051102855,57356473,60204387,52980590,52949050,7.5818738E-9,5.827538E-10,0.0493026045,0.1732926809,4.442603E-9,3.3365416E-9,78
2013-01-23,SPY,149.13,149.37,0.0016080405,59399056,50881034,50330419,45275593,2.2195303E-9,4.497208E-10,0.0750131997,0.0537944961,2.9503199E-9,2.5521919E-9,78
2013-01-24,SPY,149.15,149.38,0.0018086216,65145606,83306768,52915904,69613294,7.1596709E-9,8.700717E-10,0.01670067,0.0445859269,-7.517388E-9,-7.18963E-9,78
2013-01-25,SPY,149.88,150.2,0.0024655995,73924330,75446149,68145584,68684674,6.4559994E-9,7.654443E-10,0.0200582944,0.2094262268,-4.189154E-9,-4.209425E-9,78
2013-01-28,SPY,150.29,150.04,-0.001464909,68135930,46364733,62936998,40056257,3.4973409E-9,7.444056E-10,0.0367124402,0.0807011139,-1.122754E-8,-1.10377E-8,78
2013-01-29,SPY,149.77,150.67,0.0059248584,55522170,54732942,46628135,48348794,5.5490743E-9,7.736587E-10,0.0416361714,0.0191741611,-6.167536E-9,-3.9752E-9,78
2013-01-30,SPY,150.65,150.1,-0.00379078,73729448,64845682,66359313,53606421,5.9506559E-9,1.0221345E-9,0.0143198382,0.0654765736,-8.336663E-9,-7.721197E-9,78
