date,symbol,OPrice,DPrice,Ret_mkt_t,BuyVol_LR1,SellVol_LR1,BuyVol_LRi,SellVol_LRi,IVol_t_m,IVol_q_m,VarianceRatio1,VarianceRatio2,TSignSqrtDVol1,TSignSqrtDVol2,NObsUsed1
2008-09-02,SPY,130.06,128.09,-0.016043747,128746707,123805685,113833180,110025816,8.2662592E-9,3.3168901E-9,0.0054021931,0.0432170865,-9.295409E-9,-4.482446E-9,78
2008-09-03,SPY,127.89,127.96,-0.000078195,131335715,120669710,111238682,104631441,1.4055433E-8,4.7012334E-9,0.030035755,0.0400028714,-3.056504E-8,-3.214516E-8,78
2008-09-04,SPY,126.97,124.08,-0.023427366,175550302,164926164,152302734,134158536,4.4481336E-7,5.3502248E-9,0.0405323299,0.0271224507,-8.627562E-9,5.2178274E-9,78
2008-09-05,SPY,123.3,124.64,0.0090425289,147603835,141987742,122348978,126314939,1.1260667E-8,6.3071676E-9,0.088701206,0.0435889405,-5.706266E-8,-5.7084E-8,78
2008-09-08,SPY,128.05,127.25,-0.00571721,178607611,185751877,141617470,143706502,2.9878088E-8,8.4245539E-9,0.082451398,0.1930212384,-1.535699E-8,-2.328245E-8,78
2008-09-09,SPY,127.1,122.94,-0.031002803,194530525,182854253,161062165,152859422,1.1002711E-7,8.7417361E-9,0.0668309252,0.0079146201,-5.587904E-8,-5.830699E-8,78
2008-09-10,SPY,123.89,123.6,-0.001373127,145577251,153404066,122697656,133288354,3.3478924E-8,7.4346195E-9,0.0527848715,0.005858172,-1.773286E-8,-2.144256E-8,78
2008-09-11,SPY,122.12,125.51,0.0273812688,179132756,196289950,146716768,165660351,1.6334246E-8,9.7713684E-9,0.0528500534,0.1907001846,-7.705681E-8,-6.879173E-8,78
2008-09-12,SPY,124.29,125.75,0.0126320835,142478619,155413788,122691181,125545259,1.5516282E-8,8.003246E-9,0.0046320114,0.0793660734,8.5690787E-9,7.2234379E-9,78
2008-09-15,SPY,121.84,120.34,-0.014467247,262637810,221088909,214453912,185690696,3.2297518E-7,1.5614241E-8,0.0147997171,0.0354059595,-1.423104E-8,-1.019276E-8,78
2008-09-16,SPY,117.2,121.88,0.040958504,278074455,303925859,199235664,214930182,6.3754666E-8,2.7895083E-8,0.1329390531,0.2330877902,-2.074889E-9,1.1350612E-9,78
2008-09-17,SPY,119.62,116.3,-0.025485018,323188928,301010524,239628961,240671849,3.0048095E-7,2.0732239E-8,0.1271209036,0.2460835186,-4.413383E-8,-3.810346E-8,78
2008-09-18,SPY,118.06,120.59,0.0168819362,373082395,403162128,277356091,280101321,1.3950274E-7,3.3727111E-8,0.0763984395,0.2389320606,-5.34924E-8,-5.228045E-8,78
2008-09-19,SPY,126.92,125.04,-0.022308127,229631618,271841830,193942409,210662271,5.1798892E-7,1.833468E-8,0.1051276765,0.0190467392,-3.558455E-8,-3.619816E-8,78
2008-09-22,SPY,124.45,120.6,-0.025554776,132290345,117775614,111171699,96566678,5.4146967E-8,1.0071552E-8,0.0241437679,0.0203151568,-5.777512E-8,-4.36345E-8,78
2008-09-23,SPY,120.86,118.72,-0.019298038,177037746,151272886,132219324,119393438,3.5727891E-8,1.373806E-8,0.0506050544,0.0048780397,-8.443862E-8,-8.155983E-8,78
2008-09-24,SPY,119.19,118.84,-0.002183774,144422057,167493910,120305625,136325995,2.4736173E-8,1.4108828E-8,0.1211214669,0.043794386,-5.392333E-8,-5.520158E-8,78
2008-09-25,SPY,119.56,121.01,0.0102351632,150296497,178072920,118713755,140511689,2.4143247E-7,1.1531644E-8,0.0065113827,0.0764400657,-1.22656E-8,-3.350335E-9,78
2008-09-26,SPY,118.82,121.36,0.0169403642,147308261,138703850,121066121,120556792,6.9591351E-8,1.1715798E-8,0.0153350644,0.1218051724,-4.575825E-8,-4.035478E-8,78
2008-09-29,SPY,119.18,112.83,-0.067687177,228484504,231180836,143551607,142123617,1.507992E-6,1.5195141E-7,0.3001041056,0.0008350438,1.2285651E-7,1.2879907E-7,78
2008-09-30,SPY,113.51,116.7,0.0216130417,144808131,183977894,120419874,145637689,9.3359298E-7,1.2178713E-8,0.0104035146,0.1488931487,-6.159843E-8,-5.388268E-8,78
2008-10-01,SPY,115.19,115.99,0.0075243598,182859418,150356981,140418262,126521095,9.1363254E-8,1.5290926E-8,0.0982462748,0.1397608436,-1.888341E-8,-2.322688E-8,78
2008-10-02,SPY,114.95,111.3,-0.027338563,198924656,166790053,163997136,140448155,2.257759E-8,1.332109E-8,0.0355839619,0.0828239107,-2.245622E-8,-3.436121E-8,78
2008-10-03,SPY,112.84,109.97,-0.022404378,242706598,219235970,186726968,177236080,8.6536686E-8,2.6219284E-8,0.0319007384,0.1477828985,-1.355662E-7,-1.452754E-7,78
2008-10-06,SPY,107.12,106.27,-0.02265958,324927626,286128178,242048031,213588921,6.232686E-7,3.8865585E-8,0.0276150853,0.2465690359,-3.798706E-9,-1.149032E-9,78
2008-10-07,SPY,106.82,99.79,-0.065675034,274864710,265506743,208617809,203895238,1.7820946E-7,4.709231E-8,0.0301716983,0.0796060371,-3.356232E-8,-3.419306E-8,78
2008-10-08,SPY,97.59,98.4,-0.000820092,388013779,337986347,266707456,238959965,1.2545203E-6,8.3177043E-8,0.0420806666,0.1793265963,-9.38163E-8,-9.494682E-8,78
2008-10-09,SPY,99.66,91.75,-0.094207036,278694639,256212067,190807299,180861710,4.0073643E-7,5.8813383E-8,0.071835827,0.1276002823,-7.980504E-8,-6.937403E-8,78
2008-10-10,SPY,86.82,90.46,0.0191655421,447830726,424067702,274674766,249051822,1.1942595E-6,1.8071247E-7,0.1276354261,0.2999522516,9.803359E-8,9.0965507E-8,78
2008-10-13,SPY,93.87,100.86,0.0766690265,214229727,243201303,161936133,185096293,9.7183209E-7,2.9096492E-8,0.0172173416,0.0623431468,-1.478877E-7,-1.312088E-7,78
2008-10-14,SPY,104.71,99.93,-0.047525564,292779508,254779011,185853132,173760327,1.4180472E-7,5.9650676E-8,0.0236642437,0.0871657733,-2.334886E-8,-1.294429E-8,78
2008-10-15,SPY,97.47,90.71,-0.07951277,248686181,236051580,184969009,168996640,9.3893244E-8,4.985285E-8,0.0187489325,0.0286264859,-9.396016E-8,-5.370058E-8,78
2008-10-16,SPY,91.29,94.41,0.0268037229,360342007,348583657,228980809,225726997,3.8367666E-6,1.0491669E-7,0.0729776496,0.0166707132,-3.763803E-8,-5.104216E-8,78
2008-10-17,SPY,92,94.07,0.013066435,241675597,235183957,173104705,169715872,2.2083111E-7,5.5417946E-8,0.0792681397,0.0037631674,2.8958199E-8,2.9643747E-8,78
