date,symbol,OPrice,DPrice,Ret_mkt_t,BuyVol_LR1,SellVol_LR1,BuyVol_LRi,SellVol_LRi,IVol_t_m,IVol_q_m,VarianceRatio1,VarianceRatio2,TSignSqrtDVol1,TSignSqrtDVol2,NObsUsed1
2014-01-02,SPY,183.98,182.95,-0.005778157,68818369,52556866,67045835,46504463,8.1999417E-9,1.146078E-9,0.0165845851,0.0432358125,-8.666724E-9,-6.802665E-9,78
2014-01-03,SPY,183.21,182.8,-0.001802836,44780227,37688202,41694865,33253460,4.3060771E-9,6.739249E-10,0.0200261744,0.0720728643,-1.792546E-8,-1.766383E-8,78
2014-01-06,SPY,183.47,182.4,-0.006068411,58054243,51737392,54905221,45965838,5.8297949E-9,1.111263E-9,0.0064243614,0.0018841745,-2.647014E-8,-2.72547E-8,78
2014-01-07,SPY,183.09,183.44,0.0018552881,36413336,51481774,33288060,49327375,6.3516415E-9,6.414602E-10,0.0980610075,0.0964595252,-1.679414E-8,-1.659589E-8,78
2014-01-08,SPY,183.45,183.53,0.0003815026,51891275,45670482,47973330,42257617,2.8372679E-9,1.2133052E-9,0.021086284,0.0475195547,-1.488028E-8,-1.602895E-8,78
2014-01-09,SPY,184.1,183.63,-0.002501769,46469568,45843246,42168370,43504621,3.9249297E-9,9.729331E-10,0.0201309613,0.0632045801,-6.65741E-10,-2.61598E-10,78
2014-01-10,SPY,183.97,184.07,0.000923637,50943277,52746523,45307306,48659089,3.3423927E-9,1.0859744E-9,0.0339762273,0.1543080081,-2.10118E-8,-2.110168E-8,78
2014-01-13,SPY,183.71,181.72,-0.011221619,75857766,77452897,72133225,64616206,3.2574521E-9,1.2623879E-9,0.0511521155,0.0813722817,-2.157375E-8,-1.515317E-8,78
2014-01-14,SPY,182.28,183.68,0.0078688931,57953541,49567963,52420472,47350953,5.7889757E-9,9.387305E-10,0.0209519562,0.1638509185,-1.698012E-8,-1.188569E-8,78
2014-01-15,SPY,184.1,184.67,0.0031996556,46754830,53039518,44267813,48384718,6.6354114E-9,8.140652E-10,0.0277514475,0.0609266004,-7.28981E-10,-1.35775E-10,78
2014-01-16,SPY,184.26,184.4,0.000705276,38738790,36457702,35729051,31754417,6.079327E-9,7.270387E-10,0.0398632238,0.0300481267,-1.347068E-8,-1.608033E-8,78
2014-01-17,SPY,184.1,183.61,-0.002447316,68033784,42845617,64631675,38298010,2.6777659E-9,6.884071E-10,0.0267413542,0.0019955945,-8.635673E-9,-7.955901E-9,78
2014-01-21,SPY,184.7,184.19,-0.002819347,45937113,44100698,44482293,38979926,4.872059E-9,9.626668E-10,0.1041887841,0.0307869245,-2.922446E-8,-2.928097E-8,78
2014-01-22,SPY,184.49,184.35,-0.001030397,30023862,32199006,29593444,28214551,2.6617571E-9,7.167418E-10,0.0556934919,0.1402833217,-1.944299E-8,-2.309569E-8,78
2014-01-23,SPY,183.36,182.78,-0.003113481,76431989,57604905,69435854,54579448,1.3353007E-7,1.3722111E-9,0.0282559278,0.0478021443,-1.221824E-8,-1.240106E-8,78
2014-01-24,SPY,181.6,178.89,-0.015370832,111833219,99615295,107087324,85526695,5.420703E-8,2.1052904E-9,0.0287460556,0.1822273532,1.3133764E-8,2.8848938E-8,78
2014-01-27,SPY,179.06,178.01,-0.005881217,95014506,87423048,83118548,80820853,6.3267839E-9,2.8754698E-9,0.0246406346,0.0509917052,-6.447654E-9,-1.026881E-8,78
2014-01-28,SPY,178.16,179.07,0.0052622861,55357568,57972295,47031908,52756260,4.0688911E-9,1.4992087E-9,0.0184224426,0.0188445456,-1.021848E-8,-1.170039E-8,78
2014-01-29,SPY,177.56,177.32,-0.001578176,115081005,103411549,105503581,88426511,2.0263738E-8,4.2187545E-9,0.072187488,0.0858084556,-4.474247E-8,-5.293695E-8,78
2014-01-30,SPY,178.86,179.32,0.0020665203,59300648,62320256,51935921,57172028,2.944515E-9,1.5021746E-9,0.0532521318,0.0464240623,-2.070451E-8,-2.029254E-8,78
2014-01-31,SPY,177.02,178.1,0.0065315548,113736275,84193964,101524456,78230207,2.5691374E-8,2.1309056E-9,0.0892784219,0.1065836274,-2.390029E-8,-3.550795E-8,78
2014-02-03,SPY,177.95,174.17,-0.021585615,135381928,124128693,125984160,104718637,5.779061E-9,3.1367655E-9,0.0283202942,0.1742805788,-2.999811E-8,-2.164729E-8,78
2014-02-04,SPY,174.96,175.39,0.0022836274,72303976,96605347,68324911,85574072,1.0787349E-8,2.3414948E-9,0.0118200098,0.0349161646,-1.60275E-8,-1.584961E-8,78
2014-02-05,SPY,174.79,175.14,0.0021716776,87775975,77866252,81671460,71205336,4.8765703E-9,2.7139131E-9,0.0672988435,0.1967982499,-3.692188E-8,-3.992442E-8,78
2014-02-06,SPY,175.58,177.42,0.010763147,64439290,70784708,58787866,65410229,2.4362877E-8,1.289788E-9,0.0240212348,0.1193903307,-1.806939E-8,-1.362238E-8,78
2014-02-07,SPY,178.31,179.69,0.0079877537,77678380,95205593,71774379,85798850,1.2776951E-8,1.560582E-9,0.0429086602,0.0044431738,-2.002177E-8,-1.928434E-8,78
2014-02-10,SPY,179.7,180,0.0017236111,44317819,49133766,42993457,44201893,3.5814648E-9,1.1979575E-9,0.1232034385,0.1044054047,-8.938824E-9,-9.589244E-9,78
2014-02-11,SPY,180.16,181.95,0.010051446,60299714,59221756,54034267,55637004,2.8142044E-9,1.1811385E-9,0.0686779467,0.0987659705,-2.12655E-8,-1.884874E-8,78
2014-02-12,SPY,182.22,182.08,-0.000329327,48486779,47428523,43644163,43611823,3.6044772E-9,1.1188278E-9,0.0310674333,0.0662215016,-8.554057E-9,-8.530665E-9,78
2014-02-13,SPY,180.85,183.05,0.0118181944,49814726,51673251,42725326,45188174,2.8961712E-9,9.783019E-10,0.0618953165,0.0386341451,-8.242988E-9,-1.020361E-8,78
2014-02-14,SPY,182.84,184.01,0.0063786505,49807413,48259316,43144762,42683213,8.081159E-9,8.66533E-10,0.0008583925,0.0814123289,5.9645172E-9,7.3081613E-9,78
2014-02-18,SPY,184.19,184.2401,0.0003799701,38340288,44165250,30724304,39218983,3.52637E-9,7.801759E-10,0.0207544974,0.0847000042,-8.810162E-9,-8.894704E-9,78
2014-02-19,SPY,183.76,183.02,-0.003871219,68964536,59072242,61030618,49516005,6.1618625E-9,1.505775E-9,0.0683508906,0.0798590645,-2.54184E-8,-2.573153E-8,78
2014-02-20,SPY,183.27,184.16,0.0045186129,49591298,57624701,45258393,46608535,4.3456227E-9,1.3243395E-9,0.0212938636,0.1520212449,-2.231704E-8,-2.295614E-8,78
2014-02-21,SPY,184.49,183.91,-0.002876919,61518573,61380873,49494297,54098692,5.2586683E-9,1.0768578E-9,0.0583576784,0.0689115585,5.2862515E-9,4.6895684E-9,78
2014-02-24,SPY,184.28,184.98,0.0034128802,49902947,65889363,41010846,54598563,7.7947956E-9,9.275002E-10,0.0560944413,0.1060010156,-4.254005E-9,-2.329168E-9,78
2014-02-25,SPY,185.03,184.8,-0.001027388,59834653,60182966,47181247,51866497,3.8554788E-9,1.4226622E-9,0.0069137541,0.1157467478,-2.849392E-8,-2.865896E-8,78
2014-02-26,SPY,185.12,184.83,-0.001459578,49553499,50836391,39057777,42143468,5.0446224E-9,1.4530177E-9,0.0433573861,0.0549097642,-7.588111E-9,-8.236659E-9,78
2014-02-27,SPY,184.58,185.84,0.0069645308,47158043,48249829,37964242,42253071,3.7979321E-9,1.4022672E-9,0.0289605271,0.0084232317,-3.837185E-9,4.371002E-10,78
2014-02-28,SPY,185.78,186.33,0.0027950996,77854498,77809832,54202942,66766284,5.4181631E-9,1.4923816E-9,0.04486299,0.1683784514,-1.070369E-8,-9.821609E-9,78
2014-03-03,SPY,184.69,184.93,0.0015689672,96641359,74230707,78212537,58190378,1.0982695E-8,2.6999473E-9,0.1056711384,0.0712771165,-2.901819E-9,-5.032199E-9,78
2014-03-04,SPY,186.75,187.69,0.0044345971,83980329,87782377,72966537,68870751,2.7528436E-9,1.2533276E-9,0.0403151133,0.0156379375,-4.833986E-9,-3.413902E-9,78
