kind,c,seed,drawdown,client_defaults,cm_defaults,nbcm_defaults,waterfall_level_reached,mutualised,total_df,ccp_cash_used
gapped,1.0,42,-18.82680060992017,0,0,0,0,False,726551356.6563635,0.0
gapped,1.0,43,-18.808552602088845,0,0,0,0,False,715814753.684011,0.0
gapped,1.5,42,-26.823033455915322,0,0,0,0,False,535690429.02350545,0.0
gapped,1.5,43,-26.800842709220497,0,0,0,0,False,613812921.1540735,0.0
gapped,2.0,42,-34.0478966723473,15,0,0,0,False,497406295.37835157,0.0
gapped,2.0,43,-34.0938634631763,9,0,0,0,False,787697249.1931673,0.0
gapped,2.5,42,-40.46999730917571,15,3,3,3,False,703705816.7968113,49692835.75825882
gapped,2.5,43,-40.52176251736967,17,3,3,3,False,599657782.1196406,132110804.08901787
gapped,3.0,42,-46.40774957395281,15,3,3,4,True,797256953.3416332,48425308.49288654
gapped,3.0,43,-46.43417454838854,20,3,3,4,True,827375200.6019683,65088560.91539192
shock,1.0,42,-19.445690196430178,19,3,3,4,True,595372560.989831,39636551.83402538
shock,1.0,43,-19.47196198843516,17,3,3,4,True,620962245.027954,70635778.42249012
shock,1.5,42,-27.41949950668221,28,4,4,4,True,488202716.4521212,39636551.83402538
shock,1.5,43,-27.74664933434936,22,3,3,4,True,667743722.0664214,70635778.42249012
shock,2.0,42,-34.77441923042426,38,5,5,4,True,673753949.066445,39636551.83402538
shock,2.0,43,-35.13828499708638,30,4,4,4,True,541910979.7896794,70635778.42249012
shock,2.5,42,-41.434209346129705,39,5,5,4,True,903878804.05488,39636551.83402538
shock,2.5,43,-41.60204401810928,27,4,4,4,True,541838800.8510234,70635778.42249012
shock,3.0,42,-47.09390976769217,43,5,5,4,True,1088018060.949028,39636551.83402538
shock,3.0,43,-47.339638710834194,28,5,4,4,True,781114869.6533303,70635778.42249012
