regime,mode,varcap,margin,seed,peak_notional_B,peak_lev,stopout_share,bcm_def,nbcm_def,client_def,deepest,drawdown
calm,im,on,reactive,42,31.041168,3.881276897357737,0.0,0,0,0,0,-0.5886233318110334
calm,im,on,reactive,43,35.10599296875,3.8606661925405032,0.0,0,0,0,0,-0.5835489927436988
calm,im,on,reactive,44,34.96489875,4.0426555993156645,0.0,0,0,0,0,-0.5835489927436988
calm,im,on,reactive,45,27.557346375,3.879574823547996,0.0,0,0,0,0,-0.5835489927436988
calm,im,on,reactive,46,37.602451125,4.099187761847715,0.0,0,1,0,0,-0.6241437052823873
calm,im,on,reactive,47,36.559799625,3.9290465571665503,0.0,0,1,0,0,-0.5784746536763641
calm,free_position,off,reactive,42,53.2229300625,8.188828748884399,0.05639097744360902,0,0,0,0,-0.5835489927436988
calm,free_position,off,reactive,43,62.6016465,7.918973947154027,0.059398496240601506,0,0,0,0,-0.5835489927436988
calm,free_position,off,reactive,44,62.5809110625,8.18478781885736,0.05789473684210526,0,0,0,0,-0.6850357740904256
calm,free_position,off,reactive,45,47.6889061875,7.495704782690736,0.05488721804511278,0,0,0,0,-0.6241437052823873
calm,free_position,off,reactive,46,64.108460625,7.870249005289072,0.08195488721804511,0,0,0,0,-0.5683259755416836
calm,free_position,off,reactive,47,63.802515375,7.541216164050569,0.05263157894736842,0,1,0,0,-0.5835489927436988
stressed,im,on,reactive,42,6.5856585,0.6592817633454551,0.0,0,0,7,0,-18.791194009774472
stressed,im,on,reactive,43,6.6169845,0.6594317778784041,0.0,0,0,2,0,-18.747478370018378
stressed,im,on,reactive,44,5.9985,0.6601028287560203,0.0,0,0,3,0,-18.772692635259315
stressed,im,on,reactive,45,5.93190675,0.6594122936697574,0.0,0,0,2,0,-18.756165366334855
stressed,im,on,reactive,46,5.815696875,0.6592276383171098,0.0,0,0,1,0,-18.76849941698807
stressed,im,on,reactive,47,5.80354875,0.6601354223404265,0.0,0,0,2,0,-18.774100977490804
stressed,free_position,off,reactive,42,43.988882625,7.205360819906167,0.07575757575757576,0,0,0,0,-18.800161413262796
stressed,free_position,off,reactive,43,42.6418995,5.273585232589659,0.04090909090909091,0,0,0,0,-18.75644416550859
stressed,free_position,off,reactive,44,44.972133,5.5789456816621055,0.06060606060606061,0,0,0,0,-18.781657626966698
stressed,free_position,off,reactive,45,35.90043525,6.114900613946981,0.07272727272727272,0,0,1,0,-18.783068783068778
stressed,free_position,off,reactive,46,34.404220125,5.049478500147659,0.05606060606060606,0,0,1,0,-18.755045295542207
stressed,free_position,off,reactive,47,40.48724625,5.850829744058112,0.06363636363636363,0,0,1,0,-18.733745852389916
stressed,free_position,off,flat12,42,62.2914225,6.409275595120335,0.05454545454545454,0,0,2,0,-18.827063623727746
stressed,free_position,off,flat12,43,68.025771,5.768142000146027,0.03787878787878788,0,0,0,0,-18.760927063253686
stressed,free_position,off,flat12,44,60.36573675,6.1357396108536415,0.06666666666666667,0,0,1,0,-18.781657626966698
stressed,free_position,off,flat12,45,46.697934,6.49145976674462,0.06515151515151515,0,0,0,0,-18.760649269123842
stressed,free_position,off,flat12,46,47.072025,5.93528874486724,0.05,0,0,1,0,-18.741591174096328
stressed,free_position,off,flat12,47,52.531092,6.68754158647321,0.06212121212121212,0,0,2,0,-18.868262936059544
