t,agent_id,kind,cash,own_position,client_notional,capital_ratio,initial_margin,maintenance_margin,vm_cycle,vm_cumulative,call_indicator,has_defaulted
59,10,BCM,8790441752.926868,-132,0.0,8.2450521648523,85291.8,81027.20999999999,3052.5,3052.5,False,False
59,11,BCM,9853488248.849516,81,0.0,15.061270983173102,52338.15,49721.2425,-1873.125,-1873.125,False,False
59,12,BCM,8891916190.368809,56,0.0,19.659115398611135,36184.4,34375.18,-1295.0,-1295.0,False,False
59,13,BCM,7333600925.510171,177,0.0,5.1298025028805005,114368.55,108650.1225,-4093.125,-4093.125,False,False
59,14,BCM,5771442257.212739,225,0.0,3.175838981846452,145383.75,138114.5625,-5203.125,-5203.125,False,False
59,15,BCM,8723810640.789085,6,0.0,180.01621173182875,3876.9,3683.055,-138.75,-138.75,False,False
59,16,BCM,6629130213.19076,-148,0.0,5.545637435195793,95630.20000000001,90848.69,3422.5,3422.5,False,False
59,17,BCM,7347773113.25404,257,0.0,3.539804300662157,166060.55000000002,157757.52250000002,-5943.125,-5943.125,False,False
59,18,BCM,5649610648.552359,-135,0.0,5.181331612418727,87230.25,82868.7375,3121.875,3121.875,False,False
59,19,BCM,6134541727.12942,217,0.0,3.5000885298305606,140214.55000000002,133203.8225,-5018.125,-5018.125,False,False
59,50,NBCM,6814270.961380681,0,0.0,inf,0.0,0.0,-0.0,0.0,False,False
59,51,NBCM,7966086.300848661,0,0.0,inf,0.0,0.0,-0.0,0.0,False,False
59,52,NBCM,6959751.059820935,0,0.0,inf,0.0,0.0,-0.0,0.0,False,False
59,53,NBCM,8118496.428383067,0,0.0,inf,0.0,0.0,-0.0,0.0,False,False
59,54,NBCM,8279073.380285538,0,0.0,inf,0.0,0.0,-0.0,0.0,False,False
119,10,BCM,8790437729.926868,-298,0.0,3.6369716498634883,193357.30000000002,183689.435,-4023.0,-970.5,False,False
119,11,BCM,9853489369.349516,83,0.0,14.63718756442977,53854.55,51161.8225,1120.5,-752.625,False,False
119,12,BCM,8891915501.868809,-51,0.0,21.496652150773684,33091.35,31436.782499999998,-688.5,-1983.5,False,False
119,13,BCM,7333604557.010171,269,0.0,3.3613279460160923,174540.65000000002,165813.61750000002,3631.5,-461.625,False,False
119,14,BCM,5771446914.712739,345,0.0,2.0625823086196835,223853.25,212660.5875,4657.5,-545.625,False,False
119,15,BCM,8723809358.289085,-95,0.0,11.322132658397681,61640.75,58558.712499999994,-1282.5,-1421.25,False,False
119,16,BCM,6629126028.19076,-310,0.0,2.6365757892015442,201143.5,191086.32499999998,-4185.0,-762.5,False,False
119,17,BCM,7347779795.75404,495,0.0,1.8301918270641164,321180.75,305121.71249999997,6682.5,739.375,False,False
119,18,BCM,5649605842.552359,-356,0.0,1.9566530733466587,230990.6,219441.07,-4806.0,-1684.125,False,False
119,19,BCM,6134546924.62942,385,0.0,1.9645696991194355,249807.25,237316.88749999998,5197.5,179.375,False,False
119,50,NBCM,6814270.961380681,0,0.0,inf,0.0,0.0,0.0,0.0,False,False
119,51,NBCM,7966086.300848661,0,0.0,inf,0.0,0.0,0.0,0.0,False,False
119,52,NBCM,6959751.059820935,0,0.0,inf,0.0,0.0,0.0,0.0,False,False
119,53,NBCM,8118496.428383067,0,0.0,inf,0.0,0.0,0.0,0.0,False,False
119,54,NBCM,8279073.380285538,0,0.0,inf,0.0,0.0,0.0,0.0,False,False
179,10,BCM,8790437784.801868,-439,0.0,2.4689278341833436,284834.175,270592.46625,54.875,-915.625,False,False
179,11,BCM,9853489351.849516,140,0.0,8.678095547973658,90835.5,86293.72499999999,-17.5,-770.125,False,False
179,12,BCM,8891915511.243809,-75,0.0,14.618286716233287,48661.875,46228.78125,9.375,-1974.125,False,False
179,13,BCM,7333604501.760171,442,0.0,2.0457738698228547,286780.65,272441.6175,-55.25,-516.875,False,False
179,14,BCM,5771446845.087739,557,0.0,1.2775912142437822,361395.525,343325.74875,-69.625,-615.25,False,False
179,15,BCM,8723809374.914085,-133,0.0,8.087549239450803,86293.725,81979.03875,16.625,-1404.625,False,False
179,16,BCM,6629126083.31576,-441,0.0,1.853446699489862,286131.825,271825.23375,55.125,-707.375,False,False
179,17,BCM,7347779701.75404,752,0.0,1.2047604387561541,487916.4,463520.58,-94.0,645.375,False,False
179,18,BCM,5649605904.177359,-493,0.0,1.4129722947737362,319870.72500000003,303877.18875000003,61.625,-1622.5,False,False
179,19,BCM,6134546850.50442,593,0.0,1.2755286145823823,384753.22500000003,365515.56375000003,-74.125,105.25,False,False
179,50,NBCM,6814270.961380681,0,0.0,inf,0.0,0.0,-0.0,0.0,False,False
179,51,NBCM,7966086.300848661,0,0.0,inf,0.0,0.0,-0.0,0.0,False,False
179,52,NBCM,6959751.059820935,0,0.0,inf,0.0,0.0,-0.0,0.0,False,False
179,53,NBCM,8118496.428383067,0,0.0,inf,0.0,0.0,-0.0,0.0,False,False
179,54,NBCM,8279073.380285538,0,0.0,inf,0.0,0.0,-0.0,0.0,False,False
239,10,BCM,8790446725.551868,-546,0.0,1.9951631046478226,352470.30000000005,334846.78500000003,8940.75,8025.125,False,False
239,11,BCM,9853484832.349516,276,0.0,4.424262350091099,178171.80000000002,169263.21000000002,-4519.5,-5289.625,False,False
239,12,BCM,8891916117.118809,-37,0.0,29.78199144536315,23885.350000000002,22691.0825,605.875,-1368.25,False,False
239,13,BCM,7333593579.635171,667,0.0,1.3625457886132768,430581.85000000003,409052.7575,-10922.125,-11439.0,False,False
239,14,BCM,5771434170.837739,774,0.0,0.924065779029478,499655.7,474672.915,-12674.25,-13289.5,False,False
239,15,BCM,8723810881.414085,-92,0.0,11.751099845987865,59390.600000000006,56421.07,1506.5,101.875,False,False
239,16,BCM,6629134631.06576,-522,0.0,1.573788754444325,336977.10000000003,320128.245,8547.75,7840.375,False,False
239,17,BCM,7347762770.00404,1034,0.0,0.880632459059955,667498.7000000001,634123.765,-16931.75,-16286.375,False,False
239,18,BCM,5649615565.427359,-590,0.0,1.1866618669251647,380874.5,361830.77499999997,9661.25,8038.75,False,False
239,19,BCM,6134533373.87942,823,0.0,0.9237230903265936,531287.65,504723.2675,-13476.625,-13371.375,False,False
239,50,NBCM,6814270.961380681,0,0.0,inf,0.0,0.0,-0.0,0.0,False,False
239,51,NBCM,7966086.300848661,0,0.0,inf,0.0,0.0,-0.0,0.0,False,False
239,52,NBCM,6959751.059820935,0,0.0,inf,0.0,0.0,-0.0,0.0,False,False
239,53,NBCM,8118496.428383067,0,0.0,inf,0.0,0.0,-0.0,0.0,False,False
239,54,NBCM,8279073.380285538,0,0.0,inf,0.0,0.0,-0.0,0.0,False,False
299,10,BCM,8790449013.551868,-704,0.0,1.5489450467218082,454009.60000000003,431309.12,2288.0,10313.125,False,False
299,11,BCM,9853483574.599516,387,0.0,3.158467714955151,249576.30000000002,237097.48500000002,-1257.75,-6547.375,False,False
299,12,BCM,8891916126.868809,-3,0.0,367.6814442288234,1934.7,1837.965,9.75,-1358.5,False,False
299,13,BCM,7333590774.885171,863,0.0,1.0541526051373649,556548.7000000001,528721.265,-2804.75,-14243.75,False,False
299,14,BCM,5771430979.337739,982,0.0,0.7290706722351673,633291.8,601627.21,-3191.5,-16481.0,False,False
299,15,BCM,8723811186.914085,-94,0.0,11.51266887746289,60620.600000000006,57589.57,305.5,407.375,False,False
299,16,BCM,6629136769.56576,-658,0.0,1.2497659719757235,424344.2,403126.99,2138.5,9978.875,False,False
299,17,BCM,7347758444.25404,1331,0.0,0.6848168302208232,858361.9,815443.8049999999,-4325.75,-20612.125,False,False
299,18,BCM,5649617918.427359,-724,0.0,0.9680061611209342,466907.60000000003,443562.22000000003,2353.0,10391.75,False,False
299,19,BCM,6134529928.87942,1060,0.0,0.7179150114107988,683594.0,649414.2999999999,-3445.0,-16816.375,False,False
299,50,NBCM,6814270.961380681,0,0.0,inf,0.0,0.0,-0.0,0.0,False,False
299,51,NBCM,7966086.300848661,0,0.0,inf,0.0,0.0,-0.0,0.0,False,False
299,52,NBCM,6959751.059820935,0,0.0,inf,0.0,0.0,-0.0,0.0,False,False
299,53,NBCM,8118496.428383067,0,0.0,inf,0.0,0.0,-0.0,0.0,False,False
299,54,NBCM,8279073.380285538,0,0.0,inf,0.0,0.0,-0.0,0.0,False,False
359,10,BCM,8790435746.051868,-870,0.0,1.2474973850936588,563716.5,535530.6749999999,-13267.5,-2954.375,False,False
359,11,BCM,9853490086.349516,427,0.0,2.8491197401278407,276674.65,262840.9175,6511.75,-35.625,False,False
359,12,BCM,8891915349.118809,-51,0.0,21.526510546217548,33045.450000000004,31393.1775,-777.75,-2136.25,False,False
359,13,BCM,7333606009.635171,999,0.0,0.9063596828880948,647302.05,614936.9475,15234.75,991.0,False,False
359,14,BCM,5771448166.087739,1127,0.0,0.6322799005600683,730239.65,693727.6675,17186.75,705.75,False,False
359,15,BCM,8723808807.914085,-156,0.0,6.904465015236681,101080.20000000001,96026.19,-2379.0,-1971.625,False,False
359,16,BCM,6629124340.81576,-815,0.0,1.0042620445042307,528079.25,501675.2875,-12428.75,-2449.875,False,False
359,17,BCM,7347782249.50404,1561,0.0,0.5811682327537049,1011449.9500000001,960877.4525,23805.25,3193.125,False,False
359,18,BCM,5649604864.427359,-856,0.0,0.8148783928071291,554645.2000000001,526912.9400000001,-13054.0,-2662.25,False,False
359,19,BCM,6134549113.37942,1258,0.0,0.6020748684708979,815121.1000000001,774365.045,19184.5,2368.125,False,False
359,50,NBCM,6814270.961380681,0,0.0,inf,0.0,0.0,0.0,0.0,False,False
359,51,NBCM,7966086.300848661,0,0.0,inf,0.0,0.0,0.0,0.0,False,False
359,52,NBCM,6959751.059820935,0,0.0,inf,0.0,0.0,0.0,0.0,False,False
359,53,NBCM,8118496.428383067,0,0.0,inf,0.0,0.0,0.0,0.0,False,False
359,54,NBCM,8279073.380285538,0,0.0,inf,0.0,0.0,0.0,0.0,False,False
419,10,BCM,8790431209.176868,-1037,0.0,1.045186604082128,672831.525,639189.94875,-4536.875,-7491.25,False,False
