regime,label,seed,bcm_def,nbcm_def,client_def,wf,peak_prop_B,im_held_B,dd
calm,base,42,0,0,0,0,31.041168,0.0,-0.5886233318110334
calm,base,43,0,0,0,0,35.10599296875,0.0,-0.5835489927436988
calm,base,44,0,0,0,0,34.96489875,0.0,-0.5835489927436988
calm,base,45,0,0,0,0,27.557346375,0.0,-0.5835489927436988
calm,base,46,0,1,0,0,37.602451125,0.0,-0.6241437052823873
calm,esc_cl_x2,42,0,0,0,0,48.9359945625,16.84513908,-0.5835489927436988
calm,esc_cl_x2,43,0,0,0,0,59.98293,13.725635625,-0.5734003146090183
calm,esc_cl_x2,44,0,0,0,0,59.424683625,19.29622032,-0.5835489927436988
calm,esc_cl_x2,45,0,0,0,0,43.4013105,17.21345067,-0.5886233318110334
calm,esc_cl_x2,46,0,1,0,0,29.67678759375,9.7078749075,-0.5784746536763641
calm,esc_all_x2,42,0,0,0,0,15.856967625,9.3055349475,-0.5835489927436988
calm,esc_all_x2,43,0,0,0,0,16.9795501875,8.396948835,-0.5734003146090183
calm,esc_all_x2,44,0,0,0,0,16.72530675,9.69215814,-0.5835489927436988
calm,esc_all_x2,45,0,0,0,0,14.614939875,8.97536133,-0.5886233318110334
calm,esc_all_x2,46,0,0,0,0,18.2963889375,8.40603933,-0.5784746536763641
calm,esc_all_x3,42,0,0,0,0,21.7016955,11.9738839275,-0.5835489927436988
calm,esc_all_x3,43,0,0,0,0,24.4660415625,10.9813188375,-0.5734003146090183
calm,esc_all_x3,44,0,0,0,0,24.1922409375,12.709331145,-0.5835489927436988
calm,esc_all_x3,45,0,0,0,0,19.56908025,11.55398904,-0.5886233318110334
calm,esc_all_x3,46,0,1,0,0,26.355265875,10.8266456925,-0.5784746536763641
stressed,base,42,0,0,7,0,6.5856585,0.0,-18.791194009774472
stressed,base,43,0,0,2,0,6.6169845,0.0,-18.747478370018378
stressed,base,44,0,0,3,0,5.9985,0.0,-18.772692635259315
stressed,base,45,0,0,2,0,5.93190675,0.0,-18.756165366334855
stressed,base,46,0,0,1,0,5.815696875,0.0,-18.76849941698807
stressed,esc_cl_x2,42,2,0,12,4,44.702874,24.186743354659527,-18.777742904541995
stressed,esc_cl_x2,43,1,0,8,4,37.349856,26.427484950293554,-18.805756040704715
stressed,esc_cl_x2,44,2,0,15,4,29.75541075,21.86236074017529,-18.790622618674078
stressed,esc_cl_x2,45,3,1,13,4,34.5305925,20.692875759379692,-18.78755268585777
stressed,esc_cl_x2,46,1,2,20,4,23.306772,21.592619418862764,-18.710198224055972
stressed,esc_all_x2,42,0,0,13,0,19.79843775,20.33571552665135,-18.764291799309508
stressed,esc_all_x2,43,0,0,12,0,19.573692,23.17109229261429,-18.769892858743898
stressed,esc_all_x2,44,0,0,20,0,17.299904625,19.884187725830888,-18.804070106235148
stressed,esc_all_x2,45,0,1,20,2,17.40435,21.77184495706027,-18.77858488027979
stressed,esc_all_x2,46,0,0,11,0,15.09607425,20.926360396050868,-18.72813705265046
stressed,esc_all_x3,42,0,0,16,0,27.909417,23.93949928631316,-18.804645115006945
stressed,esc_all_x3,43,0,0,15,0,28.0631115,28.63742910560858,-18.85058501815574
stressed,esc_all_x3,44,0,0,19,0,24.940011,24.136705883448606,-18.81303509794253
stressed,esc_all_x3,45,0,1,13,2,25.7770245,23.955818487081384,-18.760649269123842
stressed,esc_all_x3,46,0,0,25,0,20.238198,29.34678263550329,-18.772984124136695
