family,fund,regime,mode,im_regime,im_mode,im_flat,reanchor,scenario,c,seed,drawdown,client_defaults,cm_defaults,bcm_defaults,nbcm_defaults,deepest_waterfall,mutualised_l3,mutualised_l4,total_df,ccp_cash_used,im_open,im_peak,im_trough,im_mean,im_peak_to_trough,im_max_jump_pct,im_responsiveness,error
H1,kalman,stressed,tiered,reactive,reactive,0.05,1,gapped,3.0,42,-46.348024929381694,39,0,0,0,0,0,0,2438338042.9695954,0.0,9477659096.45131,49053900701.17434,9477659096.45131,33138382679.376328,5.17574014869784,0.4188714460195315,3.3170232928112786,
H1,kalman,stressed,tiered,reactive,reactive,0.05,1,gapped,3.5,42,-51.638792987490476,52,3,0,3,2,0,0,4802020964.879977,139420960.8919115,8171156026.210823,72464149124.53165,8171156026.210823,44710418961.19703,8.868286065287037,0.5032535486139125,6.25021845796566,
H1,kalman,stressed,tiered,reactive,reactive,0.05,1,gapped,4.0,42,-56.44532125722996,50,3,0,3,2,0,0,4994765589.609825,-22414633.216516495,10947576479.828548,66242466099.42993,10947576479.828548,45189516259.34664,6.050879500269759,0.5250350731679017,4.012195288732777,
H1,kalman,stressed,direct,reactive,reactive,0.05,1,gapped,1.0,42,-18.77325920279783,4,0,0,0,2,0,0,492550713.51524466,-133827.32558059692,1720236777.684727,6176390407.925333,1720236777.684727,4884347437.36697,3.5904303919360214,0.7689953643852583,2.0577233358587983,
H1,kalman,stressed,tiered,reactive,reactive,0.05,1,gapped,2.0,42,-33.99991032596512,21,0,0,0,0,0,0,1897558563.9062514,0.0,7518575834.093168,39231664890.6645,7518575834.093168,24640961336.83678,5.217964912020644,0.28583378447660324,3.350564777311664,
H1,kalman,stressed,tiered,reactive,reactive,0.05,1,gapped,2.25,42,-37.32681702013182,22,0,0,0,0,0,0,2049613617.067177,0.0,8983599829.663877,37281539214.93162,8983599829.663877,26877722868.37325,4.149955465717412,0.29540883907990945,2.5021853082407675,
H1,kalman,stressed,tiered,reactive,reactive,0.05,1,gapped,2.5,42,-40.47885934627629,28,0,0,0,0,0,0,2252938403.268485,0.0,8899187344.387722,44211785018.657845,8899187344.387722,30865760763.44145,4.968069926805175,0.35373271686815233,3.152059253213157,
H1,kalman,stressed,tiered,reactive,reactive,0.05,1,gapped,2.75,42,-43.47397211137515,39,0,0,0,0,0,0,2586576890.275107,0.0,9748285511.502281,46309833939.80687,9748285511.502281,33250378515.519974,4.750561920366875,0.329198744958175,2.9792805126696944,
H1,kalman,stressed,direct,reactive,reactive,0.05,1,gapped,2.25,42,-37.35371923059678,24,0,0,0,3,1,0,1507451440.0398428,30591967.145825386,1845661091.505275,16539139115.663038,1845661091.505275,11471019764.489288,8.961092148382523,0.7233240314641496,6.3239395058230805,
H1,kalman,stressed,direct,reactive,reactive,0.05,1,gapped,2.5,42,-40.492310451508764,29,0,0,0,3,1,0,1642656702.799362,16990116.34338951,1695910173.59714,18042147539.050938,1695910173.59714,12269206906.837528,10.638622151067308,0.8406063975700602,7.6564951474930725,
