scenario,c,n,drawdown,client_def_mean,client_def_med,client_def_p90,cm_def_mean,nbcm_def_mean,deepest_mean,deepest_max,frac_l3,frac_l4,df_mean,ccp_used_mean
gapped,1.0,40,-18.761425201963103,1.8,1.0,4.0,0.0,0.0,0.0,0,0.0,0.0,689567439.2343855,0.0
gapped,1.5,40,-26.77309083201838,12.975,13.0,17.1,0.175,0.175,0.15,1,0.0,0.0,1186806675.364005,-744478.125
gapped,2.0,40,-33.99548831902761,20.675,20.5,23.0,0.4,0.4,0.35,2,0.0,0.0,1697190531.8935485,-6766356.96688435
gapped,2.5,40,-40.497448614161705,26.775,26.5,31.0,0.675,0.675,0.525,2,0.0,0.0,2233976157.622018,-4655002.026418829
gapped,3.0,40,-46.36440116848409,40.675,40.0,46.1,1.2,1.2,1.075,3,0.075,0.0,2644109206.814562,11415409.852339815
shock,1.0,40,-18.86179921570536,0.275,0.0,1.0,0.175,0.175,0.0,0,0.0,0.0,1719761770.546875,0.0
shock,1.5,40,-27.064605210563577,22.9,23.5,29.0,1.55,1.55,1.475,3,0.2,0.0,2041267601.5875,41106013.34133301
shock,2.0,40,-34.32983026766215,27.0,27.0,34.0,3.1,3.1,2.975,4,0.9,0.125,2281876252.425,120636784.85330829
shock,2.5,40,-40.8115009104041,30.2,30.5,37.0,4.025,4.025,3.6,4,1.0,0.6,2510096571.05625,123722071.1053125
shock,3.0,40,-46.737323273277816,31.75,32.5,39.0,4.525,4.525,3.875,4,1.0,0.875,2629727649.45,119084539.85531251
