fund,mode,c,n,drawdown,client_def_mean,client_def_med,client_def_p90,cm_def_mean,nbcm_def_mean,deepest_mean,deepest_max,frac_l3,frac_l4,df_mean,ccp_used_mean
gbm,direct,1.0,40,-16.489508040825577,0.85,1.0,2.0,0.0,0.0,1.025,2,0.0,0.0,510812241.4348795,1150156.0687919378
gbm,direct,1.25,40,-20.17839128945373,2.325,2.0,4.0,0.0,0.0,1.75,2,0.0,0.0,505509077.97137105,5183156.694622397
gbm,direct,1.5,40,-23.691336723368693,7.125,7.0,11.100000000000001,0.0,0.0,2.3,4,0.275,0.025,667596373.7368213,185752.29982757568
gbm,direct,1.75,40,-27.047548669753034,15.35,16.0,20.0,0.0,0.0,2.95,4,0.825,0.125,838931017.5568765,27552847.720327664
gbm,direct,2.0,40,-30.255965065959323,26.775,28.0,32.1,0.0,0.0,3.75,4,1.0,0.75,1054147423.8486016,-17360792.165343206
gbm,direct,2.25,40,-33.315916071522985,45.65,46.0,53.1,0.0,0.0,3.9,4,1.0,0.9,1186096399.6748095,-2677351248.5299487
gbm,direct,2.5,40,-36.24861741756576,57.825,57.5,64.1,0.0,0.0,4.0,4,1.0,1.0,1222867146.8731427,-8642810715.200888
gbm,direct,2.75,40,-39.05695049738374,65.825,67.0,70.30000000000001,0.0,0.0,3.975,4,1.0,0.975,1479131043.4900498,-9649155221.818401
gbm,direct,3.0,40,-41.72383333056343,68.3,68.0,74.1,0.0,0.0,4.0,4,1.0,1.0,1964536744.2396445,-10878725270.429157
gbm,direct,3.5,40,-46.74173841837676,72.275,72.5,76.1,0.0,0.0,4.0,4,1.0,1.0,2969826477.94421,-15591599222.530842
gbm,direct,4.0,40,-51.30414620004988,77.225,78.0,81.1,0.0,0.0,4.0,4,1.0,1.0,4068896478.4702544,-18572584226.258717
gbm,tiered,1.0,40,-16.489798373225973,0.65,0.0,1.1000000000000014,0.05,0.05,0.0,0,0.0,0.0,645839615.1583371,0.0
