fund,im_regime,c,n,drawdown,client_def_mean,client_def_med,client_def_p90,cm_def_mean,nbcm_def_mean,deepest_mean,deepest_max,frac_l3,frac_l4,df_mean,ccp_used_mean
gbm,flat05,1.0,40,-16.492680497629415,1.0,1.0,2.1000000000000014,0.375,0.375,0.075,1,0.0,0.0,1518165483.4023566,-31556.25
gbm,flat05,1.25,40,-20.16743979304626,2.3,2.0,4.0,0.375,0.375,0.05,2,0.0,0.0,1526672768.0492902,-511746.58109760284
gbm,flat05,1.5,40,-23.6971898135206,6.65,6.5,11.0,0.425,0.425,0.025,1,0.0,0.0,1623458150.8465784,-733462.5
gbm,flat05,1.75,40,-27.057825133750935,15.25,15.0,19.0,0.525,0.525,0.05,1,0.0,0.0,1639839530.1680655,-1451990.625
gbm,flat05,2.0,40,-30.252024557342587,25.025,26.0,29.1,0.825,0.825,0.275,2,0.0,0.0,1690224249.3734682,-4531574.436804938
gbm,flat05,2.25,40,-33.3211996381455,47.325,47.0,54.1,1.15,1.15,0.95,3,0.05,0.0,1679291331.528975,823393.3854643821
gbm,flat05,2.5,40,-36.25044572679589,58.15,58.0,63.0,1.625,1.625,1.375,3,0.025,0.0,1683424082.414377,-18322349.998381257
gbm,flat05,2.75,40,-39.070980223974225,63.675,64.0,69.0,2.125,2.125,1.675,3,0.25,0.0,1697722241.8241422,-52211579.45260153
gbm,flat05,3.0,40,-41.722202357442924,67.05,66.0,73.1,2.225,2.225,2.175,4,0.475,0.025,1804704599.3788571,-81540817.14756732
gbm,flat05,3.5,40,-46.74634575147389,70.95,70.5,76.1,2.825,2.8,2.825,4,0.7,0.225,1778005346.4472408,-564858421.4142344
gbm,flat05,4.0,40,-51.30116466432743,74.675,74.0,79.0,3.225,3.1,3.025,4,0.8,0.275,2029303978.5132823,-1188999201.2242103
gbm,flat12,1.0,40,-16.49363648237293,0.95,1.0,2.1000000000000014,0.025,0.025,0.025,1,0.0,0.0,489432728.15227735,0.0
gbm,flat12,1.25,40,-20.16801634311871,2.175,2.0,4.0,0.025,0.025,0.025,1,0.0,0.0,505070323.7737786,-688050.0
gbm,flat12,1.5,40,-23.693446152579625,6.4,6.0,10.0,0.125,0.125,0.2,3,0.025,0.0,508214405.26933366,2740854.2990161898
