fund,im_regime,c,im_mean,im_peak,im_peak_to_trough,im_max_jump_pct,im_responsiveness
gbm,flat05,1.0,4675044056.509615,5289180656.25,1.664447792976468,0.4079470630660074,0.8951756745487357
gbm,flat05,1.25,4562951225.264423,5191730693.4375,1.7074508224158635,0.41649428226149066,0.9531114014680865
gbm,flat05,1.5,4467785870.524038,5116385732.8125,1.7400505838523461,0.42469437867811155,0.9970313508493692
gbm,flat05,1.75,4356269453.286057,5025086797.5,1.7859050455817749,0.4487420668396682,1.0588086629927842
gbm,flat05,2.0,4306207426.182692,5036329431.5625,1.8300617963221497,0.44938421463821376,1.1153533071620108
gbm,flat05,2.25,4197499653.512019,5000952375.0,1.8738813178525446,0.45272588211057474,1.1598172695787525
gbm,flat05,2.5,4120060772.617789,4974897744.84375,1.9182948855384176,0.46502241300684083,1.1867645102208653
gbm,flat05,2.75,4000796276.5168266,4937577695.625,1.9583560462114544,0.4733610591289567,1.2313992106504468
gbm,flat05,3.0,3918892572.475961,4868448765.46875,1.970238858557299,0.4656891456036164,1.2314363897114895
gbm,flat05,3.5,3868171854.5769234,4873297046.25,2.044125088868869,0.4828871094613789,1.3322623608157467
gbm,flat05,4.0,3820565774.163461,4905510598.59375,2.132829850781573,0.4921116254782062,1.423988651098834
gbm,flat12,1.0,11269248395.157692,12766305192.75,1.673763925827642,0.4079470630660074,0.9077268118952494
gbm,flat12,1.25,11007005210.41154,12456365163.75,1.7067313822157497,0.41649428226149066,0.9521421374066481
gbm,flat12,1.5,10769685250.292309,12289457200.5,1.7415571276603146,0.42469437867811155,0.9990610383339102
gbm,flat12,1.75,10492259847.36923,11994109683.75,1.776150731851181,0.4487420668396682,1.0456671875212062
gbm,flat12,2.0,10394500899.392307,12118147821.0,1.8331691447732332,0.44938421463821376,1.1224851057816467
gbm,flat12,2.25,10118872687.932692,12026119612.5,1.872461592641886,0.45272588211057474,1.1650934387395189
gbm,flat12,2.5,9951167915.584616,12044789372.25,1.929652648238973,0.46502241300684083,1.2086143062553858
gbm,flat12,2.75,9641890383.109615,11798555812.875,1.9479702058793709,0.4733610591289567,1.2210083315061193
gbm,flat12,3.0,9464935802.607693,11787009276.375,1.9689979063395415,0.4656891456036164,1.2542258596412783
gbm,flat12,3.5,9334843721.48077,11744126550.0,2.0259321767852074,0.4828871094613789,1.3424375492586207
gbm,flat12,4.0,9208592574.871153,11741790130.875,2.1207018541612364,0.4921116254782062,1.4168023840555342
gbm,reactive,1.0,8620762343.200077,11322923435.13245,1.8528231928453718,0.4029126368378361,0.685467112857449
gbm,reactive,1.25,9932232440.960905,13372416776.79667,1.913473244427463,0.42795515384106997,1.129944768202817
gbm,reactive,1.5,11447885145.417135,16424751860.200638,2.3054195940981677,0.45525482939043815,1.7561834230822417
gbm,reactive,1.75,12886651465.382637,19352160717.17849,2.8005941886388763,0.503855531884484,2.4258461453877156
gbm,reactive,2.0,14670726022.966892,23179832594.40326,3.374385914008183,0.5271693268064359,3.198885653137489
gbm,reactive,2.25,16071392364.628235,24386635702.538124,3.583957723536092,0.5587669586399616,3.481230764286334
gbm,reactive,2.5,17587232266.572582,26550144625.248886,3.875873908620194,0.596138272155827,3.8745141353150183
gbm,reactive,2.75,18600766639.77471,27604807330.327263,4.048910175586769,0.6306199633658364,4.1076368255256615
gbm,reactive,3.0,20043778743.59569,29112343455.572487,4.222634945540288,0.6533805414893574,4.341687099712475
gbm,reactive,3.5,24085330369.916428,36051104390.93303,5.218109465137395,0.7315633758705945,5.68283772734046
gbm,reactive,4.0,27464469858.004124,41122623762.90883,5.817352290692999,0.7947814618958052,6.490166167972703
