reanchor,c,n,drawdown,client_def_mean,client_def_med,client_def_p90,cm_def_mean,nbcm_def_mean,deepest_mean,deepest_max,frac_l3,frac_l4,df_mean,ccp_used_mean
0,1.0,40,-18.765909524051214,2.025,2.0,4.0,0.0,0.0,0.0,0,0.0,0.0,698221916.9261662,0.0
0,1.25,40,-22.872811934214837,6.675,6.5,11.0,0.075,0.075,0.125,2,0.0,0.0,929098912.0053465,122568.88122177124
0,1.5,40,-26.78093853226893,13.375,13.5,17.0,0.175,0.175,0.15,2,0.0,0.0,1205368240.6123672,23464.307723164562
0,1.75,40,-30.483002350356934,18.625,19.0,21.0,0.325,0.325,0.275,2,0.0,0.0,1455202372.3709953,-5037153.877621412
0,2.0,40,-33.98999337066177,21.725,22.0,24.0,0.375,0.375,0.375,2,0.0,0.0,1691942980.7591093,-1681063.654967475
0,2.25,40,-37.335877130130356,23.725,24.0,27.0,0.625,0.625,0.425,2,0.0,0.0,1996697822.1985881,-5820663.114337062
0,2.5,40,-40.49935223885063,27.175,27.0,31.1,0.75,0.75,0.575,2,0.0,0.0,2252953590.123397,-2895353.9878437757
0,2.75,40,-43.50508916386682,35.475,35.5,40.1,1.1,1.1,1.025,3,0.025,0.0,2546020385.9867344,6180307.969725991
0,3.0,40,-46.36014511474747,42.85,42.0,48.0,1.4,1.4,1.15,3,0.15,0.0,2813945491.834206,10208346.910794878
0,3.5,40,-51.63358316848021,47.2,46.0,51.2,2.7,2.7,1.9,3,0.275,0.0,3355189660.7308893,-55650063.83112781
0,4.0,40,-56.410017036902374,51.1,51.0,55.0,3.35,3.35,2.2,3,0.4,0.0,4174534728.1027956,-298565247.46866703
1,1.0,40,-18.761425201963103,1.8,1.0,4.0,0.0,0.0,0.0,0,0.0,0.0,689567439.2343855,0.0
1,1.25,40,-22.884131603039684,6.225,6.0,10.100000000000001,0.025,0.025,0.05,2,0.0,0.0,928799504.523522,8793.920945882797
1,1.5,40,-26.77309083201838,12.975,13.0,17.1,0.175,0.175,0.15,1,0.0,0.0,1186806675.364005,-744478.125
1,1.75,40,-30.47336037125232,17.3,18.0,21.0,0.325,0.325,0.3,2,0.0,0.0,1441854140.3633838,-3641797.6276214123
1,2.0,40,-33.99548831902761,20.675,20.5,23.0,0.4,0.4,0.35,2,0.0,0.0,1697190531.8935485,-6766356.96688435
1,2.25,40,-37.333296377323656,23.45,23.0,27.1,0.55,0.55,0.45,3,0.025,0.0,1921424462.7342649,-7091633.258750295
1,2.5,40,-40.497448614161705,26.775,26.5,31.0,0.675,0.675,0.525,2,0.0,0.0,2233976157.622018,-4655002.026418829
1,2.75,40,-43.509458006427366,33.875,33.0,39.0,1.125,1.125,0.8,2,0.0,0.0,2502092218.718399,3252348.149359369
1,3.0,40,-46.36440116848409,40.675,40.0,46.1,1.2,1.2,1.075,3,0.075,0.0,2644109206.814562,11415409.852339815
1,3.5,40,-51.63188692166593,47.05,47.0,52.1,2.7,2.7,2.05,3,0.275,0.0,3312512365.7402864,-47365935.3290015
1,4.0,40,-56.407212178656756,50.325,50.0,55.1,3.35,3.35,2.15,4,0.325,0.025,4045781693.539523,-109044926.17785199
