exp,regime,seed,direct,margin,netting,decouple,drawdown,client_defaults,cm_defaults,nbcm_defaults,deepest_waterfall,mutualised_l3,survivor_l4,total_df,ccp_cash_used,client_loss_absorbed,im_mean,im_peak,label
H1,calm,42,False,reactive,gross,False,-0.5835489927436988,0,0,0,0,False,False,2953238582.2500005,0.0,0.0,9026267810.921053,10397832165.0,tiered
H1,calm,43,False,reactive,gross,False,-0.5734003146090183,0,0,0,0,False,False,3633445876.5000005,0.0,0.0,8028322532.932331,9067068675.0,tiered
H1,calm,44,False,reactive,gross,False,-0.5835489927436988,0,0,0,0,False,False,3624040926.0000005,0.0,0.0,9306058176.8797,10399662405.0,tiered
H1,calm,45,False,reactive,gross,False,-0.5886233318110334,0,0,0,0,False,False,2620062460.125,0.0,0.0,8424261286.240602,9359003745.0,tiered
H1,calm,46,False,reactive,gross,False,-0.5784746536763641,0,0,0,0,False,False,3765933993.9375005,0.0,0.0,7690302494.154136,8705103615.0,tiered
H1,calm,47,False,reactive,gross,False,-0.6038463490130375,0,0,0,0,False,False,3412429539.7500005,0.0,0.0,9239245514.323309,10358149725.0,tiered
H1,calm,42,True,reactive,gross,False,-0.5936976708783681,0,0,0,0,False,False,2991558004.8750005,0.0,0.0,6383494100.723684,7406115187.5,direct
H1,calm,43,True,reactive,gross,False,-0.5734003146090183,0,0,0,0,False,False,3427846716.9375005,0.0,0.0,5401264371.174812,6062132666.25,direct
H1,calm,44,True,reactive,gross,False,-0.5835489927436988,0,0,0,0,False,False,3314853178.3125005,0.0,0.0,6776520822.828947,7851314025.0,direct
H2,calm,42,False,reactive,gross,False,-0.5835489927436988,0,0,0,0,False,False,2953238582.2500005,0.0,0.0,9026267810.921053,10397832165.0,reactive
H2,calm,43,False,reactive,gross,False,-0.5734003146090183,0,0,0,0,False,False,3633445876.5000005,0.0,0.0,8028322532.932331,9067068675.0,reactive
H2,calm,44,False,reactive,gross,False,-0.5835489927436988,0,0,0,0,False,False,3624040926.0000005,0.0,0.0,9306058176.8797,10399662405.0,reactive
H2,calm,45,False,reactive,gross,False,-0.5886233318110334,0,0,0,0,False,False,2620062460.125,0.0,0.0,8424261286.240602,9359003745.0,reactive
H2,calm,46,False,reactive,gross,False,-0.5784746536763641,0,0,0,0,False,False,3765933993.9375005,0.0,0.0,7690302494.154136,8705103615.0,reactive
H2,calm,47,False,reactive,gross,False,-0.6038463490130375,0,0,0,0,False,False,3412429539.7500005,0.0,0.0,9239245514.323309,10358149725.0,reactive
H2,calm,42,False,flat12,gross,False,-0.6241437052823873,1,0,0,0,False,False,882550028.2500001,0.0,0.0,16334132146.2406,18932703570.0,flat12
H2,calm,43,False,flat12,gross,False,-0.563251636474349,0,0,0,0,False,False,1121279098.5,0.0,0.0,14397848328.38346,15989161455.0,flat12
H2,calm,44,False,flat12,gross,False,-0.5936976708783681,0,0,0,0,False,False,1064849395.5000001,0.0,0.0,17258829747.63158,19350963225.0,flat12
H2,calm,45,False,flat12,gross,False,-0.5835489927436988,0,0,0,0,False,False,838029146.6250001,0.0,0.0,15232032446.954887,17181282825.0,flat12
H2,calm,46,False,flat12,gross,False,-0.5784746536763641,1,0,0,0,False,False,1176310259.4375,0.0,0.0,14081840140.601503,15944398560.0,flat12
H2,calm,47,False,flat12,gross,False,-0.6038463490130375,0,0,0,0,False,False,1030233952.6875001,0.0,0.0,16889732672.81955,18665289720.0,flat12
H2,stressed,42,False,reactive,gross,False,-18.764291799309508,11,0,0,0,False,False,1420870428.7605543,0.0,0.0,17773579916.837925,21566102305.929844,reactive
H2,stressed,43,False,reactive,gross,False,-18.7878244497243,10,0,0,0,False,False,1581005253.1274822,0.0,0.0,18517071944.564167,24195329291.864777,reactive
H2,stressed,44,False,reactive,gross,False,-18.786140122820385,19,0,0,0,False,False,1622770004.408374,0.0,0.0,17863032697.141544,21073818337.58147,reactive
H2,stressed,45,False,reactive,gross,False,-18.760649269123842,27,1,1,3,True,False,1433784240.6427584,35096246.73934698,0.0,18277615911.45912,22720296521.490807,reactive
H2,stressed,46,False,reactive,gross,False,-18.71916763835322,17,0,0,0,False,False,1417110382.1284401,0.0,0.0,17875264628.410126,23970928898.16402,reactive
H2,stressed,47,False,reactive,gross,False,-18.72926194960093,17,0,0,0,False,False,1483260346.0701644,0.0,0.0,20997187565.60279,27433917009.151688,reactive
H2,stressed,42,False,flat12,gross,False,-18.75084069407703,7,0,0,0,False,False,1118291433.966947,0.0,0.0,15606018304.09091,17246060100.0,flat12
H2,stressed,43,False,flat12,gross,False,-18.774375756488993,6,0,0,0,False,False,1287116859.051467,0.0,0.0,16250420416.363636,18809551440.0,flat12
H2,stressed,44,False,flat12,gross,False,-18.81303509794253,10,0,0,0,False,False,1238809044.392286,0.0,0.0,15767235522.272728,18391190400.0,flat12
H2,stressed,45,False,flat12,gross,False,-18.747197560756877,8,1,1,3,True,False,1121586513.9867659,31178978.74422002,0.0,16222498313.863636,17960341770.0,flat12
H2,stressed,46,False,flat12,gross,False,-18.714682931204596,11,0,0,0,False,False,1047508828.7924622,0.0,0.0,15315142044.545454,18161472510.0,flat12
H2,stressed,47,False,flat12,gross,False,-18.760649269123842,8,0,0,0,False,False,961745782.7907205,0.0,0.0,16902607877.727272,18755389620.0,flat12
H1,stressed,42,False,reactive,gross,False,-18.764291799309508,11,0,0,0,False,False,1420870428.7605543,0.0,0.0,17773579916.837925,21566102305.929844,tiered
H1,stressed,43,False,reactive,gross,False,-18.7878244497243,10,0,0,0,False,False,1581005253.1274822,0.0,0.0,18517071944.564167,24195329291.864777,tiered
H1,stressed,44,False,reactive,gross,False,-18.786140122820385,19,0,0,0,False,False,1622770004.408374,0.0,0.0,17863032697.141544,21073818337.58147,tiered
H1,stressed,45,False,reactive,gross,False,-18.760649269123842,27,1,1,3,True,False,1433784240.6427584,35096246.73934698,0.0,18277615911.45912,22720296521.490807,tiered
H1,stressed,46,False,reactive,gross,False,-18.71916763835322,17,0,0,0,False,False,1417110382.1284401,0.0,0.0,17875264628.410126,23970928898.16402,tiered
H1,stressed,47,False,reactive,gross,False,-18.72926194960093,17,0,0,0,False,False,1483260346.0701644,0.0,0.0,20997187565.60279,27433917009.151688,tiered
H1,stressed,42,True,reactive,gross,False,-18.74635699233287,14,14,0,3,True,False,1583890799.9782767,178018882.04523396,649616774.9999999,13026793277.951239,16781839990.94436,direct
H1,stressed,43,True,reactive,gross,False,-18.81920473394002,10,10,0,3,True,False,1687704796.432992,189113216.06380248,620692649.9999999,13331199290.824049,18541942773.704037,direct
H1,stressed,44,True,reactive,gross,False,-18.79958761038146,12,12,0,3,True,False,1499527205.2164693,166920605.03321123,827291849.9999999,12473363001.364105,15329098135.390099,direct
H1,stressed,45,True,reactive,gross,False,-18.76513317191283,8,8,0,3,True,False,1427478736.4016643,178746637.12979436,433761824.9999999,12774567544.72683,16612450852.945602,direct
H1,stressed,46,True,reactive,gross,False,-18.732621759799084,19,19,0,3,True,False,1277951727.7736652,227821517.75130987,1018276574.9999998,12275301074.762386,17666139368.79984,direct
H1,stressed,47,True,reactive,gross,False,-18.783068783068778,10,10,0,3,True,False,1344730838.5471287,196363983.6615832,473578049.9999999,13108126750.84565,17344284799.54492,direct
NET,stressed,42,False,reactive,gross,False,-18.764291799309508,11,0,0,0,False,False,1420870428.7605543,0.0,0.0,17773579916.837925,21566102305.929844,gross
NET,stressed,43,False,reactive,gross,False,-18.7878244497243,10,0,0,0,False,False,1581005253.1274822,0.0,0.0,18517071944.564167,24195329291.864777,gross
NET,stressed,44,False,reactive,gross,False,-18.786140122820385,19,0,0,0,False,False,1622770004.408374,0.0,0.0,17863032697.141544,21073818337.58147,gross
NET,stressed,45,False,reactive,gross,False,-18.760649269123842,27,1,1,3,True,False,1433784240.6427584,35096246.73934698,0.0,18277615911.45912,22720296521.490807,gross
NET,stressed,46,False,reactive,gross,False,-18.71916763835322,17,0,0,0,False,False,1417110382.1284401,0.0,0.0,17875264628.410126,23970928898.16402,gross
NET,stressed,47,False,reactive,gross,False,-18.72926194960093,17,0,0,0,False,False,1483260346.0701644,0.0,0.0,20997187565.60279,27433917009.151688,gross
NET,stressed,42,False,reactive,net,False,-18.782226606286144,13,0,0,0,False,False,1545138287.4176762,0.0,0.0,14619540185.504017,18656797689.195377,net
NET,stressed,43,False,reactive,net,False,-18.7788586542341,10,0,0,0,False,False,1660034707.264593,0.0,0.0,16189285056.596292,21485855419.30025,net
NET,stressed,44,False,reactive,net,False,-18.8309650813573,22,0,0,0,False,False,1617118204.2308447,0.0,0.0,15515142830.438124,20527045320.588528,net
NET,stressed,45,False,reactive,net,False,-18.796520491435743,11,0,0,0,False,False,1464215162.9311497,0.0,0.0,14780930637.123125,19882000200.86204,net
NET,stressed,46,False,reactive,net,False,-18.72813705265046,18,0,0,0,False,False,1311384478.6072922,0.0,0.0,14057504811.704826,19330049288.31961,net
NET,stressed,47,False,reactive,net,False,-18.77858488027979,13,0,0,0,False,False,1428412228.0363452,0.0,0.0,16214733889.264498,23269003194.384468,net
