path,client_def,cm_def,IM_peak_B,DF_B,deepest_wf
1,3,0,44.92,3.72,0
2,6,0,38.28,2.88,0
3,0,0,41.08,2.52,0
4,0,0,47.06,2.8,0
5,18,2,50.44,3.19,4
6,4,0,44.52,2.79,0
7,2,0,40.76,3.28,0
8,3,0,43.2,3.11,0
9,1,0,52.73,3.35,0
10,2,0,49.01,2.29,0
11,21,2,52.07,3.25,4
12,0,0,47.58,3.62,0
13,16,1,45.66,2.14,3
14,9,0,39.31,2.06,0
15,2,0,39.51,2.63,0
16,0,0,46.02,2.17,0
17,2,0,40.68,2.34,0
18,2,0,43.59,2.73,0
19,3,0,42.82,2.27,0
20,3,0,45.39,2.98,0
21,2,0,44.63,2.4,0
22,10,0,42.82,2.16,0
23,26,3,43.56,3.19,3
24,0,0,49.41,3.38,0
25,8,0,40.24,2.1,0
26,5,0,43.76,3.03,0
27,12,1,49.43,4.2,3
28,2,0,46.86,2.65,0
29,0,0,36.38,2.98,0
30,2,0,39.67,2.37,0
31,4,0,44.32,3.86,0
32,51,2,49.12,5.47,3
33,1,0,42.99,2.24,0
34,3,0,45.22,2.58,0
35,9,0,35.78,2.07,0
36,55,4,54.47,5.92,4
37,3,0,41.87,3.27,0
38,46,13,84.74,0.29,4
39,0,0,49.53,3.18,0
40,6,0,42.46,3.2,0
41,9,0,37.71,2.08,0
42,3,0,43.49,3.39,0
43,1,0,45.95,2.15,0
44,6,0,40.12,2.29,0
45,3,0,43.95,2.53,0
46,34,6,50.75,3.62,4
47,0,0,42.11,3.74,0
48,3,0,49.99,3.22,0
49,0,0,41.64,2.66,0
50,0,0,39.99,2.75,0
51,66,8,53.7,4.75,3
52,17,0,38.55,2.09,0
53,2,0,38.08,2.49,0
54,2,0,44.97,2.23,0
55,1,0,38.51,3.64,0
56,7,2,44.79,2.23,4
57,2,0,42.73,3.79,0
58,2,0,40.19,3.03,0
59,21,0,45.96,1.69,0
60,28,9,42.58,3.01,4
61,24,3,45.35,2.74,3
62,6,0,46.15,3.01,0
63,22,1,52.25,2.36,3
64,1,0,42.24,2.67,0
65,6,0,40.22,2.74,0
66,0,0,39.96,1.97,0
67,0,0,49.37,3.92,0
68,0,0,37.36,2.12,0
69,0,0,45.64,3.24,0
70,2,0,47.92,2.86,0
71,30,15,68.18,0.0,5
72,1,0,44.07,2.34,0
73,13,0,42.69,3.1,0
74,3,0,41.85,1.87,0
75,3,0,36.65,2.19,0
76,0,0,45.21,2.2,0
77,3,0,48.03,3.36,0
78,10,0,41.11,2.36,0
79,0,0,41.71,2.74,0
80,2,0,41.98,2.09,0
