lag,empirical,synthetic_mean
1,0.4105612736901758,0.45345220284523563
2,0.3709089717710916,0.36894471370630766
3,0.3565272358980882,0.34129528345766486
4,0.3657583118866807,0.3328223130209088
5,0.35535168742334616,0.3280951693165132
6,0.3535163110292099,0.3315284341632813
7,0.339728473011134,0.32458850687143254
8,0.3504773093462003,0.3303640439087525
9,0.3538890674969017,0.31925347705603724
10,0.352268609162788,0.3153665626051736
11,0.3295601007191335,0.3154869250886149
12,0.3199706045366192,0.31265285807336274
13,0.3265998888662711,0.319691565968205
14,0.33342477922384745,0.3086042475856933
15,0.3450647450752944,0.31416261058964307
16,0.3435125717403296,0.31112595420826616
17,0.34147011900982016,0.302575289091824
18,0.344651410492977,0.30290653078040114
19,0.3329450628526932,0.31024420976240497
20,0.3444762579247988,0.3142788961412059
21,0.3379314300266417,0.3111824730355207
22,0.3306034602068602,0.3012762345349996
23,0.32099222320321197,0.30171269050134014
24,0.3365593890537756,0.30130809440265105
25,0.3338493123277239,0.3039183623219554
26,0.340554669507869,0.3038244304958513
27,0.33228427718791603,0.3057717807721492
28,0.32323397763661044,0.3095462671469225
29,0.31813113529192705,0.3012193216514428
30,0.3348294761893517,0.2990828389464952
