ft_sigma_c,zi_alpha,zi_delta,p_zi,zi_mu,D,dKS,dV,dACF1,dACF2,dHill,ret_std,ret_kurtosis,acf_r_1,acf_r_5,acf_r_10,acf_r_20,acf_absr_1,acf_absr_5,acf_absr_10,acf_absr_20,hill_tail_index,ks_stat
0.25,0.08,0.02,0.08,0.0125,23.87056898248531,11.994272564305094,4.214331494025735,3.7860662299472976,2.713337926080558,1.162560768126625,0.001700404433645495,26.581610049808106,-0.08432240090669711,-0.0029532623900128245,0.0039227188016430865,-0.005108259092471098,0.48438045225387505,0.40617587053108756,0.37843465051753444,0.3775982449824851,2.590704790409757,0.10984247441646544
0.25,0.08,0.02,0.08,0.058333333333333334,25.59265919391156,12.417393034751104,4.694997085713663,4.182727373509296,2.745622361501475,1.5519193384360241,0.0017535173382063633,26.09524425078316,-0.0895959888821783,-0.004030043233524389,0.0035356094046585912,-0.0022201050847743538,0.4920258551042807,0.4069915177488265,0.37686703706580804,0.37365297540701486,2.540646842296527,0.11371737380705982
0.25,0.08,0.02,0.08,0.10416666666666666,27.277717303375947,13.20713420955985,5.648288643685872,4.635173259205227,1.9324841795650918,1.8546370113599082,0.0018588547794811954,30.14579219967529,-0.09843596435298313,-0.005617174304385753,0.0001298103193679469,-0.0029085666407887433,0.48854226938955697,0.3818189663924761,0.355939517600587,0.3432391938525093,2.5017278952905833,0.12094975278831777
0.25,0.08,0.02,0.08,0.15,29.88043425425178,14.033286344733384,6.594198135758082,5.323059877917887,1.5100587578361555,2.419831138006275,0.001963376512354201,29.674043818747805,-0.10769127137635713,-0.008735980356020967,0.004970054808473609,-0.001592508535285829,0.4715061377004724,0.3448899894777855,0.32490187655370567,0.307786063999908,2.429063620190426,0.1285155800850868
0.25,0.08,0.02,0.18,0.0125,24.338986944381986,10.31183508538028,5.751389958923842,5.169155811353198,2.5142017881228296,0.5924043006018388,0.0018702473368246585,21.716186621586147,-0.10640184354762743,-0.011052963940410799,0.002778699113344489,-0.0032144665663963756,0.5041129401363709,0.3958402222334961,0.3659342613307644,0.359864932167033,2.664007049674523,0.09443486259629763
0.25,0.08,0.02,0.18,0.058333333333333334,25.978209254497568,10.55666740507455,6.441421078316065,5.303667952091949,2.373799320942978,1.3026534980720221,0.0019464948519829787,24.832016646128686,-0.11117007175428745,-0.008288969479458652,0.0004338054039495326,-0.0033337948982066217,0.5176589050913943,0.38939569600632956,0.3642686829623711,0.3404712383744785,2.572693745729079,0.09667701506266524
0.25,0.08,0.02,0.18,0.10416666666666666,27.084240190355317,10.687244642244845,7.187086774822366,5.553104404670993,1.9262765619569857,1.730527806660128,0.002028889913451339,28.687085920663666,-0.11696899915917831,-0.009915826596091094,0.0031037661020545276,-0.005046231581058824,0.5074064679832788,0.3747188457958383,0.3414487463749543,0.3238541789533565,2.5176840154404467,0.09787282971139477
0.25,0.08,0.02,0.18,0.15,29.16712453103068,10.890643800144705,7.815719226304844,6.003979648954034,2.0374054301725746,2.419376425454523,0.0020983529579813314,40.29918775003877,-0.1234500821186617,-0.014357714093912005,0.0031997327562359504,-0.005898144951763507,0.49294271525927713,0.34445749511324114,0.30863715598407765,0.2961974987720475,2.4291220803838254,0.09973554099114634
0.25,0.08,0.02,0.27999999999999997,0.0125,23.519921455624434,8.947051846879313,6.198566690717011,5.424796458262241,2.9486092578868437,0.000897201879027362,0.0019196597671884941,21.961592881768713,-0.11447498141740413,-0.01068919988221769,0.0006260114717954738,-0.006072897140821394,0.5305381032613092,0.40782122086487854,0.3699441312575784,0.3593673542327726,2.7400542563224843,0.08193629987351958
0.25,0.08,0.02,0.27999999999999997,0.058333333333333334,24.445131956277674,9.08265128547922,7.007642859005007,5.697816973589635,2.613451251423413,0.04356958678040129,0.002009061600920444,20.924651530637437,-0.1186033309366788,-0.010855029097936208,0.0026172836309769614,-0.003773037764019322,0.5194337134969483,0.39697689617731763,0.36355787104902565,0.3548443728814825,2.734568074195908,0.08317810739335396
0.25,0.08,0.02,0.27999999999999997,0.10416666666666666,24.963018690956506,9.264706087303187,7.282913767854708,6.2959247371366525,2.0911232285843684,0.028350870077593085,0.002039478667927,18.605964169354852,-0.1216135431593109,-0.01509851677793877,0.006716628163606929,-0.0022482394459354227,0.5056418719327347,0.38310979563552694,0.3549156002298326,0.3405078467090319,2.7438145394652262,0.08484534897090956
0.25,0.08,0.02,0.27999999999999997,0.15,25.861268160741123,8.999784961890393,7.612852485263761,6.444348720130621,1.8617977850980099,0.9424842083583396,0.0020759364546122177,23.28694397688658,-0.12557802610100086,-0.015426542069717983,0.007165169173422997,-0.003927111576135376,0.4997709811505497,0.37241144731391346,0.3331569507461764,0.31257580933788626,2.618998969220473,0.08241922502012189
0.25,0.08,0.02,0.38,0.0125,24.803768350129715,8.033011186687329,6.873232177553878,5.923961341476796,3.554069221551644,0.41949442286006927,0.0019942094005147406,23.94470618574407,-0.12264832966068562,-0.010812904625071928,-0.0006254565463354183,-0.005030748056436508,0.5498828934462001,0.43392363918413307,0.38546130075478585,0.35907950164442287,2.794101974141316,0.07356559733241352
0.25,0.08,0.02,0.38,0.058333333333333334,25.473219276847026,8.161077323142795,7.273558960626813,5.813521384483782,3.289504245233644,0.9355573633599913,0.0020384449742487493,17.57131974493314,-0.12338010612124946,-0.011616816543986296,0.0009715606766120824,-0.00781592730805116,0.5326554697610654,0.4164693229128573,0.38472717890998004,0.3675795387174528,2.8604496902791117,0.07473841554559044
0.25,0.08,0.02,0.38,0.10416666666666666,26.084786057141947,8.35066542711119,7.862198949013938,6.716722085574944,2.998193891638009,0.15700570380386517,0.002103488905132436,18.19020016729556,-0.1286726808450784,-0.01747587532768214,0.007108465459334005,-0.002847369664720153,0.5298492958625098,0.4072311682215434,0.3751936014107728,0.36029141667170367,2.7199841413043973,0.0764746464298034
0.25,0.08,0.02,0.38,0.15,24.89722338133237,8.086999852055804,7.932037479803464,6.0390763987415275,1.882113483014583,0.9569961677169951,0.002111205969313106,21.882189193892163,-0.12682793098360556,-0.012212707430034062,0.001406026876069202,-0.005690223744370878,0.5056160367270373,0.36254425336898594,0.3389907516366532,0.31351759760015807,2.6171332367979927,0.07406002069679199
0.25,0.08,0.12,0.08,0.0125,23.813372586302833,13.950420021144557,4.093823712181654,4.0946742085796695,0.913575886229676,0.7608787581672748,0.0016870884850387925,29.821973174458897,-0.09101739267736038,-0.007446105321538224,0.001540872177308381,-0.007300685217803671,0.4421817971278301,0.3551394402171315,0.33886815485877025,0.33460079271727655,2.837992106904794,0.12775669771185472
0.25,0.08,0.12,0.08,0.058333333333333334,25.695610897476637,14.519184333049735,5.002678472762409,4.627369924984488,1.2913317568456646,0.25504640983434074,0.001787515719675877,29.223906521517584,-0.09840406790576257,-0.005874638242527476,-0.0027507164648216246,-0.008178883595107038,0.4555607104758805,0.36580779026602256,0.33910809035292816,0.32043684542396417,2.7073795219388646,0.1329653903644935
