ft_sigma_c,zi_alpha,zi_delta,p_zi,zi_mu,D,dKS,dV,dACF1,dACF2,dHill,ret_std,ret_kurtosis,acf_r_1,acf_r_5,acf_r_10,acf_r_20,acf_absr_1,acf_absr_5,acf_absr_10,acf_absr_20,hill_tail_index,ks_stat
0.25,0.08,0.02,0.08,0.0125,22.71488957974398,9.697477010539586,4.8287748898423954,4.487318644693511,2.2286722284579197,1.472646806210564,0.0025832065097568485,41.75377421792744,-0.09304576027555511,0.0051650635672293695,-0.005280810652021459,0.00627584724687756,0.39389508541905216,0.24719338066961563,0.22214959077717977,0.1952319478646332,3.4546143917579357,0.08648228346811315
0.25,0.08,0.02,0.08,0.058333333333333334,22.674263265697025,10.051120472455676,4.9497460665554485,4.3252051768319655,1.7079691320484316,1.6402224178055047,0.0026022614641883954,6.378653929000254,-0.09501466914756758,-0.0025249214119952173,-0.0038929136487333357,0.006705915229552068,0.35688031914054436,0.2339244554008547,0.20794537161650192,0.22778594157042478,3.486032149820423,0.0896360825528475
0.25,0.08,0.02,0.08,0.10416666666666666,23.53072600845512,10.869300365210421,6.138708931444059,4.439465610640124,1.8477221395258296,0.2355289616346893,0.00278954271437408,8.032865836393341,-0.10035829320785468,-0.0013439341737415858,-0.0035232203495699135,0.0038696231129739284,0.37530813285777315,0.21993731664908336,0.2031830419368235,0.17602178224776263,3.2226745004710105,0.09693262631739819
0.25,0.08,0.02,0.08,0.15,28.60698635398404,11.000567030211492,7.602222984049742,5.91812610002106,2.6272323938889373,1.4588378458128104,0.003020070302350504,25.138532216823908,-0.12144409431678616,-0.013743253230464283,-0.0061654245325407754,0.00630934114255013,0.3731689412949335,0.21606372199042786,0.17534294981128387,0.12902733197753144,2.9050077116176993,0.09810326491960353
0.25,0.08,0.02,0.18,0.0125,26.130328666956153,10.151669199256217,5.94023172556189,5.073642527852679,2.6831132311299983,2.2816719831553707,0.0027582792827323724,5.524837059091638,-0.11118379308883396,-0.0037542619201232307,-0.004357408590883192,0.006400627690461613,0.40468862118147947,0.2688375367235013,0.24205170349518612,0.2115550621642718,3.606293726440312,0.09053277800095957
0.25,0.08,0.02,0.18,0.058333333333333334,28.42502548376618,10.598974765593502,7.034281248073363,6.144888260108882,2.596974001600152,2.0499072083902807,0.0029306101169339904,54.50838659037002,-0.12233590975713127,-0.015494584863965136,0.005224367319031384,0.004628850094795598,0.41139520954701325,0.25474572156377606,0.20293477908514523,0.17312308177253155,3.5628415226758574,0.09452185750512367
0.25,0.08,0.02,0.18,0.10416666666666666,29.002488729678394,10.992613158116052,8.616006268037633,6.476840338445649,2.588339982903768,0.32868898217529,0.0031797578808691056,26.854411715696145,-0.13451299041116394,-0.017343622090896526,0.0005292504391904536,0.0036466565688926737,0.4160595746664149,0.24488608651097069,0.19964679180520703,0.17102043101334088,3.1168926227596887,0.09803233213775941
0.25,0.08,0.02,0.18,0.15,26.81688692553224,10.985088542609894,7.921465293467341,5.402977552788936,2.191277560865877,0.31607797580019154,0.003070356228501355,15.335378176016963,-0.1224021398261127,-0.0033403447235253944,-0.003517951066665647,0.0029910736468756406,0.3626092664633864,0.2070075501545119,0.171749919890594,0.1623766933563172,3.2377761576580997,0.09796522747430057
0.25,0.08,0.02,0.27999999999999997,0.0125,27.321656483478836,11.046000894307962,6.383200078755991,5.6264581328633,2.8118638944999503,1.4541334830516324,0.0028280541002887283,5.571715090786508,-0.12044420518553765,-0.008435503293100487,-0.0009038725996600756,0.007320607050956836,0.433118989362677,0.2714935812216442,0.2253198732471785,0.20477741719711742,3.451143438542226,0.0985084449792801
0.25,0.08,0.02,0.27999999999999997,0.058333333333333334,30.966768554356786,12.693147645402103,7.815404127734279,6.4622505394439,2.7604876519994836,1.23547858977702,0.0030536498465770553,8.090553022604585,-0.13039132104293563,-0.014364551515684998,0.004736256803538118,0.0056420353284970795,0.41600595519031797,0.26902036389620315,0.22467454385344643,0.18989980146003527,3.410149128745608,0.11319773087156798
0.25,0.08,0.02,0.27999999999999997,0.10416666666666666,28.81494609620317,12.347766110310218,8.048335774635094,5.772425426082434,2.337949785782387,0.30846899939303624,0.0030903404206291574,10.998864855184106,-0.12444827283724073,-0.008654560846032493,-0.0007317322720857212,0.005911191077958715,0.398041335496818,0.23751958323555947,0.19555574756831642,0.1718520178605665,3.236349595776046,0.11011761180657764
0.25,0.08,0.02,0.27999999999999997,0.15,30.27464561118034,12.924698749813453,8.222994422158793,5.978388435951427,2.3744518699561605,0.7741121333005043,0.0031178520367022497,7.550229998663298,-0.1272935879267961,-0.0054415728118134615,0.000884005386971955,0.009632350275174237,0.40728879725528566,0.23633859666425208,0.1966226537336476,0.17646389322570485,3.323650266710938,0.11526270800193839
0.25,0.08,0.02,0.38,0.0125,27.836341030123787,11.30084295624576,6.823833998214057,5.5247137034922185,2.96215513474251,1.2247952374292432,0.002897461206050653,8.204671045636042,-0.12439768721338336,-0.002240447899493824,-0.0033383799771595827,0.005687793548590697,0.4303596879171166,0.2688197534737647,0.22419440977168578,0.18725560171334346,3.4081461703427465,0.10078113130956476
0.25,0.08,0.02,0.38,0.058333333333333334,31.93074513882668,13.364860139817818,7.822010977162144,6.204692506509167,2.5115599392519266,2.0276215760856253,0.003054690534269816,6.216364976919207,-0.1287041969888217,-0.00865513568518053,-0.007754530026863676,0.008398007690606607,0.4212558441948007,0.25838706569116116,0.21384041695717634,0.20027463554277922,3.558663321579927,0.11918807560638896
0.25,0.08,0.02,0.38,0.10416666666666666,31.98191438458816,14.049749969844772,8.587604646399972,6.548164537377312,2.7268884284454127,0.06950680252069284,0.0031752841572864096,8.448810023593785,-0.13670304683274406,-0.0160946587091271,0.0009565892871374121,0.0035374382088326738,0.42523557293470504,0.26050076787035986,0.22271974605697462,0.19479688284608196,3.191547990005613,0.12529593606952225
0.25,0.08,0.02,0.38,0.15,33.799968274047956,13.295913114783978,9.46182566685426,6.7413086960852215,2.8634387894126636,1.4374820069118335,0.0033129883787421594,14.996568763346403,-0.13659872405469006,-0.014883771650025449,0.005387067939134289,0.004434165297865706,0.4290809076252764,0.2564261513251726,0.2095937856964661,0.17508505306709266,2.9090115912600076,0.11857320473257515
0.25,0.08,0.12,0.08,0.0125,20.41894259318186,9.141015701946953,3.26581954398537,3.9595336344190866,1.027270739438086,3.025302973392364,0.0023370152788945407,2.9753384883226746,-0.08196141840209505,0.004004252115952762,-0.00016880576576443307,0.006897211478413642,0.2815462335596974,0.1967618259006387,0.17605334270752926,0.17991500958944964,3.745712692700788,0.08151975098915576
0.25,0.08,0.12,0.08,0.058333333333333334,22.12165849918977,9.964173287778136,3.7670997747219874,4.010182847054192,1.0934845640851107,3.286718025550348,0.0024159751783818283,2.701169980181903,-0.08358000357288574,0.0015300462058646946,-0.0015638312426967105,0.011178272467441385,0.2712825635131026,0.18460378221794257,0.1741762365036376,0.17363245154787002,3.7947238512125914,0.08886068591474616
0.25,0.08,0.12,0.08,0.10416666666666666,21.41912210648536,9.828583756419162,3.980959448334188,3.9043345823558937,1.065718959464057,2.6395253599120605,0.002449661602256932,3.4976577351218943,-0.08250806643910745,0.0005378930116453046,-1.594555196438782e-05,0.007744680052051852,0.2731307908971819,0.18509828182276059,0.1860930854149476,0.16844432394790476,3.6733855347636015,0.08765149590856713
0.25,0.08,0.12,0.08,0.15,23.287174648572567,10.1882586942544,3.8817018070342857,3.9439536457157907,1.4790984719027742,3.7941620296653165,0.0024340268875807343,3.605840921536142,-0.08225721329624638,0.00021695981867409734,-0.0053010224985009955,0.008938065388830135,0.2615251566401907,0.16793379095112546,0.16283785195830594,0.15199996544729816,3.8898615195153052,0.09085908380967134
0.25,0.08,0.12,0.18,0.0125,21.939286405498464,9.13522662974881,3.1095245274534875,4.879403086411818,2.449492327694502,2.3656398341898495,0.002312396237410326,5.335639192666235,-0.10025905649929066,0.0014235573591329664,0.005027768250524856,0.005830463540361423,0.3459158511328216,0.20977119621383952,0.17113145518242057,0.12371433067659503,3.6220363610857693,0.08146812393375641
0.25,0.08,0.12,0.18,0.058333333333333334,21.853796766188054,7.924418359975712,4.261143913104052,4.444543174822098,1.4899004190865723,3.7337908991996205,0.0024937952740429073,4.1761549735614505,-0.09203042338713607,0.008266175155488031,-0.0035421075282560904,0.005734988211850572,0.30570807919521475,0.19324730448776803,0.18016524080978127,0.16549035019505917,3.878542894132545,0.07067011287394712
0.25,0.08,0.12,0.18,0.10416666666666666,22.402385805969356,8.025148889567001,4.6839272581055225,4.577506583134244,1.7145214816391614,3.4012815935234295,0.0025603906200775198,4.420554222714934,-0.10158953319975565,0.0009842789720152813,-0.0016271841280234272,0.00482201361656444,0.30552412421812475,0.20202177831574916,0.1673918117354496,0.1510988820535971,3.816202695461442,0.07156842964278701
0.25,0.08,0.12,0.18,0.15,22.299662902643902,7.880514669368074,4.277412506507174,4.59570134632688,1.1194204234889218,4.426613956952854,0.0024963578456767867,3.6171533391078246,-0.09265878641529031,0.0018658125324654742,-0.007864206655962193,0.009945322567967601,0.2759930726829529,0.19484126514936007,0.17841530440969555,0.16644109365107554,4.008436182311127,0.0702785789303967
0.25,0.08,0.12,0.27999999999999997,0.0125,24.0538772996038,12.376655920448183,4.062690914687462,4.838279192530573,2.39557964967595,0.38067162226163526,0.0024625356554760663,10.154662117103767,-0.10557410425693936,0.0030718891067768226,-0.0009586218695380536,0.004507501909614462,0.3720334842519926,0.227001109306512,0.17738683575141012,0.14842685030380132,3.249886437534654,0.11037525168001855
0.25,0.08,0.12,0.27999999999999997,0.058333333333333334,21.576653124437122,8.768144911549571,4.769863862490823,4.759245941024354,1.8878204001445236,1.3915780092278487,0.002573927051854554,5.508850489150737,-0.10308922995502279,0.0029248584747826305,-0.0008330708437062096,0.005412517834425423,0.33517800184035823,0.20231450054964759,0.1738526283551244,0.16129604504318704,3.439415283571618,0.07819448222522069
0.25,0.08,0.12,0.27999999999999997,0.10416666666666666,23.22642280439829,8.754560203018315,4.565628119268036,4.917889825712018,1.8937342766689618,3.0946103797309603,0.002541756555657476,4.199421428031578,-0.10534550627208039,0.003391825051707828,-0.00016593412003870146,0.0059192512166800874,0.30623473838760557,0.176229885961227,0.1715108760017031,0.1507373046449361,3.758706727474463,0.07807333353749965
0.25,0.08,0.12,0.27999999999999997,0.15,21.262517769937237,8.157881760408312,4.524648035606203,4.626060604915163,1.779530573351267,2.1743967956562913,0.002535301516961527,4.859970349977625,-0.1000729559433532,0.0025715736180780967,-0.0009975721314067294,0.0059471011576351625,0.2994559628748045,0.1946323661300633,0.16233070176184602,0.1483857331861904,3.5861813374424383,0.07275214389641801
0.25,0.08,0.12,0.38,0.0125,26.16307839096706,15.04956095071664,3.539926402323598,4.934587657789056,2.5200773632655844,0.11892601687217941,0.0023801916274837484,15.706545899552971,-0.10263200183100064,0.004438979719556269,0.0012209497558954311,0.007080897930219396,0.37089707749544304,0.23065669193484806,0.17832351036353167,0.13887385980367983,3.2008133055569368,0.1342122693145837
0.25,0.08,0.12,0.38,0.058333333333333334,24.41946466975359,10.388527935142045,4.479905103810499,4.867342612941105,2.347550501706295,2.336138516153646,0.002528253767657383,5.692103717656694,-0.10721700710145847,0.003238341143955406,-0.002323936848491612,0.005107750827752256,0.302626023300926,0.1710203608316668,0.14216826762197252,0.13581725249128218,3.6165053338452045,0.09264508868924626
0.25,0.08,0.12,0.38,0.10416666666666666,23.28601056979404,9.147685170992908,4.718515921870404,5.010010495009933,1.9084395125165314,2.5013594694042665,0.0025658389047829855,5.911654112693249,-0.10736703583332807,0.0036592622659969384,-0.001480568890075959,0.007913532041722446,0.3088678961755014,0.1928837295935756,0.16111746474734376,0.14927216019693737,3.647481630972669,0.0815792294403021
0.25,0.08,0.12,0.38,0.15,24.082386734915495,9.418397943219757,4.7752146150869805,4.968439782643674,1.782392579084613,3.1379418148804707,0.002574769883590713,4.491281472698017,-0.1038048408512599,0.005767360104439842,-0.00659840327492603,0.004113995244019411,0.28370527614545743,0.18560043876499524,0.15332034165112732,0.14516434240886542,3.7668306813903727,0.08399345106523776
0.25,0.08,0.21999999999999997,0.08,0.0125,20.46277708998223,9.01240537772188,2.5330739555807065,3.690824227510666,1.5409696924456147,3.685503836723364,0.0022215957700797494,2.750225545536235,-0.07348187233139573,0.005250841279793718,0.0017867992331131444,0.005668407161789409,0.2696221419418993,0.17351265737770727,0.15888678927521818,0.15437156825452147,3.869489839025133,0.08037280168425198
0.25,0.08,0.21999999999999997,0.08,0.058333333333333334,21.088751035551713,9.358879412917464,2.9429936104340286,3.7437473860370747,1.4824445392970693,3.560686086866078,0.002286164872869858,3.0647575193225434,-0.07321716362956622,0.008192102758971769,-0.004447142026768024,0.008060201422966718,0.24756193902598203,0.16507853370444417,0.16415994803182957,0.15448636639759275,3.8460884989995976,0.08346266368583855
0.25,0.08,0.21999999999999997,0.08,0.10416666666666666,21.34031994031665,9.656532665359192,3.1645397923896534,3.8601477109198727,1.6122760389033055,3.0468237327446244,0.002321062048514113,2.6571689190268355,-0.07477422400496582,0.0037152528999790262,-0.005830199469053718,0.012370690993575233,0.24101929082610898,0.16848107571658186,0.1588778596287592,0.15221997167228896,3.7497474923008913,0.08611714102307733
0.25,0.08,0.21999999999999997,0.08,0.15,20.846777066049846,9.304700497913934,3.158401950116353,3.663938904522639,1.9867591534675464,2.7329765600293743,0.0023200952371793503,3.185289951902522,-0.07394677740172544,0.00502010627452075,-0.002884326745884722,0.010243006213732293,0.23455010320105932,0.15788812695407162,0.1498265583828499,0.14188463900127993,3.690906146313161,0.08297949509670577
0.25,0.08,0.21999999999999997,0.18,0.0125,19.7038120309764,10.409009366207695,1.7866978591509914,4.218188450135514,2.752757616593742,0.5371587388884564,0.0021040292315645504,10.653022514951026,-0.08244037761486246,0.005495559837049664,0.004345916406179593,0.006095516007183451,0.300295326263191,0.1685990620384469,0.12407995066280282,0.11586021228050637,3.2792252794059977,0.09282774247902342
0.25,0.08,0.21999999999999997,0.18,0.058333333333333334,18.21214782141082,7.437351849957111,2.6223648552064454,3.8964253078009166,2.0771628500119608,2.1788429584343874,0.0022356605586496426,5.545921204410771,-0.0822052497228233,0.005913585600599347,-0.0010659627167573674,0.0037710806953844167,0.2723660794392287,0.17212652636138961,0.1435081791423096,0.1261276691931489,3.58701492214572,0.06632644452170738
0.25,0.08,0.21999999999999997,0.18,0.10416666666666666,17.99727660019788,6.71785720539769,3.0679963478649537,4.030382164069275,1.7814740172384163,2.399566865627545,0.002305854864571062,5.390841888092623,-0.0792210986474826,0.009278215605029332,-0.002729080135358212,0.01059621088852758,0.25482689800225616,0.16938911303517803,0.13846891808918274,0.13964212953188065,3.6283971390972165,0.059909977667808145
