t,client_id,kind,cm_id,cm_kind,reason,kappa,regime,seed
9299,25,FundamentalTrader,33,BCM,cm_contagion,0.15428868552202452,calm,42
9299,15,FundamentalTrader,33,BCM,cm_contagion,0.16307566534861334,calm,42
9299,16,FundamentalTrader,33,BCM,cm_contagion,0.15030089870023458,calm,42
9299,18,FundamentalTrader,33,BCM,cm_contagion,0.1506386831012147,calm,42
9299,50,MomentumTrader,33,BCM,cm_contagion,0.18246586495327108,calm,42
9299,62,ZeroIntelligenceTrader,33,BCM,cm_contagion,0.16992486735261159,calm,42
9299,78,ZeroIntelligenceTrader,33,BCM,cm_contagion,0.19383367989724695,calm,42
9299,98,ZeroIntelligenceTrader,33,BCM,cm_contagion,0.187228405042804,calm,42
9299,65,ZeroIntelligenceTrader,33,BCM,cm_contagion,0.3517906915908454,calm,42
9299,88,ZeroIntelligenceTrader,33,BCM,cm_contagion,0.16231499464521554,calm,42
12719,21,FundamentalTrader,32,BCM,cm_contagion,0.14833622425340726,calm,42
12719,12,FundamentalTrader,32,BCM,cm_contagion,0.18400620984284852,calm,42
12719,23,FundamentalTrader,32,BCM,cm_contagion,0.14790150092449422,calm,42
12719,5,FundamentalTrader,32,BCM,cm_contagion,0.14895951047008002,calm,42
12719,19,FundamentalTrader,32,BCM,cm_contagion,0.15040243204310577,calm,42
12719,4,FundamentalTrader,32,BCM,cm_contagion,0.15456040236691446,calm,42
12719,47,MomentumTrader,32,BCM,cm_contagion,0.3607362425368821,calm,42
12719,54,MomentumTrader,32,BCM,cm_contagion,0.18843039504650852,calm,42
12719,74,ZeroIntelligenceTrader,32,BCM,cm_contagion,0.17485842627146922,calm,42
12719,77,ZeroIntelligenceTrader,32,BCM,cm_contagion,0.18275896584095777,calm,42
12719,71,ZeroIntelligenceTrader,32,BCM,cm_contagion,0.14903138025034918,calm,42
12719,41,MomentumTrader,32,BCM,cm_contagion,0.6531119655708117,calm,42
12719,70,ZeroIntelligenceTrader,32,BCM,cm_contagion,0.15394742958405885,calm,42
12719,69,ZeroIntelligenceTrader,32,BCM,cm_contagion,0.17910383589649034,calm,42
12719,85,ZeroIntelligenceTrader,32,BCM,cm_contagion,0.1601101320679892,calm,42
13859,25,FundamentalTrader,33,BCM,cm_contagion,0.14806282150007374,calm,42
13859,15,FundamentalTrader,33,BCM,cm_contagion,0.15222435561841846,calm,42
13859,16,FundamentalTrader,33,BCM,cm_contagion,0.15273502300705846,calm,42
13859,18,FundamentalTrader,33,BCM,cm_contagion,0.152680271875326,calm,42
13859,50,MomentumTrader,33,BCM,cm_contagion,0.1494585601162696,calm,42
13859,62,ZeroIntelligenceTrader,33,BCM,cm_contagion,0.23719694981379102,calm,42
13859,78,ZeroIntelligenceTrader,33,BCM,cm_contagion,0.2184813850751351,calm,42
13859,98,ZeroIntelligenceTrader,33,BCM,cm_contagion,0.18477520759191882,calm,42
13859,65,ZeroIntelligenceTrader,33,BCM,cm_contagion,0.20437332887457244,calm,42
13859,88,ZeroIntelligenceTrader,33,BCM,cm_contagion,0.29312375445235767,calm,42
13979,21,FundamentalTrader,32,BCM,cm_contagion,0.14718095227637112,calm,42
13979,12,FundamentalTrader,32,BCM,cm_contagion,0.1601763465782178,calm,42
13979,23,FundamentalTrader,32,BCM,cm_contagion,0.1471113418914144,calm,42
13979,5,FundamentalTrader,32,BCM,cm_contagion,0.1473647595557288,calm,42
13979,19,FundamentalTrader,32,BCM,cm_contagion,0.1474234010435849,calm,42
13979,4,FundamentalTrader,32,BCM,cm_contagion,0.16740636706471057,calm,42
13979,47,MomentumTrader,32,BCM,cm_contagion,0.34730497879068567,calm,42
13979,54,MomentumTrader,32,BCM,cm_contagion,0.1642842949503144,calm,42
13979,74,ZeroIntelligenceTrader,32,BCM,cm_contagion,0.24231980875803188,calm,42
13979,77,ZeroIntelligenceTrader,32,BCM,cm_contagion,0.19585557209268303,calm,42
13979,71,ZeroIntelligenceTrader,32,BCM,cm_contagion,0.18958179356614702,calm,42
13979,41,MomentumTrader,32,BCM,cm_contagion,0.39614677024193473,calm,42
13979,70,ZeroIntelligenceTrader,32,BCM,cm_contagion,0.22853561395876346,calm,42
13979,69,ZeroIntelligenceTrader,32,BCM,cm_contagion,0.23623341535743256,calm,42
13979,85,ZeroIntelligenceTrader,32,BCM,cm_contagion,0.3701186469459407,calm,42
15419,21,FundamentalTrader,32,BCM,cm_contagion,0.14982221227302248,calm,42
15419,12,FundamentalTrader,32,BCM,cm_contagion,0.16888282153206002,calm,42
15419,23,FundamentalTrader,32,BCM,cm_contagion,0.14995128506244337,calm,42
15419,5,FundamentalTrader,32,BCM,cm_contagion,0.149978595036417,calm,42
15419,19,FundamentalTrader,32,BCM,cm_contagion,0.14976982876489453,calm,42
15419,4,FundamentalTrader,32,BCM,cm_contagion,0.17172050679392142,calm,42
15419,47,MomentumTrader,32,BCM,cm_contagion,0.424141441825508,calm,42
15419,54,MomentumTrader,32,BCM,cm_contagion,0.1597474756763396,calm,42
15419,74,ZeroIntelligenceTrader,32,BCM,cm_contagion,0.32648997557607534,calm,42
15419,77,ZeroIntelligenceTrader,32,BCM,cm_contagion,0.21793782986341517,calm,42
15419,71,ZeroIntelligenceTrader,32,BCM,cm_contagion,0.20865088542563526,calm,42
15419,41,MomentumTrader,32,BCM,cm_contagion,0.6838656405534475,calm,42
15419,70,ZeroIntelligenceTrader,32,BCM,cm_contagion,0.23722781885452085,calm,42
15419,69,ZeroIntelligenceTrader,32,BCM,cm_contagion,0.17119417249541263,calm,42
15419,85,ZeroIntelligenceTrader,32,BCM,cm_contagion,0.15491434721778755,calm,42
16499,21,FundamentalTrader,32,BCM,cm_contagion,0.14975714480338242,calm,42
16499,12,FundamentalTrader,32,BCM,cm_contagion,0.17589022998912068,calm,42
16499,23,FundamentalTrader,32,BCM,cm_contagion,0.14979538765907122,calm,42
16499,5,FundamentalTrader,32,BCM,cm_contagion,0.15003515386756028,calm,42
16499,19,FundamentalTrader,32,BCM,cm_contagion,0.14962198334726345,calm,42
16499,4,FundamentalTrader,32,BCM,cm_contagion,0.15849174468843366,calm,42
16499,47,MomentumTrader,32,BCM,cm_contagion,0.3146634981939311,calm,42
16499,54,MomentumTrader,32,BCM,cm_contagion,0.16204915727757438,calm,42
16499,74,ZeroIntelligenceTrader,32,BCM,cm_contagion,0.22849337373960268,calm,42
16499,77,ZeroIntelligenceTrader,32,BCM,cm_contagion,0.17304421481458165,calm,42
16499,71,ZeroIntelligenceTrader,32,BCM,cm_contagion,0.16124807960901633,calm,42
16499,41,MomentumTrader,32,BCM,cm_contagion,0.6018533988992671,calm,42
16499,70,ZeroIntelligenceTrader,32,BCM,cm_contagion,0.2034477651932242,calm,42
16499,69,ZeroIntelligenceTrader,32,BCM,cm_contagion,0.17465487446478234,calm,42
16499,85,ZeroIntelligenceTrader,32,BCM,cm_contagion,0.19151006166826032,calm,42
17759,21,FundamentalTrader,32,BCM,cm_contagion,0.1485835679353205,calm,42
17759,12,FundamentalTrader,32,BCM,cm_contagion,0.16004865755883163,calm,42
17759,23,FundamentalTrader,32,BCM,cm_contagion,0.14836400677368805,calm,42
17759,5,FundamentalTrader,32,BCM,cm_contagion,0.14820537977833356,calm,42
17759,19,FundamentalTrader,32,BCM,cm_contagion,0.14892828144798542,calm,42
17759,4,FundamentalTrader,32,BCM,cm_contagion,0.16780370450292836,calm,42
17759,47,MomentumTrader,32,BCM,cm_contagion,0.5047823644014139,calm,42
17759,54,MomentumTrader,32,BCM,cm_contagion,0.18179742030576324,calm,42
17759,74,ZeroIntelligenceTrader,32,BCM,cm_contagion,0.16033409301009016,calm,42
17759,77,ZeroIntelligenceTrader,32,BCM,cm_contagion,0.23156893243399754,calm,42
17759,71,ZeroIntelligenceTrader,32,BCM,cm_contagion,0.23718948536419543,calm,42
17759,41,MomentumTrader,32,BCM,cm_contagion,4.326330657690193,calm,42
17759,70,ZeroIntelligenceTrader,32,BCM,cm_contagion,0.19530356654833464,calm,42
17759,69,ZeroIntelligenceTrader,32,BCM,cm_contagion,0.20930537218639433,calm,42
17759,85,ZeroIntelligenceTrader,32,BCM,cm_contagion,0.27162877171939775,calm,42
19439,21,FundamentalTrader,32,BCM,cm_contagion,0.14970138898241173,calm,42
19439,12,FundamentalTrader,32,BCM,cm_contagion,0.15926954934538173,calm,42
19439,23,FundamentalTrader,32,BCM,cm_contagion,0.1498930467038972,calm,42
19439,5,FundamentalTrader,32,BCM,cm_contagion,0.14977254386549485,calm,42
19439,19,FundamentalTrader,32,BCM,cm_contagion,0.14920059323493207,calm,42
19439,4,FundamentalTrader,32,BCM,cm_contagion,0.18336814297886891,calm,42
19439,47,MomentumTrader,32,BCM,cm_contagion,0.5937767432146432,calm,42
19439,54,MomentumTrader,32,BCM,cm_contagion,0.2354059872255923,calm,42
19439,74,ZeroIntelligenceTrader,32,BCM,cm_contagion,0.16581485405064592,calm,42
19439,77,ZeroIntelligenceTrader,32,BCM,cm_contagion,0.20810132818357727,calm,42
19439,71,ZeroIntelligenceTrader,32,BCM,cm_contagion,0.3584966081857608,calm,42
19439,41,MomentumTrader,32,BCM,cm_contagion,0.6276890625496842,calm,42
19439,70,ZeroIntelligenceTrader,32,BCM,cm_contagion,0.16105787387228396,calm,42
19439,69,ZeroIntelligenceTrader,32,BCM,cm_contagion,0.25303271255465254,calm,42
19439,85,ZeroIntelligenceTrader,32,BCM,cm_contagion,0.2607107602769136,calm,42
20819,1,FundamentalTrader,30,BCM,cm_contagion,0.15196347327902915,calm,42
20819,0,FundamentalTrader,30,BCM,cm_contagion,0.1494253924762849,calm,42
20819,29,FundamentalTrader,30,BCM,cm_contagion,0.15226142795734562,calm,42
