regime,t,type,p50,p25,p75
calm,0,BCM,0.0,0.0,0.0
calm,0,FT,0.0,0.0,0.0
calm,0,MT,0.0,0.0,0.0
calm,0,ZI,0.0,0.0,0.0
calm,60,BCM,358733416.5,332818994.25,392420322.0
calm,60,FT,555940289.25,528170375.25,586994731.875
calm,60,MT,32918298.75,28843654.5,37674076.5
calm,60,ZI,103157003.25,93867012.0,113717873.25
calm,120,BCM,765486229.5,689753394.0,824507100.0
calm,120,FT,1161652783.5,1116095241.375,1213683699.375
calm,120,MT,33623770.5,30065843.25,37317496.5
calm,120,ZI,142048424.25,128325829.5,152888565.375
calm,180,BCM,1136324983.5,1019957649.75,1239182590.5
calm,180,FT,1735542276.75,1679621200.875,1816636285.125
calm,180,MT,33835698.0,29611764.0,39425661.0
calm,180,ZI,174141711.0,158404335.75,188654913.0
calm,240,BCM,1529996922.0,1412492064.75,1668182175.0
calm,240,FT,2362452473.25,2263364724.375,2479079363.625
calm,240,MT,67158405.0,58694571.0,73909153.125
calm,240,ZI,190889034.75,173794447.125,208089121.5
calm,300,BCM,1881568048.5,1705431861.0,2056378839.75
calm,300,FT,2924916491.25,2808571606.875,3048267056.625
calm,300,MT,117658973.25,105464929.5,125408965.5
calm,300,ZI,224262013.5,208476966.375,240567809.625
calm,360,BCM,2245650111.0,2038271670.0,2456813794.5
calm,360,FT,3478590627.75,3344735522.25,3591519165.0
calm,360,MT,177387914.25,166270978.125,187922865.375
calm,360,ZI,247466175.75,224104584.375,265540235.625
calm,420,BCM,2594268360.0,2346970187.25,2803832010.0
calm,420,FT,3975660090.0,3798411736.5,4083203466.0
calm,420,MT,170016804.0,160936576.875,178756760.25
calm,420,ZI,260053310.25,239593905.0,279984803.625
calm,480,BCM,2978807602.5,2676871955.25,3236139432.0
calm,480,FT,4464899914.5,4269275974.125,4620175405.875
calm,480,MT,119212128.0,108256466.25,127370076.75
calm,480,ZI,279901008.0,259950502.125,303467627.25
calm,540,BCM,3374518711.5,3010004761.5,3646297266.75
calm,540,FT,4970749144.5,4736313447.75,5143822187.625
calm,540,MT,109425303.0,99072747.0,119035897.875
calm,540,ZI,314583885.0,288458458.875,343491853.5
calm,600,BCM,3759771694.5,3370377258.0,4082970971.25
calm,600,FT,5481215626.5,5185984061.25,5668472215.125
calm,600,MT,175708419.75,163603912.5,183925383.75
calm,600,ZI,329350995.0,300994188.75,362997464.625
calm,660,BCM,4179795178.5,3736886933.25,4507365442.5
calm,660,FT,5939822207.25,5638649664.375,6183419631.75
calm,660,MT,159995333.25,148449096.0,169196098.5
calm,660,ZI,319429968.75,295998664.5,349301065.5
calm,720,BCM,4505595435.0,4074644319.75,4877610169.5
calm,720,FT,6337728036.0,6019242053.625,6627855515.625
calm,720,MT,122862795.75,111442925.25,133884153.0
calm,720,ZI,332850550.5,299611794.375,360007465.5
calm,780,BCM,4886641980.0,4398028353.0,5277668118.75
calm,780,FT,6722614746.0,6329302414.875,7078568159.25
calm,780,MT,109597162.5,99737978.625,120276909.0
calm,780,ZI,344811773.25,312914675.25,374623702.875
calm,840,BCM,5258209621.5,4717553352.75,5644515476.25
calm,840,FT,7050537468.0,6640200218.25,7457456373.75
calm,840,MT,85885042.5,74463030.0,96161058.0
calm,840,ZI,359413326.0,333216225.0,389377895.625
calm,900,BCM,5596674273.0,5045714471.25,6051149858.25
calm,900,FT,7381206002.25,6876313626.375,7856355037.5
calm,900,MT,71652017.25,62961376.5,84339213.75
calm,900,ZI,372152493.0,339251326.875,395676775.125
calm,960,BCM,5960010420.0,5379840483.75,6407096573.25
calm,960,FT,7677881118.0,7149677740.875,8231045852.25
calm,960,MT,76448207.25,69348712.5,86828620.5
calm,960,ZI,382695399.0,346655297.25,404475588.0
calm,1020,BCM,6338684619.0,5744074689.0,6807891946.5
calm,1020,FT,8039096208.0,7463931045.75,8617111951.5
calm,1020,MT,73412460.0,64910649.375,84741142.5
calm,1020,ZI,386209082.25,355098443.625,422877361.5
calm,1080,BCM,6674619177.0,6025894404.75,7126626060.0
calm,1080,FT,8331071382.0,7712380402.875,8971527917.25
calm,1080,MT,76286124.0,67964544.0,85825463.625
calm,1080,ZI,405975784.5,370744846.875,431720777.25
calm,1140,BCM,6992911296.0,6326089011.0,7462547178.75
calm,1140,FT,8598621449.25,7936685899.875,9271741389.75
calm,1140,MT,82460646.0,74087217.0,92760518.25
calm,1140,ZI,418338159.75,380622378.375,446216107.5
calm,1200,BCM,7262830476.0,6612856395.75,7764134535.0
calm,1200,FT,8832853737.0,8176627873.125,9528013990.125
calm,1200,MT,97521446.25,87101481.375,109546967.25
calm,1200,ZI,457854113.25,412684216.875,489820609.125
calm,1260,BCM,7485908652.0,6866784078.75,8053650344.25
calm,1260,FT,8963138223.0,8327637466.875,9690733102.5
calm,1260,MT,102735812.25,92072694.375,114985693.125
calm,1260,ZI,451357976.25,414714529.125,486310491.0
calm,1320,BCM,7782372643.5,7176649680.0,8342793720.0
calm,1320,FT,9141182505.0,8437340413.125,9885463042.5
calm,1320,MT,112932816.75,97694120.25,128185021.125
calm,1320,ZI,450993937.5,412962613.875,482499446.625
calm,1380,BCM,8064923013.0,7475191699.5,8638272756.0
calm,1380,FT,9317291193.0,8540120063.25,10043324986.5
calm,1380,MT,98755719.75,87280995.375,110285808.75
calm,1380,ZI,449160518.25,418002757.875,485522467.875
calm,1440,BCM,8315394754.5,7734662649.0,8909405244.0
calm,1440,FT,9515000549.25,8612468322.75,10183123838.25
calm,1440,MT,93338257.5,84415267.125,105922498.5
calm,1440,ZI,448312378.5,415274316.75,483590496.375
calm,1500,BCM,8364795583.5,7900358400.0,9067835884.5
calm,1500,FT,9588405802.5,8705627968.5,10251727720.875
calm,1500,MT,90418749.75,82602160.875,102443914.125
calm,1500,ZI,454820377.5,420856034.625,489086393.625
calm,1560,BCM,8469382491.0,8088698947.5,9274778790.75
