regime,t,p50,p25,p75,im_frac
calm,59,874163691.0,837641385.0,909825567.75,0.04
calm,119,1699404741.0,1659294996.75,1777461981.75,0.04
calm,179,2509185870.0,2423779582.5,2603097708.75,0.04
calm,239,3365917762.5,3256559338.5,3519940779.0,0.04
calm,299,4201904889.0,4057798389.75,4350184461.0,0.04
calm,359,5003922816.0,4858587389.25,5154969980.25,0.04
calm,419,5671721362.5,5461887656.25,5832337079.25,0.04
calm,479,6319633338.0,6094840619.25,6537664689.75,0.04
calm,539,7036219386.0,6788378421.0,7264353082.5,0.04
calm,599,7812757755.0,7532929446.75,8036456737.5,0.04
calm,659,8473247955.0,8178370751.25,8799342624.0,0.04
calm,719,8991519885.0,8679441595.5,9378822705.75,0.04
calm,779,9553160848.5,9220293963.0,10001715981.75,0.04
calm,839,10096481115.0,9665620119.0,10525323980.25,0.04
calm,899,10647720504.0,10116354942.0,11061958072.5,0.04
calm,959,11127509239.5,10561190328.0,11569590276.75,0.04
calm,1019,11603059492.5,11062564308.0,12134647800.0,0.04
calm,1079,12075755877.0,11423869661.25,12720613610.25,0.04
calm,1139,12492862515.0,11906527203.0,13196225504.25,0.04
calm,1199,12886578882.0,12326443524.0,13589552045.25,0.04
calm,1259,13182777688.5,12543654726.0,13917561129.0,0.04
calm,1319,13505143932.0,12810712342.5,14279950586.25,0.04
calm,1379,13835374956.0,13048948788.75,14678739675.0,0.04
calm,1439,14105984571.0,13305018755.25,14952788851.5,0.04
calm,1499,14293683477.0,13406310081.0,15055095748.5,0.04
calm,1559,14555041677.0,13581682452.0,15265852980.75,0.04
calm,1619,14750105521.5,13817861822.25,15427177110.0,0.04
calm,1679,15061271220.0,14114360693.25,15811159500.0,0.04
calm,1739,15297807037.5,14324955144.75,16125110896.5,0.04
calm,1799,15434369626.5,14436904785.75,16207556186.25,0.04
calm,1859,15471474777.0,14430284311.5,16385104347.75,0.04
calm,1919,15510796870.5,14455246299.75,16469138549.25,0.04
calm,1979,15564470274.0,14494602026.25,16530693891.75,0.04
calm,2039,15736139559.0,14604302452.5,16649367675.75,0.04
calm,2099,15789807769.5,14653093986.0,16741787172.75,0.04
calm,2159,15894360324.0,14719549135.5,16824409708.5,0.04
calm,2219,16092885600.0,14802585975.0,17066406375.0,0.04
calm,2279,16276828635.0,14937779920.5,17260483257.0,0.04
