t,n_calls,regime
59,0,calm
119,0,calm
179,0,calm
239,0,calm
299,0,calm
359,0,calm
419,5,calm
479,0,calm
539,0,calm
599,0,calm
659,0,calm
719,0,calm
779,0,calm
839,0,calm
899,0,calm
959,0,calm
1019,0,calm
1079,0,calm
1139,0,calm
1199,5,calm
1259,5,calm
1319,0,calm
1379,0,calm
1439,0,calm
1499,0,calm
1559,0,calm
1619,5,calm
1679,5,calm
1739,0,calm
1799,0,calm
1859,0,calm
1919,0,calm
1979,0,calm
2039,0,calm
2099,0,calm
2159,0,calm
2219,0,calm
2279,5,calm
2339,2,calm
2399,0,calm
2459,0,calm
2519,0,calm
2579,5,calm
2639,0,calm
2699,0,calm
2759,0,calm
2819,0,calm
2879,5,calm
2939,5,calm
2999,5,calm
3059,5,calm
3119,0,calm
3179,5,calm
3239,0,calm
3299,5,calm
3359,5,calm
3419,0,calm
3479,0,calm
3539,5,calm
3599,0,calm
3659,5,calm
3719,0,calm
3779,5,calm
3839,5,calm
3899,0,calm
3959,5,calm
4019,0,calm
4079,0,calm
4139,5,calm
4199,5,calm
4259,5,calm
4319,0,calm
4379,5,calm
4439,5,calm
4499,5,calm
4559,0,calm
4619,5,calm
4679,0,calm
4739,0,calm
4799,0,calm
4859,0,calm
4919,5,calm
4979,5,calm
5039,5,calm
5099,5,calm
5159,0,calm
5219,0,calm
5279,8,calm
5339,5,calm
5399,5,calm
5459,5,calm
5519,0,calm
5579,5,calm
5639,0,calm
5699,0,calm
5759,5,calm
5819,5,calm
5879,5,calm
5939,0,calm
5999,0,calm
6059,0,calm
6119,6,calm
6179,0,calm
6239,5,calm
6299,0,calm
6359,0,calm
6419,0,calm
6479,5,calm
6539,4,calm
6599,0,calm
6659,0,calm
6719,0,calm
6779,0,calm
6839,0,calm
6899,8,calm
6959,5,calm
7019,0,calm
7079,5,calm
7139,5,calm
7199,0,calm
7259,5,calm
7319,5,calm
7379,1,calm
7439,0,calm
7499,0,calm
7559,0,calm
7619,0,calm
7679,0,calm
7739,5,calm
7799,5,calm
7859,1,calm
7919,4,calm
7979,0,calm
8039,0,calm
8099,3,calm
8159,8,calm
8219,1,calm
8279,4,calm
8339,0,calm
8399,5,calm
8459,0,calm
8519,6,calm
8579,0,calm
8639,0,calm
8699,0,calm
8759,0,calm
8819,0,calm
8879,0,calm
8939,5,calm
8999,5,calm
9059,0,calm
9119,0,calm
9179,0,calm
9239,0,calm
9299,0,calm
9359,5,calm
9419,5,calm
9479,0,calm
9539,0,calm
9599,0,calm
9659,0,calm
9719,0,calm
9779,5,calm
9839,5,calm
9899,0,calm
9959,0,calm
10019,0,calm
10079,0,calm
10139,0,calm
10199,5,calm
10259,0,calm
10319,5,calm
10379,5,calm
10439,0,calm
10499,0,calm
10559,5,calm
10619,0,calm
10679,0,calm
10739,0,calm
10799,0,calm
10859,0,calm
10919,0,calm
10979,0,calm
11039,0,calm
11099,0,calm
11159,0,calm
11219,0,calm
11279,5,calm
11339,5,calm
11399,0,calm
11459,5,calm
11519,0,calm
11579,0,calm
11639,0,calm
11699,0,calm
11759,5,calm
11819,0,calm
11879,0,calm
11939,0,calm
11999,0,calm
12059,0,calm
12119,0,calm
12179,0,calm
12239,5,calm
12299,5,calm
12359,0,calm
12419,0,calm
12479,0,calm
12539,0,calm
12599,5,calm
12659,0,calm
12719,0,calm
12779,0,calm
12839,0,calm
12899,0,calm
12959,0,calm
13019,0,calm
13079,0,calm
13139,0,calm
13199,0,calm
13259,0,calm
13319,0,calm
13379,0,calm
13439,0,calm
13499,0,calm
13559,0,calm
13619,0,calm
13679,0,calm
13739,5,calm
13799,0,calm
13859,5,calm
13919,0,calm
13979,5,calm
14039,0,calm
14099,0,calm
14159,5,calm
14219,6,calm
14279,0,calm
14339,0,calm
14399,0,calm
14459,0,calm
14519,0,calm
14579,0,calm
14639,5,calm
14699,0,calm
14759,0,calm
14819,0,calm
14879,0,calm
14939,0,calm
14999,0,calm
15059,5,calm
15119,0,calm
15179,0,calm
15239,0,calm
15299,0,calm
15359,0,calm
15419,0,calm
15479,0,calm
15539,0,calm
15599,0,calm
15659,0,calm
15719,5,calm
15779,0,calm
15839,5,calm
15899,0,calm
15959,0,calm
16019,0,calm
16079,0,calm
16139,0,calm
16199,0,calm
16259,0,calm
16319,0,calm
16379,0,calm
16439,0,calm
16499,0,calm
16559,0,calm
16619,0,calm
16679,0,calm
16739,0,calm
16799,0,calm
16859,0,calm
16919,0,calm
16979,0,calm
17039,0,calm
17099,5,calm
17159,3,calm
17219,0,calm
17279,0,calm
17339,0,calm
17399,5,calm
17459,0,calm
17519,0,calm
17579,0,calm
17639,0,calm
17699,0,calm
17759,0,calm
17819,0,calm
17879,0,calm
17939,0,calm
17999,0,calm
18059,5,calm
18119,0,calm
18179,0,calm
18239,5,calm
18299,0,calm
18359,0,calm
18419,5,calm
18479,0,calm
18539,0,calm
18599,0,calm
18659,0,calm
18719,0,calm
18779,0,calm
18839,0,calm
18899,0,calm
18959,0,calm
19019,0,calm
19079,2,calm
19139,5,calm
19199,4,calm
19259,0,calm
19319,0,calm
19379,0,calm
19439,0,calm
19499,5,calm
19559,0,calm
19619,0,calm
19679,0,calm
19739,5,calm
19799,5,calm
19859,5,calm
19919,0,calm
19979,5,calm
20039,0,calm
20099,0,calm
20159,0,calm
20219,0,calm
20279,0,calm
20339,0,calm
20399,0,calm
20459,0,calm
20519,0,calm
20579,0,calm
20639,0,calm
20699,5,calm
20759,5,calm
20819,0,calm
20879,0,calm
20939,0,calm
20999,0,calm
21059,0,calm
21119,0,calm
21179,0,calm
21239,0,calm
21299,0,calm
21359,0,calm
21419,0,calm
21479,0,calm
21539,5,calm
21599,0,calm
21659,0,calm
21719,0,calm
21779,0,calm
21839,0,calm
21899,0,calm
21959,0,calm
22019,0,calm
22079,0,calm
22139,0,calm
22199,0,calm
22259,0,calm
22319,0,calm
22379,0,calm
22439,0,calm
22499,0,calm
22559,5,calm
22619,0,calm
22679,0,calm
22739,0,calm
22799,0,calm
22859,5,calm
22919,5,calm
22979,0,calm
23039,0,calm
23099,0,calm
23159,5,calm
23219,0,calm
23279,5,calm
