regime,t,mtype,metric,p50,p25,p75
calm,59,BCMc,cash,7584967676.344123,6344950627.972664,8682743955.074795
calm,59,BCMc,df_contribution,0.0,0.0,0.0
calm,59,BCMc,maintenance_margin,120705644.5875,101505183.18749999,140057768.025
calm,59,BCMo,cash,7451173327.494198,6195892069.821638,8750027730.944386
calm,59,BCMo,df_contribution,0.0,0.0,0.0
calm,59,BCMo,maintenance_margin,18474444.5625,11145899.7,23634414.45
calm,59,NBCM,cash,1855793314.8913898,1221528158.9700897,2377220557.082281
calm,59,NBCM,df_contribution,0.0,0.0,0.0
calm,59,NBCM,maintenance_margin,26111383.65,17132902.5375,34987552.256249994
calm,119,BCMc,cash,7567974492.913738,6314445485.722664,8662432617.348848
calm,119,BCMc,df_contribution,0.0,0.0,0.0
calm,119,BCMc,maintenance_margin,235889483.2875,199808848.79999998,272394820.85625
calm,119,BCMo,cash,7433327515.295078,6178111229.81654,8731116419.08986
calm,119,BCMo,df_contribution,0.0,0.0,0.0
calm,119,BCMo,maintenance_margin,38754249.412499994,22060279.29375,48609513.787499994
calm,119,NBCM,cash,1855793314.8913898,1221528158.9700897,2377220557.082281
calm,119,NBCM,df_contribution,0.0,0.0,0.0
calm,119,NBCM,maintenance_margin,51602456.25,33154923.881249998,67288906.125
calm,179,BCMc,cash,7547745019.663738,6296587863.745476,8644061477.084406
calm,179,BCMc,df_contribution,0.0,0.0,0.0
calm,179,BCMc,maintenance_margin,341667554.625,290829687.46875,401195032.59375
calm,179,BCMo,cash,7406035895.045078,6146960518.091424,8698217334.29388
calm,179,BCMo,df_contribution,0.0,0.0,0.0
calm,179,BCMo,maintenance_margin,56412226.6875,33976489.10625,72668437.875
calm,179,NBCM,cash,1855793314.8913898,1221528158.9700897,2377220557.082281
calm,179,NBCM,df_contribution,0.0,0.0,0.0
calm,179,NBCM,maintenance_margin,75783025.4625,46343345.90625,98557053.4125
calm,239,BCMc,cash,7530393737.374271,6288076015.647635,8626038099.949038
calm,239,BCMc,df_contribution,0.0,0.0,0.0
calm,239,BCMc,maintenance_margin,464988471.075,395664988.78125,541225201.21875
calm,239,BCMo,cash,7377256986.545078,6120615429.777958,8669466735.885782
calm,239,BCMo,df_contribution,0.0,0.0,0.0
calm,239,BCMo,maintenance_margin,73022243.2875,45148514.4,98943336.0
calm,239,NBCM,cash,1855793314.8913898,1221528158.9700897,2377220557.082281
calm,239,NBCM,df_contribution,0.0,0.0,0.0
calm,239,NBCM,maintenance_margin,102662226.89999999,62616478.6125,129948507.73125
calm,299,BCMc,cash,7513021419.874271,6269645358.92054,8604814704.228655
calm,299,BCMc,df_contribution,0.0,0.0,0.0
calm,299,BCMc,maintenance_margin,573399164.3625,488560429.91249996,668030363.4375
calm,299,BCMo,cash,7363234933.358387,6100221044.631239,8647608740.491373
calm,299,BCMo,df_contribution,0.0,0.0,0.0
calm,299,BCMo,maintenance_margin,87375312.1125,55686691.856249996,122470798.5
calm,299,NBCM,cash,1855793314.8913898,1221528158.9700897,2377220557.082281
calm,299,NBCM,df_contribution,0.0,0.0,0.0
calm,299,NBCM,maintenance_margin,128097074.69999999,78649706.86874999,164269374.80625
calm,359,BCMc,cash,7488928471.224119,6253433475.441243,8597465100.874336
calm,359,BCMc,df_contribution,0.0,0.0,0.0
calm,359,BCMc,maintenance_margin,688481764.65,585345674.30625,792657630.1125
calm,359,BCMo,cash,7352837931.165861,6076737899.620314,8619622512.985712
calm,359,BCMo,df_contribution,0.0,0.0,0.0
calm,359,BCMo,maintenance_margin,103520946.14999999,68069970.0,146369740.33125
calm,359,NBCM,cash,1855793314.8913898,1221528158.9700897,2377220557.082281
calm,359,NBCM,df_contribution,0.0,0.0,0.0
calm,359,NBCM,maintenance_margin,150611821.7625,91995751.35,196205185.18125
calm,419,BCMc,cash,7174256971.747215,5999450789.798197,8277338084.064573
calm,419,BCMc,df_contribution,266678525.4244597,223755037.52296183,313145059.7172304
calm,419,BCMc,maintenance_margin,774759122.0999999,657664381.9124999,896243778.5625
calm,419,BCMo,cash,7280569316.154865,5987803160.100433,8558888809.499506
calm,419,BCMo,df_contribution,43303272.712469175,28317145.81134741,59634217.35270823
calm,419,BCMo,maintenance_margin,117699361.9875,78344071.0875,168222088.96875
calm,419,NBCM,cash,1770408919.900599,1181407251.152279,2312801037.115915
calm,419,NBCM,df_contribution,57332050.95872956,35661874.11656159,74498774.4888599
calm,419,NBCM,maintenance_margin,171069832.125,103910650.875,218277928.23749998
calm,479,BCMc,cash,7163287776.247215,5978022451.862,8263206337.170961
calm,479,BCMc,df_contribution,266678525.4244597,223755037.52296183,313145059.7172304
calm,479,BCMc,maintenance_margin,867271977.4499999,732629099.6999999,999008405.60625
calm,479,BCMo,cash,7270378669.328256,5965666738.107733,8539305287.222525
calm,479,BCMo,df_contribution,43303272.712469175,28317145.81134741,59634217.35270823
calm,479,BCMo,maintenance_margin,135620245.35,89406582.63749999,192672325.18125
calm,479,NBCM,cash,1770408919.900599,1181407251.152279,2312801037.115915
