t,defaulted_cm,cm_kind,n_ported,n_unported,unported_position,regime,seed
15119,103,NBCM,1,0,0,stressed,45
20339,103,NBCM,4,0,0,stressed,54
14159,102,NBCM,1,0,0,stressed,57
14999,100,NBCM,1,0,0,stressed,58
14159,101,NBCM,1,0,0,stressed,60
14159,102,NBCM,1,0,0,stressed,70
14159,101,NBCM,1,0,0,stressed,72
15119,100,NBCM,0,0,0,stressed,78
11939,103,NBCM,1,0,0,stressed,82
14159,101,NBCM,1,0,0,stressed,85
14339,104,NBCM,0,0,0,stressed,85
14999,103,NBCM,0,0,0,stressed,87
14159,103,NBCM,0,0,0,stressed,93
14159,102,NBCM,0,0,0,stressed,98
12179,104,NBCM,1,0,0,stressed,105
20399,103,NBCM,0,0,0,stressed,105
12179,104,NBCM,0,0,0,stressed,108
15119,101,NBCM,1,0,0,stressed,113
17219,101,NBCM,1,0,0,stressed,116
14159,100,NBCM,4,0,0,stressed,118
14159,104,NBCM,1,0,0,stressed,118
14159,101,NBCM,0,0,0,stressed,123
14159,104,NBCM,0,0,0,stressed,128
12179,102,NBCM,0,0,0,stressed,134
14159,100,NBCM,1,0,0,stressed,135
