regime,seed,cm_defaults,nbcm_defaults,client_defaults,im_mean,total_df,n_margin_calls,client_im_share
calm,42,0,0,0,19138824000.0,6042429647.1,621,0.48872838695966286
calm,43,0,0,0,16492183886.16,5109643539.0,626,0.45376482188377304
calm,44,0,0,0,20149213368.834,6144762120.750001,618,0.49716858803509906
calm,45,0,0,0,19908008621.226,6708052672.200001,615,0.5186957029976038
calm,46,0,0,0,17484021512.28,5963555693.700001,652,0.47376440477000953
calm,47,0,0,0,20446165269.396,7403645130.750001,627,0.49815423735184616
calm,48,0,0,0,18117810942.156,6373159466.85,617,0.46384131169520787
calm,49,0,0,0,19709980183.602,6156827463.6,635,0.4796610121203573
calm,50,0,0,0,18801002877.588,4967321134.05,607,0.4714783239224334
calm,51,0,0,0,20852472996.036,6602319969.3,636,0.4474733360945459
calm,52,0,0,0,18492383977.83,6588582610.500001,626,0.5402978402826569
calm,53,0,0,0,18486174145.086,5353822331.55,627,0.45737461186949385
calm,54,0,0,0,17774943763.878,5150104517.25,647,0.4729293873405997
calm,55,0,0,0,18953825036.274,5992335102.6,612,0.45686389728794874
calm,56,0,0,0,19656217550.124,7236606519.450001,619,0.48133895556598694
calm,57,0,0,0,19795192996.554,7263883425.150001,618,0.5338228044228008
calm,58,0,0,0,18448212659.868,7305454406.250001,642,0.5459172015912862
calm,59,0,0,0,17454106761.192,6150839379.3,651,0.5165529429465822
calm,60,0,0,0,18173663264.142,6845369053.05,613,0.44805241421730174
calm,61,0,0,0,18511948184.724,6346104286.500001,613,0.479673676955568
calm,62,0,0,0,19196216090.316,6462573727.500001,644,0.492977688514587
calm,63,0,0,0,18940192870.662,6528464523.900001,630,0.47164685390272093
calm,64,0,0,0,20651401557.09,6467190320.250001,600,0.48880563907597296
calm,65,0,0,0,18643096289.736,7298615555.55,641,0.47475168693562214
calm,66,0,0,0,20503314952.182,6549994519.200001,648,0.43729221442331345
calm,67,0,0,0,18474247394.424,5853808941.75,651,0.4015854019968685
calm,68,0,0,0,19118230624.926,5857722070.200001,655,0.45604182151644096
calm,69,0,0,0,20362213661.31,7024406122.8,596,0.48376252468144837
calm,70,0,0,0,19049689938.924,6486729722.55,666,0.4337777942464615
calm,71,0,0,0,20205060858.09,5667285779.1,627,0.44175391882704734
calm,72,0,0,0,19529209434.024,6814142527.500001,615,0.5191512479970267
calm,73,0,0,0,17377623030.114,6412467446.55,616,0.4021015031938423
calm,74,0,0,0,19484379782.082,6410155212.450001,635,0.5273542050681874
calm,75,0,0,0,20132789052.6,6342805923.3,605,0.4886771270721226
calm,76,0,0,0,17897610698.424,7068309192.450001,619,0.4830020594155244
calm,77,0,0,0,16138342078.272,6187171567.500001,648,0.5507005332516752
calm,78,0,0,0,17959747154.67,6822632084.400001,569,0.6306828178520756
calm,79,0,0,0,19611527165.172,6399976096.8,613,0.5530732386513361
calm,80,0,0,0,19027072439.982,6722820645.750001,622,0.5311471863838153
calm,81,0,0,0,18124611916.86,6522298566.3,642,0.5217638965505107
calm,82,0,0,0,18835090696.188,5989894599.150001,639,0.4594363780222863
calm,83,0,0,0,18823287069.216,5541395715.900001,616,0.5175107417743751
calm,84,0,0,0,19494905665.104,4884122350.8,632,0.4674945961233846
calm,85,0,0,0,19908029757.492,5400736570.35,629,0.4586813125459472
calm,86,0,0,0,18792052500.69,6490372016.700001,633,0.47973898428319267
calm,87,0,0,0,18979087861.998,7365493268.1,632,0.45326875912397574
calm,88,0,0,0,19126180209.654,5635180494.900001,640,0.447271578244139
calm,89,0,0,0,17332148639.52,5726247748.650001,631,0.42129895058755895
calm,90,0,0,0,19155553880.436,5488336656.0,609,0.4679936269352575
calm,91,0,0,0,22221731233.638,6122924354.250001,618,0.4609218935435902
calm,92,0,0,0,18775396075.356,5529281684.85,610,0.42197075554628266
calm,93,0,0,0,20000798873.28,5107459930.650001,604,0.4877855905687876
calm,94,0,0,0,19659222595.764,4985819006.85,623,0.43265690362874
calm,95,0,0,0,20090787217.38,4760706555.0,622,0.4319337093477122
calm,96,0,0,0,21049601161.266,8266622279.85,654,0.4964956234182448
calm,97,0,0,0,19776143662.83,7387716406.950001,629,0.4556064793642778
calm,98,0,0,0,18885578601.618,5986426515.3,623,0.41487186161333833
calm,99,0,0,0,18487876970.592,6331539253.05,603,0.5115038354171004
calm,100,0,0,0,20298764466.234,7055850740.400001,624,0.5319485271413453
calm,101,0,0,0,20852692547.418,6915102301.8,631,0.4801171678372411
calm,102,0,0,0,18950117836.518,6887374639.200001,609,0.5138513116094325
calm,103,0,0,0,19959730231.068,5571328063.950001,596,0.4357781381799546
calm,104,0,0,0,18232582313.196,6126972459.3,588,0.46959463243749433
calm,105,0,0,0,17790185823.21,5287405978.8,612,0.4962120933876739
calm,106,0,0,0,18306685377.054,8086139562.6,606,0.4713599188333189
calm,107,0,0,0,18798645014.982,5294479563.450001,608,0.4358501777839437
calm,108,0,0,0,18678660705.756,5396852260.8,604,0.48768263955914837
calm,109,0,0,0,20799298263.834,4990572660.150001,628,0.47088910020992814
calm,110,0,0,0,18065535200.064,6725901352.500001,625,0.5077596483392754
calm,111,0,0,0,17523816468.156,6093122225.85,608,0.5312352325994881
calm,112,0,0,0,19234355516.64,4445526972.150001,633,0.4435127985421688
calm,113,0,0,0,17247060057.276,6054199618.500001,633,0.46035529635299793
calm,114,0,0,0,19003100388.048,5099503850.1,607,0.4805695873305703
calm,115,0,0,0,19191891305.124,5231429651.25,611,0.41431389947729835
calm,116,0,0,0,19257682485.6,7192846455.3,632,0.4861539779802467
calm,117,0,0,0,18118692400.752,5289470109.0,616,0.4305070724705522
calm,118,0,0,0,19121638543.434,6703934529.6,615,0.5059220100895125
calm,119,0,0,0,18610832160.72,6385715671.500001,611,0.4929974825490387
calm,120,0,0,0,18787780266.444,6358141845.000001,632,0.44864231376249625
calm,121,0,0,0,18975567105.828,6262845642.900001,607,0.5024703583031414
calm,122,0,0,0,20204954271.126,5847383124.0,612,0.45334653732970326
