member_id,is_banking,is_client,deficit,level,L1_own_df,L2_sitg,L3_pooled_df,L4_survivor_cash,L5_ccp_cash,mutualised,regime,seed
103,False,False,741005666.8366271,3,65052640.59451103,85149886.06783229,590803140.1742837,0.0,0.0,590803140.1742837,stressed,45
103,False,False,3502832446.8059673,4,247434178.15761307,98096595.59952658,2924355746.22708,232945926.82174778,0.0,3157301673.0488276,stressed,54
102,False,False,824523954.8319299,3,80653018.40454026,89038022.35889679,654832914.0684929,0.0,0.0,654832914.0684929,stressed,57
100,False,False,859504960.0942342,3,97801673.75291234,120654309.67677513,641048976.6645468,0.0,0.0,641048976.6645468,stressed,58
101,False,False,928354532.8463457,3,125375648.34653544,137507646.10832435,665471238.3914859,0.0,0.0,665471238.3914859,stressed,60
102,False,False,1528431774.4208632,3,154630666.8044599,116431835.43205935,1257369272.184344,0.0,0.0,1257369272.184344,stressed,70
101,False,False,964467588.1972611,3,115410505.21354714,151872615.3771678,697184467.6065462,0.0,0.0,697184467.6065462,stressed,72
100,False,False,873145834.2495195,3,99969392.27701819,150367132.25639054,622809309.7161107,0.0,0.0,622809309.7161107,stressed,78
103,False,False,768849500.5565205,3,83805187.24621296,134511506.7802108,550532806.5300968,0.0,0.0,550532806.5300968,stressed,82
101,False,False,1032950916.8144976,3,104857126.18540642,132407597.43932189,795686193.1897693,0.0,0.0,795686193.1897693,stressed,85
104,False,False,646641233.4258351,3,73401884.64634247,0.0,573239348.7794926,0.0,0.0,573239348.7794926,stressed,85
103,False,False,1144431272.5430524,3,79320341.84251012,111733413.07913144,953377517.6214108,0.0,0.0,953377517.6214108,stressed,87
103,False,False,905332216.7432112,3,90818383.4787402,162737298.8131674,651776534.4513035,0.0,0.0,651776534.4513035,stressed,93
102,False,False,1182199114.205343,3,83266592.82190266,92975857.29017901,1005956664.0932612,0.0,0.0,1005956664.0932612,stressed,98
104,False,False,911056334.3571372,3,143284730.60639665,175807660.32190698,591963943.4288335,0.0,0.0,591963943.4288335,stressed,105
103,False,False,870842479.8746257,3,81169165.24705096,130386658.561185,659286656.0663897,0.0,0.0,659286656.0663897,stressed,105
104,False,False,888766092.4869628,3,71577747.84140685,125985017.5335607,691203327.1119952,0.0,0.0,691203327.1119952,stressed,108
101,False,False,919265019.6909201,3,82637165.78126855,98404749.57831275,738223104.3313388,0.0,0.0,738223104.3313388,stressed,113
101,False,False,902174829.4560316,3,96913376.4615884,113031352.7135514,692230100.2808918,0.0,0.0,692230100.2808918,stressed,116
100,False,False,2157753037.3889933,3,312291106.39117694,124323256.19194554,1721138674.8058708,0.0,0.0,1721138674.8058708,stressed,118
104,False,False,696909987.2531606,3,48894631.63308232,0.0,648015355.6200783,0.0,0.0,648015355.6200783,stressed,118
101,False,False,1188423604.3203917,3,115702999.42468247,168119848.57748437,904600756.3182248,0.0,0.0,904600756.3182248,stressed,123
104,False,False,1656524731.4319704,3,138319634.4059511,116292872.55958125,1401912224.466438,0.0,0.0,1401912224.466438,stressed,128
102,False,False,639462597.7593368,3,61698646.93328062,118965571.67196877,458798379.1540875,0.0,0.0,458798379.1540875,stressed,134
100,False,False,927301027.510562,3,88068671.64912133,141801870.58946243,697430485.2719783,0.0,0.0,697430485.2719783,stressed,135
