regime,arm,n_seeds,wf_mean,wf_std,wf_q05,wf_q50,wf_q95,wf_max,frac_seeds_Lge3,cm_def_mean,client_def_mean,im_mean_B
calm,H1:direct,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1337
calm,H1:tiered,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7668
calm,H2:flat05,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7474
calm,H2:flat12,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.3539
calm,H2:reactive,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7668
calm,H2:reactive+decoupleDF,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7554
calm,H2:static,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7668
calm,NET:gross,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7668
calm,NET:net,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.339
stressed,H1:direct,40,2.6,1.3737,0.0,3.0,4.0,4.0,0.8,2.025,2.025,10.2508
stressed,H1:tiered,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,32.5824
stressed,H2:flat05,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,4.1,16.7143
stressed,H2:flat12,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,35.2283
stressed,H2:reactive,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,32.5824
stressed,H2:reactive+decoupleDF,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.475,31.7089
stressed,H2:static,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,32.5824
stressed,NET:gross,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,32.5824
stressed,NET:net,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.475,19.0417
