regime,arm,k,frac_seeds_ge_k,mean_total_im
calm,tiered,1,0.0,14766770625.347097
calm,tiered,2,0.0,14766770625.347097
calm,tiered,3,0.0,14766770625.347097
calm,tiered,4,0.0,14766770625.347097
calm,tiered,5,0.0,14766770625.347097
calm,direct,1,0.0,4133698433.787741
calm,direct,2,0.0,4133698433.787741
calm,direct,3,0.0,4133698433.787741
calm,direct,4,0.0,4133698433.787741
calm,direct,5,0.0,4133698433.787741
stressed,tiered,1,0.0,32582407486.4719
stressed,tiered,2,0.0,32582407486.4719
stressed,tiered,3,0.0,32582407486.4719
stressed,tiered,4,0.0,32582407486.4719
stressed,tiered,5,0.0,32582407486.4719
stressed,direct,1,0.8,10250848272.542995
stressed,direct,2,0.8,10250848272.542995
stressed,direct,3,0.8,10250848272.542995
stressed,direct,4,0.2,10250848272.542995
stressed,direct,5,0.0,10250848272.542995
