regime,arm,metric,mean,std
calm,reactive,deepest_waterfall,0.0,0.0
calm,flat05,deepest_waterfall,0.0,0.0
calm,flat12,deepest_waterfall,0.0,0.0
calm,static,deepest_waterfall,0.0,0.0
stressed,reactive,deepest_waterfall,0.0,0.0
stressed,flat05,deepest_waterfall,0.0,0.0
stressed,flat12,deepest_waterfall,0.0,0.0
stressed,static,deepest_waterfall,0.0,0.0
calm,reactive,cm_defaults,0.0,0.0
calm,flat05,cm_defaults,0.0,0.0
calm,flat12,cm_defaults,0.0,0.0
calm,static,cm_defaults,0.0,0.0
stressed,reactive,cm_defaults,0.0,0.0
stressed,flat05,cm_defaults,0.05,0.2207
stressed,flat12,cm_defaults,0.0,0.0
stressed,static,cm_defaults,0.0,0.0
calm,reactive,client_defaults,0.0,0.0
calm,flat05,client_defaults,0.0,0.0
calm,flat12,client_defaults,0.0,0.0
calm,static,client_defaults,0.0,0.0
stressed,reactive,client_defaults,1.3,1.114
stressed,flat05,client_defaults,4.1,1.9055
stressed,flat12,client_defaults,0.65,0.8022
stressed,static,client_defaults,1.3,1.114
