exp,regime,seed,direct,margin,netting,decouple,drawdown,client_defaults,cm_defaults,nbcm_defaults,deepest_waterfall,mutualised_l3,survivor_l4,total_df,ccp_cash_used,client_loss_absorbed,im_mean,im_peak,closeout_recovery
,stressed,42,False,flat08,gross,False,-35.629681561565995,4,1,0,3,True,False,14260379892.000002,369491419.44000006,0.0,31486420646.705395,36460738880.0,0.7
,stressed,43,False,flat08,gross,False,-35.600162355632634,10,0,0,0,False,False,12687370850.000002,0.0,0.0,29710277922.522823,35698541760.0,0.7
,stressed,44,False,flat08,gross,False,-35.62599166082432,7,0,0,0,False,False,13378950684.000002,0.0,0.0,28955213306.290455,35086449408.0,0.7
,stressed,45,False,flat08,gross,False,-35.633371462307665,13,2,2,3,True,False,13506860796.000002,846973824.8400002,0.0,28917569616.79668,34992971520.0,0.7
,stressed,46,False,flat08,gross,False,-35.64444116453267,7,0,0,0,False,False,16047898680.000002,0.0,0.0,29997685533.742737,34523538272.0,0.7
,stressed,47,False,flat08,gross,False,-35.666580568982695,8,0,0,0,False,False,13804095030.000002,0.0,0.0,28884094297.825726,36532379904.0,0.7
,stressed,48,False,flat08,gross,False,-35.61123205785764,5,0,0,0,False,False,13137135044.000002,0.0,0.0,27493223263.73444,35938932960.0,0.7
,stressed,49,False,flat08,gross,False,-35.64813106527435,12,1,1,3,True,False,14962811358.000002,475392129.96000004,0.0,31014529286.838173,38393357568.0,0.7
,stressed,50,False,flat08,gross,False,-35.629681561565995,6,0,0,0,False,False,14088399732.000002,0.0,0.0,29216976319.66805,36182608000.0,0.7
,stressed,51,False,flat08,gross,False,-35.64813106527435,7,0,0,0,False,False,15451152288.000002,0.0,0.0,32307799004.61411,39419394240.0,0.7
,stressed,42,False,flat12,gross,False,-35.60754215711598,4,0,0,0,False,False,10605470590.0,0.0,0.0,43462004238.57262,50050238736.0,0.7
,stressed,43,False,flat12,gross,False,-35.589092653407626,10,1,1,3,True,False,10692528418.0,307857860.63999987,0.0,40767927877.59336,48880271424.0,0.7
,stressed,44,False,flat12,gross,False,-35.670270469724365,4,1,1,3,True,False,11301634014.0,330969639.0,0.0,40266474418.05809,47491240128.0,0.7
,stressed,45,False,flat12,gross,False,-35.69240987417438,3,1,1,3,True,False,11134429350.0,352124291.63999987,0.0,39986929776.99585,47696880816.0,0.7
,stressed,46,False,flat12,gross,False,-35.68871997343271,8,1,1,3,True,False,13822848468.000002,417395530.86000013,0.0,40422248890.05809,47702226240.0,0.7
,stressed,47,False,flat12,gross,False,-35.65182096601601,4,1,0,3,True,False,13618141482.000002,332663199.65999985,0.0,41024284768.43153,49363436112.0,0.7
,stressed,48,False,flat12,gross,False,-35.64444116453267,4,1,1,3,True,False,10793749450.0,312528860.81999993,0.0,37455693113.62656,49490084976.0,0.7
