margin,seed,assumed_pos
flat04,42,3460
flat04,42,376
flat04,42,686
flat04,42,591
flat04,42,604
flat04,42,1110
flat04,42,1558
flat04,42,743
flat04,42,437
flat04,42,307
flat04,42,550
flat04,43,183
flat04,43,1134
flat04,43,835
flat04,43,572
flat04,43,1087
flat04,43,2546
flat04,43,522
flat04,43,613
flat04,44,101
flat04,44,1182
flat04,44,741
flat04,44,228
flat04,44,898
flat04,44,161
flat04,44,1256
flat04,44,869
flat04,45,1227
flat04,45,435
flat04,45,770
flat04,45,714
flat04,45,415
flat04,45,665
flat04,45,632
flat04,45,1252
flat04,45,1755
flat04,45,1069
flat04,45,1340
flat04,45,1097
flat04,46,675
flat04,46,305
flat04,46,223
flat04,46,1085
flat04,46,559
flat04,46,695
flat04,46,479
flat04,46,848
flat04,46,1351
flat04,46,642
flat04,47,474
flat04,47,1153
flat04,47,1083
flat04,47,945
flat04,47,831
flat04,47,519
flat04,47,849
flat04,47,995
flat04,47,1473
flat04,47,644
flat04,47,1251
flat04,48,868
flat04,48,433
flat04,48,234
flat04,48,626
flat04,48,741
flat04,48,1133
flat04,48,840
flat04,48,1519
flat04,48,222
flat04,48,682
flat04,48,232
flat04,48,430
flat04,48,1177
flat04,48,200
flat04,48,1054
flat04,48,1587
flat04,48,332
flat04,49,1313
flat04,49,1074
flat04,49,465
flat04,49,895
flat04,49,615
flat04,49,639
flat04,49,427
flat04,49,1585
flat04,49,619
flat04,49,926
flat04,49,203
flat04,49,982
flat04,49,905
flat04,49,1189
flat04,49,1194
flat04,49,1533
flat04,50,806
flat04,50,1284
flat04,50,828
flat04,50,329
flat04,50,150
flat04,50,310
flat04,50,88
flat04,51,1337
flat04,51,1229
flat04,51,1185
flat04,51,822
flat04,51,1025
flat04,51,1280
flat04,51,318
flat04,51,810
flat04,52,1246
flat04,52,1513
flat04,52,263
flat04,52,238
flat04,52,680
flat04,52,803
flat04,52,525
flat04,52,747
flat04,52,935
flat04,52,121
flat04,52,925
flat04,52,81
flat04,53,1101
flat04,53,1304
flat04,53,638
flat04,53,773
flat04,53,7273
flat04,53,800
flat08,42,869
flat08,42,598
flat08,42,319
flat08,42,932
flat08,43,1472
flat08,43,855
flat08,43,1136
flat08,43,825
flat08,43,878
flat08,43,5034
flat08,43,207
flat08,43,2008
flat08,43,628
flat08,43,813
flat08,44,151
flat08,44,278
flat08,44,3165
flat08,44,106
flat08,44,590
flat08,44,635
flat08,44,655
flat08,45,413
flat08,45,970
flat08,45,601
flat08,45,1175
flat08,45,947
flat08,45,1041
flat08,45,1373
flat08,45,288
flat08,45,177
flat08,45,1525
flat08,45,792
flat08,45,962
flat08,45,4237
flat08,46,584
flat08,46,623
flat08,46,924
flat08,46,811
flat08,46,1110
flat08,46,999
flat08,46,213
flat08,47,207
flat08,47,1042
flat08,47,858
flat08,47,625
flat08,47,292
flat08,47,738
flat08,47,921
flat08,47,5590
flat08,48,392
flat08,48,649
flat08,48,175
flat08,48,558
flat08,48,1119
flat08,49,1070
flat08,49,925
flat08,49,456
flat08,49,441
flat08,49,798
flat08,49,451
flat08,49,611
flat08,49,947
flat08,49,915
flat08,49,609
flat08,49,1275
flat08,49,1073
flat08,50,663
flat08,50,1088
flat08,50,524
flat08,50,1042
flat08,50,5217
flat08,50,920
flat08,51,1159
flat08,51,1111
flat08,51,1065
flat08,51,831
flat08,51,1009
flat08,51,783
flat08,51,535
flat08,52,297
flat08,52,811
flat08,52,436
flat08,52,473
flat08,52,51
flat08,53,1063
flat08,53,769
flat08,53,222
flat08,53,5589
flat08,53,942
flat12,42,297
flat12,42,850
flat12,42,876
flat12,42,723
flat12,43,575
flat12,43,4485
flat12,43,1261
flat12,43,819
flat12,43,287
flat12,43,1959
flat12,43,726
flat12,43,4434
flat12,43,3728
flat12,43,917
flat12,44,550
flat12,44,778
flat12,44,2326
flat12,44,2414
flat12,45,908
flat12,45,344
flat12,45,4340
flat12,46,963
flat12,46,982
flat12,46,833
flat12,46,334
flat12,46,4745
flat12,46,213
flat12,46,1558
flat12,47,1115
flat12,47,661
flat12,47,330
flat12,48,459
flat12,48,914
flat12,48,410
flat12,48,1357
flat12,49,1349
flat12,49,610
flat12,49,1298
flat12,50,567
flat12,50,1057
flat12,50,705
flat12,50,311
flat12,50,564
flat12,50,3789
flat12,50,736
flat12,51,972
flat12,51,983
flat12,51,727
flat12,51,674
flat12,52,801
flat12,52,562
flat12,52,499
flat12,52,2604
flat12,52,3639
flat12,53,459
flat12,53,4607
flat12,53,758
flat12,53,915
