exp,regime,seed,direct,margin,netting,decouple,drawdown,client_defaults,cm_defaults,nbcm_defaults,deepest_waterfall,mutualised_l3,survivor_l4,total_df,ccp_cash_used,client_loss_absorbed,im_mean,im_peak,severity
,stressed,42,False,reactive,gross,False,-35.7034795763994,6,0,0,0,False,False,15526826568.000002,0.0,0.0,29701698437.627316,42213671234.87517,1.0
,stressed,43,False,reactive,gross,False,-35.61123205785764,4,0,0,0,False,False,12966766626.000002,0.0,0.0,27694920758.44152,41362339066.84698,1.0
,stressed,44,False,reactive,gross,False,-35.633371462307665,5,2,0,3,True,False,13902351012.000002,350560916.63999987,0.0,28198950997.617073,40651780670.18618,1.0
,stressed,45,False,reactive,gross,False,-35.65551086675769,8,3,1,3,True,False,14615088972.000002,697916207.9616585,0.0,27976650146.933064,39881106995.16781,1.0
,stressed,46,False,reactive,gross,False,-35.629681561565995,12,2,0,3,True,False,15914271780.000002,346353796.79999995,0.0,26543502848.02548,37479242820.79826,1.0
,stressed,47,False,reactive,gross,False,-35.600162355632634,9,3,1,3,True,False,14619681450.000002,385401174.84000015,0.0,27489961297.438763,39008699013.49114,1.0
,stressed,48,False,reactive,gross,False,-35.65551086675769,7,1,0,3,True,False,12914652608.000002,309693628.86000013,0.0,27208453335.86612,39899693185.45082,1.0
,stressed,49,False,reactive,gross,False,-35.670270469724365,13,1,1,3,True,False,15048264000.000002,352860742.0799999,0.0,29103548752.756046,39264168339.221245,1.0
,stressed,50,False,reactive,gross,False,-35.65551086675769,5,1,0,3,True,False,14917666566.000002,326097154.68000007,0.0,23893653482.200726,32964491946.44078,1.0
,stressed,51,False,reactive,gross,False,-35.68503007269105,7,2,0,3,True,False,16027956912.000002,554077186.3884826,0.0,29946286057.742607,38765379852.32851,1.0
,stressed,42,False,reactive,gross,False,-42.31947160621379,21,2,0,3,True,False,12665926350.000002,376892089.20000005,0.0,26301996735.17271,36876573198.85264,1.25
,stressed,43,False,reactive,gross,False,-42.31209180473046,23,4,0,3,True,False,12427120926.000002,617126926.6800001,0.0,23657819823.027035,32975640426.202454,1.25
,stressed,44,False,reactive,gross,False,-42.33054130843881,10,2,0,3,True,False,13153442588.000002,718684783.74,0.0,26907049190.123703,40798977783.54885,1.25
,stressed,45,False,reactive,gross,False,-42.41540902549722,13,3,1,3,True,False,15186265336.000002,939225882.4965085,0.0,25736941001.294617,35733311489.75415,1.25
,stressed,46,False,reactive,gross,False,-42.31947160621379,30,5,1,3,True,False,12536551632.000002,1093350463.26,0.0,21628580351.0965,30556127840.504616,1.25
,stressed,47,False,reactive,gross,False,-42.34161101066382,21,4,1,3,True,False,12758586060.000002,801551369.857299,0.0,25578954018.59307,40590789496.85127,1.25
,stressed,48,False,reactive,gross,False,-42.26781299583041,30,4,1,3,True,False,16285852044.000002,553506428.7506664,0.0,24786863700.20764,34321828280.62354,1.25
,stressed,49,False,reactive,gross,False,-42.37482011733884,16,2,1,3,True,False,14554772804.000002,805687421.8800001,0.0,26806222490.54886,35206754541.1397,1.25
,stressed,50,False,reactive,gross,False,-42.33423120918047,12,3,0,3,True,False,13618360976.000002,857660213.4688704,0.0,21054627027.37911,28445579188.875755,1.25
