t,mid_price,spread,bid_depth,ask_depth,volume,fundamental
0,2460.0,,0,56,63,2463.1250000000005
1,2459.375,0.25,6,35,57,2463.2024584268665
2,2459.375,0.25,11,100,60,2458.746491449476
3,2457.5,,0,86,76,2458.0765698764976
4,2456.75,0.5,3,129,66,2457.645428475583
5,2454.25,,0,123,50,2457.441050901675
6,2454.25,0.5,23,92,77,2457.767047490654
7,2454.25,0.5,27,95,67,2457.601713315294
8,2454.25,0.5,38,92,62,2458.10942141726
9,2454.25,0.5,53,86,78,2457.549152567902
10,2454.25,0.5,53,87,71,2457.308529276547
11,2454.25,0.5,50,87,72,2456.7552240460086
12,2454.25,0.5,88,75,61,2457.082668337184
13,2454.25,0.5,67,81,84,2457.430861388386
14,2453.875,0.25,28,132,72,2457.4372803085216
15,2453.875,0.25,52,121,51,2457.301932810583
16,2453.875,0.25,57,124,50,2457.655771156072
17,2453.875,0.25,57,99,76,2458.0060758568698
18,2453.75,0.5,77,114,73,2457.576667485854
19,2453.75,0.5,61,137,63,2457.161831604589
20,2453.75,0.5,56,105,66,2457.510644070486
21,2453.875,0.25,74,121,52,2457.6430745932894
22,2453.75,0.5,49,73,67,2457.91231523002
23,2454.125,0.25,48,71,64,2457.456677833833
24,2453.75,0.5,42,108,58,2457.0811210403426
25,2453.75,0.5,55,75,64,2457.305608288527
26,2453.875,0.25,73,123,58,2456.997068686485
27,2453.75,0.5,66,134,57,2456.255803071641
28,2453.75,0.5,49,110,69,2455.917329045789
29,2453.75,0.5,61,96,60,2455.810080419362
30,2453.75,0.5,38,112,58,2456.770654409452
31,2453.75,0.5,18,94,55,2456.193132539838
32,2453.5,1.0,16,106,53,2456.1549666434853
33,2453.375,0.25,29,128,53,2457.4499715155043
34,2453.125,0.25,45,115,59,2456.816798873717
35,2453.375,0.25,41,96,64,2457.228017333387
36,2453.25,0.5,63,110,74,2456.743574581885
37,2453.25,0.5,30,142,74,2457.018125406362
38,2453.25,0.5,48,122,80,2458.476842856664
39,2453.25,0.5,33,101,77,2458.9328326690847
40,2453.25,0.5,35,106,64,2459.0285459199063
41,2453.25,0.5,43,103,81,2458.408342034756
42,2453.25,0.5,17,128,64,2458.290833350367
43,2453.25,0.5,69,106,62,2457.9298326010075
44,2453.25,0.5,76,62,51,2456.9812362911302
45,2453.25,0.5,71,86,62,2455.5770256526785
46,2453.25,0.5,57,103,61,2455.0217342330434
47,2453.25,0.5,70,128,54,2455.001783985765
48,2453.25,0.5,38,122,68,2455.8261630915736
49,2452.875,0.25,22,136,71,2455.2588127956164
50,2452.875,0.25,54,105,51,2455.409815679684
51,2452.75,0.5,22,79,73,2454.0732133757283
52,2452.25,0.5,28,105,66,2453.4182008222224
53,2451.875,1.25,1,134,77,2451.635948107425
54,2447.5,,0,151,60,2453.2190803457424
55,2447.5,0.5,39,111,89,2453.35592282836
56,2447.5,0.5,58,127,72,2453.464633963636
57,2447.5,0.5,71,67,78,2453.798198874643
58,2447.5,0.5,61,84,69,2455.5924904633525
59,2447.5,0.5,56,88,67,2455.311245996104
60,2447.5,0.5,37,101,75,2454.618176974764
61,2447.875,0.25,52,47,86,2455.8315637639857
62,2447.75,0.5,60,80,68,2455.1158455990253
63,2447.75,0.5,49,90,69,2455.888286111492
64,2447.75,0.5,59,84,83,2455.844848433244
65,2447.75,0.5,72,99,70,2456.1377201052505
66,2447.75,0.5,69,76,71,2455.1129228796394
67,2447.75,0.5,67,40,85,2456.909879359768
68,2447.75,0.5,49,66,64,2456.6598287730008
69,2447.75,0.5,74,77,61,2456.1634610400674
70,2447.75,0.5,76,57,77,2456.548938756798
71,2447.875,0.25,119,84,74,2456.153185407758
72,2447.75,0.5,82,97,77,2456.3887046456816
73,2447.875,0.25,59,49,71,2455.771456885549
74,2447.75,0.5,51,83,95,2455.8503950961144
75,2447.75,0.5,60,67,67,2455.533216714456
76,2447.75,0.5,50,87,68,2455.0878707397005
77,2447.75,0.5,50,86,66,2454.577280214004
78,2447.75,0.5,66,111,87,2455.071571368203
79,2447.75,0.5,65,101,63,2454.866974932177
80,2447.75,0.5,62,81,54,2454.764616263908
81,2447.75,0.5,78,70,80,2455.0234659993234
82,2447.75,0.5,54,80,82,2455.6628745033263
83,2448.125,0.25,67,35,90,2455.17117506814
84,2448.25,0.5,60,63,70,2455.287108525786
85,2448.375,0.75,85,15,89,2454.890004474035
86,2448.25,0.5,30,81,66,2454.7948890956573
87,2448.375,0.75,38,50,84,2455.2688540830586
88,2448.25,0.5,32,91,62,2454.2304859569035
89,2448.25,0.5,43,108,69,2453.796229230583
90,2448.25,0.5,47,72,61,2453.6831987802707
91,2448.25,0.5,47,91,53,2453.892266739356
92,2448.25,0.5,47,63,74,2454.5482642920297
93,2448.25,0.5,25,86,67,2453.686429463231
94,2448.25,0.5,74,71,69,2454.403710951916
95,2448.375,0.75,62,79,63,2454.616324991616
96,2448.75,0.5,84,22,92,2454.543150531378
97,2450.0,,150,0,69,2454.1956213667067
98,2450.5,,204,0,35,2454.094657210531
99,2452.25,,170,0,43,2454.312771611446
100,2452.75,,156,0,44,2454.319921888949
101,2452.75,0.5,136,27,59,2454.2975180467447
102,2452.625,0.25,140,64,64,2454.0832423609395
103,2452.875,0.25,123,56,55,2454.237237504975
104,2452.875,0.75,125,7,76,2454.2021409074687
105,2453.25,0.5,174,6,65,2454.157590355457
106,2453.25,0.5,73,10,86,2454.142240783769
107,2453.125,0.25,70,20,80,2454.055772381896
108,2453.375,0.25,107,30,60,2453.958702302946
109,2453.125,0.25,150,48,58,2453.6905259769937
110,2453.375,0.25,143,51,61,2453.645210736397
111,2453.125,0.25,109,97,68,2453.450805350696
112,2453.25,0.5,88,97,65,2453.516434313618
113,2453.125,0.25,110,76,54,2453.4540911177232
114,2453.625,0.25,210,29,40,2453.4510238382227
115,2453.625,0.25,70,32,89,2453.453020622979
116,2453.25,0.5,72,62,80,2453.4559792254654
117,2453.375,0.25,122,60,39,2453.4350518525907
118,2453.125,0.25,121,68,40,2453.444169011577
119,2453.25,0.5,109,65,51,2453.694238507527
120,2453.25,0.5,68,99,82,2453.807381747622
121,2453.25,0.5,98,77,67,2453.8921552286743
