t,mid_price,spread,bid_depth,ask_depth,volume,fundamental
0,3253.625,0.25,10,31,49,3253.875031195734
1,3255.75,0.5,118,5,4,3254.8748929614158
2,3251.625,1.25,5,55,54,3252.37503817645
3,3251.0,,0,133,44,3251.124992340839
4,3248.25,1.0,5,270,8,3249.6250305620406
5,3249.625,0.25,106,109,42,3249.125022929932
6,3248.5,1.0,13,182,40,3249.375015283256
7,3249.875,0.25,70,54,79,3250.124961779985
8,3248.125,2.25,4,129,43,3249.6249999974143
9,3249.25,0.5,84,46,51,3249.125030571676
10,3249.75,0.5,50,83,73,3249.625022921937
11,3250.875,0.25,100,52,56,3250.8749847014724
12,3251.75,0.5,126,35,58,3251.624915902596
13,3249.125,0.25,49,181,23,3249.62503819427
14,3248.625,0.25,23,129,38,3248.875053496437
15,3249.875,0.25,79,98,56,3249.874977065006
16,3249.5,1.0,36,91,61,3250.1249464871976
17,3248.125,0.25,30,165,34,3248.625068773946
18,3249.875,0.25,94,78,39,3249.3749617811536
19,3248.125,0.25,24,247,19,3248.874984705348
20,3246.75,1.5,11,191,37,3247.8749694054686
21,3245.25,,0,210,19,3245.875091692937
22,3247.25,1.0,55,55,54,3246.874915909597
23,3244.0,1.0,3,192,25,3245.125084053548
24,3245.875,0.25,72,73,45,3246.124954137862
25,3245.0,1.0,30,143,51,3245.6250382107296
26,3246.125,0.25,94,78,51,3246.374977068524
27,3246.375,0.25,110,136,47,3246.374999998596
28,3245.75,0.5,48,179,35,3246.3749770687546
29,3245.0,0.5,56,160,48,3245.62504585259
30,3246.375,0.25,133,51,52,3246.3749541363472
31,3245.125,0.25,78,208,11,3245.625007638571
32,3244.875,0.25,85,181,44,3245.1250152847856
33,3245.25,0.5,113,161,40,3245.1249694229023
34,3243.75,0.5,26,220,58,3244.125015280304
35,3243.375,0.25,20,168,43,3243.625015281505
36,3243.375,0.25,28,139,60,3243.624854675179
37,3237.0,2.5,4,260,28,3238.8751451117805
38,3238.625,0.75,48,88,63,3238.8749770731924
39,3237.0,1.0,24,238,24,3238.1250458509394
40,3238.375,0.25,59,72,67,3238.874900610831
41,3235.75,0.5,19,201,57,3236.3751604375234
42,3238.625,0.25,58,63,76,3239.124862375945
43,3235.75,1.5,13,242,13,3237.3750381979885
44,3236.875,0.25,94,72,45,3236.875038213524
45,3237.75,0.5,82,74,61,3237.624984710619
46,3237.625,0.25,31,115,56,3237.8749694232506
47,3236.625,0.25,23,167,50,3237.124999995391
48,3236.125,0.25,26,167,65,3236.3750534947744
49,3237.375,0.25,127,96,47,3237.374961779261
50,3236.625,0.25,51,187,43,3237.12497706709
51,3235.75,0.5,34,194,50,3236.125106969136
52,3238.125,0.25,73,65,85,3238.624915895182
53,3238.375,0.25,40,127,58,3238.374946475854
54,3235.375,0.75,24,190,22,3236.3750305504173
55,3234.75,0.5,28,183,47,3235.375076414457
56,3236.75,1.0,67,89,90,3236.874854720832
57,3232.75,0.5,13,235,42,3233.6250763758594
58,3232.625,0.25,14,134,50,3232.8749847077306
59,3230.75,0.5,10,220,12,3231.625068778336
60,3232.375,0.25,81,53,57,3232.62503055599
61,3234.25,0.5,82,32,82,3234.62513736118
62,3238.5,,84,0,90,3241.124953823158
63,3243.5,,70,0,58,3246.124877579918
64,3245.75,,256,0,20,3247.1249082553013
65,3244.25,1.0,130,60,50,3245.1250840542284
66,3247.25,0.5,239,14,7,3245.8750611123746
67,3249.75,,243,0,10,3248.625045738293
68,3251.25,,225,0,19,3252.8749005470318
69,3254.0,,226,0,24,3253.874954127113
70,3252.625,0.75,87,27,66,3253.3748699595853
71,3249.375,0.25,33,42,88,3248.62516039595
72,3248.625,0.25,79,73,67,3249.124908258771
73,3247.125,0.25,37,91,72,3246.625145170293
74,3249.375,0.25,188,61,42,3248.8750991975435
75,3254.0,1.5,106,8,74,3254.374862275188
76,3255.5,,193,0,28,3255.374969419397
77,3255.125,0.25,84,19,62,3255.375053485909
78,3259.0,1.0,221,3,8,3257.124931195404
79,3255.625,1.25,52,81,59,3256.624977059389
80,3255.125,0.25,75,35,54,3255.374999989294
81,3254.25,0.5,73,62,75,3254.1251527855798
82,3258.625,1.75,185,10,44,3257.874747617112
83,3254.125,0.25,61,49,67,3253.3751145494703
84,3252.625,1.25,21,92,79,3252.625160408505
85,3258.5,1.0,180,18,23,3257.1247629185445
86,3252.625,2.25,12,89,64,3253.8750534363867
87,3252.125,0.25,63,44,54,3252.375015275123
88,3250.75,0.5,46,71,78,3251.375068779575
89,3256.0,5.0,194,34,24,3252.625038181361
90,3255.625,0.25,60,61,64,3255.124977026965
91,3257.875,1.25,142,36,40,3256.8749846874184
92,3257.75,0.5,113,37,51,3258.1248853138204
93,3256.125,0.25,37,75,81,3255.6250305294534
94,3254.625,0.25,27,76,86,3254.1249846860715
95,3252.5,1.0,33,72,80,3252.125038196852
96,3251.875,0.25,48,57,67,3251.375068777698
97,3252.875,0.25,94,40,45,3252.8749923385126
98,3255.875,2.25,131,23,31,3254.124923554102
99,3252.125,1.25,2,79,65,3252.875076416299
100,3256.125,1.75,156,18,27,3254.1249999864835
101,3254.75,0.5,53,73,44,3255.3749617767
102,3255.5,0.5,92,48,59,3255.375022927584
103,3256.25,0.5,125,48,41,3256.1250458326613
104,3258.5,,164,0,46,3258.374946472444
105,3259.0,0.5,121,11,38,3258.8749770654954
106,3258.875,0.75,81,19,83,3258.624954124638
107,3256.25,0.5,28,76,75,3256.874999970324
108,3254.625,0.25,23,112,66,3255.125015264947
109,3253.625,0.25,34,89,74,3253.874999985547
110,3252.75,0.5,22,75,82,3252.6249923387463
111,3249.25,1.5,7,211,21,3251.124999979306
112,3248.875,0.75,7,176,49,3249.625022917233
113,3247.875,0.75,17,202,53,3248.875015283725
114,3248.375,0.25,50,154,48,3248.624977066873
115,3246.375,0.75,14,262,25,3247.625045852002
116,3247.375,0.25,74,112,49,3248.1249541359966
117,3246.5,1.0,35,166,62,3247.125015278207
118,3246.125,0.25,41,133,48,3246.624961770075
119,3244.25,0.5,25,191,40,3244.875061130297
120,3245.125,0.25,85,104,51,3245.124984713452
121,3244.125,0.75,30,185,61,3244.874961771974
122,3242.25,1.5,9,169,62,3243.374999977386
123,3241.5,,0,186,61,3241.874992335122
124,3239.25,,0,206,18,3240.125114614799
125,3241.25,0.5,18,88,80,3242.124946481019
126,3242.125,0.25,57,97,58,3242.37499999754
127,3242.375,0.25,61,120,55,3242.6249923554424
128,3241.875,0.75,57,138,50,3242.6249694219628
129,3241.125,0.25,31,149,55,3241.6250076326896
130,3240.25,0.5,17,114,64,3240.8749235193204
131,3236.75,,0,227,17,3237.625160438214
132,3239.875,0.75,88,64,40,3239.624977048896
133,3240.625,0.25,92,70,54,3240.875007624877
134,3241.875,0.25,100,65,62,3242.375007615483
135,3243.75,0.5,96,27,76,3244.124900613515
136,3241.125,0.25,54,167,1,3242.625053489392
137,3242.75,0.5,124,25,57,3242.8750000022146
138,3242.875,0.25,115,52,55,3243.12503820553
139,3244.375,0.25,168,25,51,3244.624992340345
140,3245.375,0.25,174,6,57,3245.8750152648804
141,3245.5,,245,0,9,3247.6250076089195
142,3246.25,,191,0,17,3249.624946477325
143,3247.25,,239,0,21,3249.874984710408
144,3247.75,,225,0,2,3249.624977064538
145,3248.625,0.25,207,14,34,3248.624999991988
146,3247.75,0.5,79,47,79,3247.6250687772254
147,3250.5,1.0,189,7,9,3248.87497706264
148,3249.125,0.25,51,56,64,3249.3749694243224
149,3248.625,0.25,63,67,83,3248.8750229261914
150,3248.875,0.25,115,49,61,3249.1249541330653
151,3247.25,0.5,35,103,59,3247.8749999841207
152,3246.125,0.25,48,90,60,3246.6250076293964
153,3244.875,0.25,18,201,35,3245.6249388083293
154,3241.75,,0,242,27,3242.625061098367
155,3239.875,3.25,7,132,55,3241.625022928019
156,3241.375,0.25,70,86,34,3241.3750382125827
157,3242.375,0.25,109,76,43,3242.3750076321858
158,3243.375,0.25,69,80,62,3243.624992342255
159,3245.25,0.5,129,41,33,3244.6249159056088
160,3242.125,0.25,35,124,29,3242.8750534874903
161,3242.75,0.5,81,76,41,3242.875038209293
162,3243.625,0.25,77,50,83,3244.124946488367
163,3242.875,0.75,50,121,51,3243.624969415123
164,3241.25,0.5,23,153,38,3242.1250611343976
165,3242.375,0.25,111,73,43,3242.6250152835764
166,3243.75,0.5,90,62,49,3243.62503055
167,3245.375,0.25,87,31,70,3245.624992322235
168,3248.375,0.75,211,12,21,3247.374931195819
169,3246.25,0.5,53,84,58,3246.875053491989
170,3248.875,0.25,191,12,22,3248.124977061472
171,3248.75,0.5,84,26,65,3248.624946488379
172,3247.125,0.25,55,99,58,3247.375030564746
173,3246.625,0.25,89,63,44,3247.125022928525
174,3248.25,0.5,164,23,27,3247.624969424554
175,3246.625,0.25,33,110,51,3247.1249847067547
176,3246.25,0.5,41,92,77,3246.125007634802
177,3245.5,0.5,26,131,68,3245.3749770586232
178,3243.25,,0,269,19,3243.875053491727
179,3244.125,0.25,68,114,55,3244.1249999996407
180,3243.75,0.5,18,161,58,3244.3749541342204
181,3242.5,,0,235,55,3243.125061134999
182,3243.75,0.5,75,95,65,3243.874992354477
183,3243.875,0.25,18,145,59,3244.3749923528567
184,3244.375,0.25,64,117,55,3244.624931191572
185,3241.875,0.25,2,251,19,3242.625030551166
186,3241.0,,0,175,36,3241.6251146086806
187,3244.125,0.75,32,44,114,3244.374938818314
188,3245.25,0.5,93,65,48,3245.1249923481632
189,3245.75,0.5,107,10,58,3245.624908247051
190,3242.625,1.75,12,50,77,3243.124931072478
191,3237.75,,0,125,39,3238.375038054489
192,3234.0,,0,144,15,3234.875137517865
193,3235.625,0.25,47,51,50,3235.874977069428
194,3235.875,0.25,42,61,55,3236.125007639053
195,3235.75,0.5,39,61,75,3236.62493119483
196,3234.125,0.25,7,145,28,3234.875007616597
197,3233.125,0.25,3,128,44,3233.3750152738694
198,3231.5,,0,184,34,3232.375076416552
199,3233.375,0.25,52,44,82,3233.874938844801
200,3232.625,0.25,16,188,34,3233.375030569558
201,3233.75,0.5,71,84,79,3233.875015281686
202,3234.875,0.25,88,60,46,3234.874999989153
203,3235.75,0.5,88,59,55,3235.8749388443694
204,3233.625,1.25,20,159,37,3234.8750152772554
205,3234.375,0.25,90,76,32,3234.374946477636
206,3231.75,,0,141,59,3232.1251833465394
207,3235.625,0.75,20,33,65,3235.874954052201
208,3237.75,0.5,62,26,72,3238.1249006068865
209,3236.625,0.25,25,133,31,3237.1250076315164
210,3236.125,0.25,48,130,52,3236.374954115305
211,3233.25,,0,209,41,3234.1250534765877
212,3233.375,0.25,37,156,61,3233.6249923561013
213,3232.625,0.25,32,178,59,3232.8750534931346
214,3233.875,0.25,108,104,48,3233.8749159062427
215,3231.375,0.25,10,191,37,3232.125015262689
216,3230.25,,0,194,44,3230.875015276608
217,3228.875,1.25,11,164,46,3230.124984704912
218,3228.375,0.25,14,181,59,3228.8750382069225
219,3228.375,0.25,4,119,68,3228.8749388390734
220,3226.25,,0,230,16,3226.875114614196
221,3228.125,0.25,73,64,66,3228.6249846928417
222,3229.375,0.25,60,65,69,3229.8749311976503
223,3228.125,0.25,41,159,35,3228.875007633594
224,3227.625,0.25,50,133,44,3228.124992349263
225,3226.75,0.5,4,134,59,3227.1249923449977
226,3225.25,0.5,6,161,34,3225.875022924912
227,3224.625,0.25,14,144,49,3225.375122230605
228,3228.25,0.5,50,22,99,3228.874862364506
229,3227.25,1.0,27,115,37,3227.8751146019717
230,3228.0,2.0,50,40,89,3230.624892960271
231,3229.875,0.75,110,32,60,3229.8750611305204
232,3230.875,0.25,103,27,62,3231.1249082609343
233,3228.625,0.25,44,129,26,3229.375030553137
234,3228.125,0.25,42,127,40,3228.624992351609
235,3226.875,0.25,45,164,38,3227.625045855704
236,3228.25,0.5,142,97,41,3228.12506111472
237,3230.0,0.5,62,36,93,3230.624915894169
238,3230.125,0.25,72,75,55,3230.3749617698218
239,3227.75,0.5,32,175,9,3228.8749999786905
240,3226.625,0.25,19,163,32,3227.3750382054736
241,3226.875,0.25,33,87,59,3227.124992355419
242,3225.375,1.75,7,113,69,3226.6249694143576
243,3224.625,0.25,27,126,54,3225.1249923342893
244,3222.125,1.25,19,166,42,3223.3751222547903
245,3224.75,0.5,29,30,83,3225.6250075925323
246,3228.0,0.5,94,19,71,3228.1249693868763
247,3229.375,0.25,90,16,62,3229.6250076177157
248,3232.25,0.5,171,10,25,3231.375015246829
249,3234.0,,204,0,31,3233.6249464710886
250,3234.625,1.25,134,1,50,3234.1249694224384
251,3233.0,0.5,48,83,50,3233.6249923542287
252,3233.0,0.5,71,25,82,3232.8750764147862
253,3235.375,0.25,187,7,19,3234.624961768147
254,3235.25,0.5,86,28,61,3235.1249388412957
255,3233.0,0.5,43,100,48,3233.6250305580106
256,3232.625,0.25,82,47,75,3233.124946475523
257,3231.125,0.25,42,62,58,3230.8750993316044
258,3233.875,2.75,153,16,23,3231.874954136905
259,3230.875,0.25,27,71,60,3231.37499235049
260,3230.125,0.25,26,111,55,3230.624969410918
261,3228.25,0.5,20,121,54,3228.875053488596
262,3228.625,0.25,45,75,56,3228.875022928265
263,3229.375,0.25,99,45,53,3229.6249770675718
264,3228.875,0.75,69,92,48,3229.6249847102777
265,3228.625,0.25,69,108,53,3229.12496176742
266,3226.625,0.25,14,188,63,3227.3750076184065
267,3225.25,,0,146,34,3225.875045850029
268,3225.375,0.25,23,94,62,3225.875015285011
269,3226.875,0.25,96,59,30,3226.374938840798
270,3223.625,1.25,10,190,25,3224.8749617370463
271,3221.25,0.5,3,220,20,3222.1250687506017
272,3221.375,0.25,18,124,56,3221.624961769722
273,3218.375,1.75,6,201,25,3219.874999971624
274,3217.625,0.25,26,184,41,3218.125061133447
275,3218.25,0.5,68,88,50,3218.375053484034
276,3219.875,0.25,83,62,69,3220.3749388359893
277,3220.375,0.25,66,97,59,3220.374999999539
278,3218.875,1.75,47,190,40,3220.3750458448744
279,3222.0,1.0,101,31,77,3221.8748547203145
280,3217.875,0.25,38,189,20,3218.6250993068666
281,3218.375,0.25,104,79,45,3218.6249388404176
282,3216.125,0.25,23,150,53,3216.625099334085
283,3217.875,0.25,75,76,50,3217.8749694205867
284,3216.25,2.5,17,153,56,3218.124954131825
285,3216.625,0.25,58,127,58,3216.87501527493
286,3215.5,0.5,38,221,47,3216.1249923497094
287,3214.625,0.25,16,205,47,3215.124999992357
288,3213.625,0.25,10,202,54,3214.1250687782654
289,3215.25,0.5,79,137,57,3215.3750152691173
290,3215.375,1.25,28,84,93,3217.1250763281064
291,3220.625,0.75,54,8,109,3221.3748241118155
292,3218.875,0.75,50,147,32,3219.8750840492057
293,3220.875,0.25,116,25,52,3221.1248700183523
294,3216.125,2.75,25,144,48,3218.125084031065
295,3217.25,0.5,75,24,76,3217.875045854376
296,3218.5,0.5,86,35,84,3219.12498470791
297,3220.125,0.75,131,37,53,3219.875106915485
298,3223.875,0.25,124,16,68,3224.124923469024
299,3224.5,,195,0,38,3225.874977045373
300,3226.5,,236,0,8,3226.8749006119315
301,3224.0,0.5,67,97,48,3224.6251528023795
302,3227.25,,164,0,40,3227.3749540993463
303,3228.125,0.25,164,5,49,3228.624931197174
304,3227.125,0.25,53,37,48,3227.625022923791
305,3226.625,0.25,87,29,50,3227.375030572002
306,3228.875,0.25,202,1,19,3228.1250305554604
307,3230.0,,188,0,15,3229.87494648171
308,3229.625,0.25,131,63,55,3229.8749541298216
309,3228.625,0.25,93,94,74,3228.3750687722268
310,3229.5,1.0,167,51,57,3229.1249006086323
311,3227.125,0.25,38,82,103,3226.625068756593
312,3226.125,0.25,41,106,67,3226.374984713177
313,3225.125,0.25,67,102,61,3225.6250229285
314,3225.625,0.75,114,99,53,3225.625053489052
315,3227.375,0.25,150,51,50,3227.374984692129
316,3229.875,0.25,227,36,7,3228.624969420616
317,3228.125,0.25,48,89,61,3228.875068756614
318,3232.625,0.75,202,6,25,3231.37491589582
319,3230.375,0.75,60,102,44,3231.1250076409274
320,3232.0,2.0,145,41,43,3231.125015285008
321,3231.125,0.25,114,78,57,3231.624977067824
322,3231.25,0.5,95,62,60,3231.3749617733347
323,3230.125,0.25,54,125,73,3229.8750534914448
324,3229.625,0.25,59,94,64,3230.1250076423185
325,3231.375,0.25,212,63,16,3230.624961778092
326,3229.25,0.5,64,138,49,3229.8749464662933
327,3225.25,3.5,9,136,69,3227.3750993319973
