t,mid_price,spread,bid_depth,ask_depth,volume,fundamental
0,4500.125,0.25,261,303,46,4500.0
1,4500.125,0.25,408,353,0,4500.0
2,4500.125,0.25,412,395,0,4500.0
3,4500.125,0.25,424,381,0,4500.0
4,4500.125,0.25,415,455,0,4500.0
5,4500.125,0.25,484,335,0,4500.0
6,4500.125,0.25,430,458,0,4500.0
7,4500.125,0.25,400,367,0,4500.0
8,4500.125,0.25,441,377,0,4500.0
9,4500.125,0.25,436,301,0,4500.0
10,4500.125,0.25,481,451,0,4500.0
11,4500.125,0.25,453,359,0,4500.0
12,4500.125,0.25,326,457,0,4500.0
13,4500.125,0.25,446,401,0,4500.0
14,4500.125,0.25,459,402,0,4500.0
15,4500.125,0.25,421,440,0,4500.0
16,4500.125,0.25,440,409,0,4500.0
17,4500.125,0.25,347,343,0,4500.0
18,4500.125,0.25,534,463,0,4500.0
19,4500.125,0.25,344,433,0,4500.0
20,4500.125,0.25,463,467,0,4500.0
21,4500.125,0.25,396,416,0,4500.0
22,4500.125,0.25,413,371,0,4500.0
23,4500.125,0.25,505,384,0,4500.0
24,4500.125,0.25,479,455,0,4500.0
25,4500.125,0.25,345,461,0,4500.0
26,4500.125,0.25,509,439,0,4500.0
27,4500.125,0.25,391,420,0,4500.0
28,4500.125,0.25,373,378,0,4500.0
29,4500.125,0.25,384,519,0,4500.0
30,4500.125,0.25,365,378,0,4500.0
31,4500.125,0.25,394,428,0,4500.0
32,4500.125,0.25,417,423,0,4500.0
33,4500.125,0.25,454,428,0,4500.0
34,4500.125,0.25,376,368,0,4500.0
35,4500.125,0.25,431,374,0,4500.0
36,4500.125,0.25,443,310,0,4500.0
37,4500.125,0.25,422,453,0,4500.0
38,4500.125,0.25,536,439,0,4500.0
39,4500.125,0.25,416,410,0,4500.0
40,4500.125,0.25,347,489,0,4500.0
41,4500.125,0.25,490,581,0,4500.0
42,4500.125,0.25,396,384,0,4500.0
43,4500.125,0.25,375,453,0,4500.0
44,4500.125,0.25,435,355,0,4500.0
45,4500.125,0.25,379,387,0,4500.0
46,4500.125,0.25,413,446,0,4500.0
47,4500.125,0.25,396,405,0,4500.0
48,4500.125,0.25,460,420,0,4500.0
49,4500.125,0.25,340,447,0,4500.0
50,4500.125,0.25,398,397,0,4500.0
51,4500.125,0.25,463,426,0,4500.0
