t,mid_price,spread,bid_depth,ask_depth,volume,fundamental,momentum
0,450.015,0.009999999999990905,10,3,60,450.0,0.0
1,450.015,0.009999999999990905,10,11,75,449.83948484773646,0.0
2,449.2,0.009999999999990905,0,107,29,449.4601017286146,0.0
3,449.665,0.009999999999990905,60,26,65,449.6572721769485,-9.063463389340507e-05
4,449.45000000000005,0.0999999999999659,0,18,74,449.3898504598854,-3.4370991235319646e-05
5,449.25,0.0999999999999659,0,26,53,449.30909039613516,-5.65648448809582e-05
6,448.22,0.0999999999999659,0,104,13,448.54929468700175,-7.599097042388828e-05
7,448.92,0.03999999999996362,11,42,115,449.35608991887597,-0.0001869585397140036
8,450.01,0.03999999999996362,90,0,54,450.00173958364667,-9.958487069764043e-05
9,449.735,0.12999999999999545,15,46,61,449.6150366290034,2.664970241835755e-05
10,449.63,0.10000000000002274,0,13,66,449.6816417312721,-5.246999070916512e-06
11,449.6,0.10000000000002274,0,19,71,449.5251692215437,-1.665955313042996e-05
12,450.89,0.10000000000002274,103,0,27,450.5716572306632,-1.91627631023306e-05
13,450.42,0.03999999999996362,52,60,92,450.1278398736827,0.00012505081180955895
14,450.56,0.01999999999998181,25,0,74,450.5395006853393,6.665194613655603e-05
15,449.71000000000004,0.01999999999998181,0,67,44,449.80725581253336,7.88579846625629e-05
16,448.88,0.01999999999998181,0,86,30,449.2076245201912,-1.950106223457684e-05
17,449.07000000000005,0.07999999999998408,37,51,74,449.07281370824563,-0.00011089296580413711
18,449.005,0.05000000000001137,0,29,73,448.85190590227046,-8.418900988705789e-05
19,449.01,0.040000000000020464,1,0,60,448.8506714514806,-8.721726226982145e-05
20,448.12,0.040000000000020464,0,107,36,448.3760893471373,-8.229961558366096e-05
21,448.185,0.029999999999972715,31,59,69,448.21249402226107,-0.000177389910736624
22,447.97,0.029999999999972715,0,77,72,448.011931281145,-0.0001612684194936227
23,447.995,0.009999999999990905,14,73,78,447.98860487510666,-0.00017719638439808234
24,446.85,0.009999999999990905,0,177,33,447.2596302647738,-0.00016554627761042274
25,446.84000000000003,0.009999999999990905,0,65,74,446.93420285662853,-0.0002852241542807675
26,446.71000000000004,0.009999999999990905,0,61,76,446.60291568424833,-0.0002720819028043959
27,447.07500000000005,0.03000000000002956,43,44,89,447.15493750731645,-0.0002730265179676841
28,447.065,0.009999999999990905,1,64,92,447.34044676387276,-0.00021853762819313828
29,447.145,0.06999999999999318,18,48,80,447.4396028179555,-0.00020872913987637288
30,446.37,0.06999999999999318,0,144,34,446.69931296441194,-0.0001893462385111382
31,446.65500000000003,0.009999999999990905,43,48,88,446.7426865629359,-0.0002666150411833332
32,446.495,0.009999999999990905,0,69,80,446.55215322151827,-0.00022137028787270137
33,446.47,0.01999999999998181,3,55,91,446.5225349403986,-0.00022821589783800832
34,445.87,0.01999999999998181,0,127,54,446.0415643821548,-0.00021960476474769698
35,445.84000000000003,0.01999999999998181,0,77,86,445.9294960085104,-0.00027586348144019457
36,446.125,0.029999999999972715,35,67,83,446.20636927676276,-0.00026543462985096435
37,447.115,0.07000000000005002,51,46,101,447.34027186306895,-0.00022021097090628206
38,447.505,0.11000000000001364,59,0,53,447.3417057478642,-9.836790194461934e-05
39,447.365,0.029999999999972715,0,12,68,447.2012956707215,-4.9855575937541795e-05
40,446.33,0.029999999999972715,0,114,15,446.77995392579373,-6.300752778781104e-05
41,446.01,0.029999999999972715,0,109,63,446.2670622139025,-0.00017566852582966114
42,446.685,0.12999999999999545,79,66,90,446.9527901080762,-0.00020274587163374204
43,447.27500000000003,0.12999999999999545,47,37,83,447.26384668888886,-0.00011699483218783233
44,446.94,0.01999999999998181,0,45,73,446.8377908991288,-4.514660231678688e-05
45,446.915,0.029999999999972715,3,7,61,446.92712247869684,-8.035230018327938e-05
46,447.62,0.029999999999972715,81,0,35,447.3111513337608,-7.913155938821033e-05
47,447.1,0.07999999999998408,0,62,58,447.1371914974172,3.636931582453489e-06
48,448.28000000000003,0.07999999999998408,86,0,73,448.0947230163835,-5.466366259906734e-05
49,447.895,0.03000000000002956,10,54,66,447.90720118262743,7.985721772548255e-05
50,446.8,0.03000000000002956,0,87,38,447.05546477158015,3.290399489150024e-05
51,447.03999999999996,0.040000000000020464,29,0,57,447.05886142756754,-9.112934234442202e-05
52,446.44,0.040000000000020464,0,92,48,446.5365230388671,-5.972243154963905e-05
53,446.21000000000004,0.040000000000020464,0,87,59,446.39820048549143,-0.00012388947402630277
54,446.40500000000003,0.009999999999990905,51,60,79,446.49390788194427,-0.00014346097860200242
55,447.78,0.18000000000000682,52,44,85,447.789858569264,-0.00011444200470959742
56,447.22,0.040000000000020464,0,42,68,447.05318649434236,4.505152803244905e-05
57,446.37,0.040000000000020464,0,101,23,446.7865047749464,-1.977088893675687e-05
58,446.645,0.08999999999997499,27,55,75,446.77911158098993,-0.00011390429710410465
59,446.865,0.049999999999954525,19,0,64,446.7348223094797,-7.741452575290501e-05
60,446.59000000000003,0.049999999999954525,0,31,68,446.63037347232836,-4.892180257146756e-05
61,446.78999999999996,0.040000000000020464,30,8,58,446.7657472107768,-7.72551035352446e-05
62,448.0,0.040000000000020464,119,0,17,447.6159448258282,-5.10054577474121e-05
63,447.53,0.020000000000038654,13,61,69,447.4314131347226,8.677215759490523e-05
64,447.515,0.009999999999990905,22,16,50,447.56191177955566,2.9950657667670346e-05
65,448.59000000000003,0.009999999999990905,96,0,38,448.24255410146947,2.6777231393291326e-05
66,448.49,0.10000000000002274,72,9,85,448.2207408266416,0.00014540204770598894
67,448.47,0.01999999999998181,27,2,88,448.35316088243206,0.00012698466743974875
68,448.45500000000004,0.05000000000001137,60,0,79,448.18678551943316,0.00011840568023219153
69,447.095,0.06999999999999318,40,59,82,446.8360670787112,0.00011081301558660504
