path,t,defaulted_cm,cm_kind,n_ported,n_unported,unported_position
5,3839,35,BCM,0,0,0
5,3839,37,BCM,0,0,0
5,3839,39,BCM,0,0,0
5,5339,104,NBCM,1,0,0
11,10619,30,BCM,9,0,0
11,10619,38,BCM,0,0,0
13,11819,104,NBCM,1,0,0
23,12839,35,BCM,0,0,0
23,12839,37,BCM,0,0,0
23,12839,39,BCM,0,0,0
36,13559,34,BCM,7,0,0
36,13559,38,BCM,0,0,0
36,13619,39,BCM,0,0,0
36,13619,103,NBCM,1,0,0
36,13679,100,NBCM,1,0,0
36,14039,32,BCM,4,0,0
36,14039,33,BCM,8,0,0
36,14039,35,BCM,0,0,0
36,14099,31,BCM,4,0,0
36,14099,37,BCM,0,0,0
36,14459,101,NBCM,0,8,3340
36,14459,102,NBCM,0,15,6865
36,14459,104,NBCM,0,3,5975
36,14519,30,BCM,0,12,761
38,6959,30,BCM,7,0,0
38,6959,31,BCM,7,0,0
38,6959,32,BCM,8,0,0
38,6959,36,BCM,0,0,0
38,6959,38,BCM,0,0,0
38,6959,100,NBCM,3,0,0
38,7019,34,BCM,6,0,0
38,7019,101,NBCM,10,1,1436
38,7079,33,BCM,0,4,1481
38,7079,102,NBCM,0,15,3960
38,7079,103,NBCM,0,14,1433
38,7079,104,NBCM,0,7,4859
38,7139,35,BCM,0,0,0
38,7139,37,BCM,0,0,0
38,7139,39,BCM,0,0,0
46,5399,35,BCM,0,0,0
46,5399,37,BCM,0,0,0
46,5399,39,BCM,0,0,0
46,5579,34,BCM,8,0,0
51,15479,103,NBCM,1,0,0
51,15779,34,BCM,4,0,0
51,15779,100,NBCM,2,0,0
51,15779,101,NBCM,9,0,0
51,16019,102,NBCM,8,0,0
56,4499,36,BCM,0,0,0
56,4499,38,BCM,0,0,0
60,4859,104,NBCM,1,0,0
60,5519,103,NBCM,2,0,0
60,5579,102,NBCM,4,0,0
60,15719,35,BCM,0,0,0
60,15719,37,BCM,0,0,0
60,15719,39,BCM,0,0,0
61,14099,33,BCM,8,0,0
61,14099,35,BCM,0,0,0
61,14099,37,BCM,0,0,0
61,14099,39,BCM,0,0,0
64,14879,103,NBCM,2,0,0
71,2099,31,BCM,9,0,0
71,2099,32,BCM,12,0,0
71,2099,36,BCM,0,0,0
71,2099,38,BCM,0,0,0
71,2159,30,BCM,11,0,0
71,2159,33,BCM,5,0,0
71,2159,34,BCM,11,0,0
71,2159,100,NBCM,3,0,0
71,2159,101,NBCM,17,0,0
71,2759,102,NBCM,0,31,10107
71,2759,103,NBCM,0,13,2872
71,2759,104,NBCM,0,17,3228
71,2819,35,BCM,0,0,0
71,2819,37,BCM,0,0,0
71,2819,39,BCM,0,0,0
78,14459,103,NBCM,2,0,0
