path,client_def,cm_def,IM_peak_B,DF_B,deepest_wf
1,1,0,44.02,3.81,0
2,8,0,38.43,2.71,0
3,0,0,40.83,2.53,0
4,0,0,45.78,2.82,0
5,15,4,50.23,3.5,4
6,3,0,44.54,2.69,0
7,1,0,39.8,3.13,0
8,2,0,43.16,3.25,0
9,1,0,54.43,3.19,0
10,0,0,48.85,2.17,0
11,23,2,52.07,3.13,4
12,0,0,47.51,3.7,0
13,11,1,46.22,2.21,3
14,6,0,38.88,2.1,0
15,1,0,39.6,2.6,0
16,2,0,46.6,2.21,0
17,2,0,41.58,2.42,0
18,2,0,43.73,2.56,0
19,6,0,43.19,2.34,0
20,2,0,47.35,3.15,0
21,2,0,44.26,2.5,0
22,6,0,41.66,2.03,0
23,29,3,43.61,2.81,3
24,0,0,49.07,3.42,0
25,9,0,40.4,2.13,0
26,3,0,43.46,2.87,0
27,6,0,47.75,3.88,0
28,5,0,47.1,2.6,0
29,0,0,38.01,2.96,0
30,3,0,39.42,2.28,0
31,3,0,42.46,3.34,0
32,27,0,46.71,4.05,0
33,1,0,43.02,2.19,0
34,2,0,44.99,3.11,0
35,9,0,35.66,2.0,0
36,52,14,54.89,0.0,5
37,3,0,42.02,3.14,0
38,49,15,80.8,0.0,5
39,0,0,50.35,3.18,0
40,6,0,42.66,3.15,0
41,8,0,37.81,1.92,0
42,2,0,44.47,3.44,0
43,1,0,44.41,2.16,0
44,4,0,39.73,2.3,0
45,6,0,43.24,2.39,0
46,23,4,49.66,3.72,4
47,0,0,41.39,3.59,0
48,7,0,48.6,3.04,0
49,0,0,40.92,2.67,0
50,0,0,39.0,2.7,0
51,68,5,53.05,4.6,3
52,16,0,38.69,1.87,0
53,1,0,38.51,2.45,0
54,1,0,44.75,2.38,0
55,2,0,37.9,3.52,0
56,13,2,45.56,2.32,4
57,2,0,43.03,3.95,0
58,3,0,40.71,2.95,0
59,24,0,46.08,1.71,0
60,29,6,43.26,2.35,3
61,26,4,45.89,2.35,4
62,3,0,47.05,3.02,0
63,10,0,49.95,2.39,0
64,3,1,41.89,2.6,3
65,3,0,40.91,3.12,0
66,0,0,40.0,1.99,0
67,1,0,50.15,3.75,0
68,1,0,36.34,2.15,0
69,0,0,45.48,3.13,0
70,3,0,47.71,2.8,0
71,29,15,71.16,0.0,5
72,0,0,44.01,2.55,0
73,13,0,43.09,3.12,0
74,3,0,42.27,1.89,0
75,3,0,37.32,2.38,0
76,0,0,44.54,2.06,0
77,2,0,47.31,3.49,0
78,10,1,41.09,2.38,3
79,0,0,42.36,2.68,0
80,2,0,41.53,2.15,0
