t,client_id,kind,cm_id,cm_kind,shortfall,closeout_loss,im_posted,assumed_pos,regime,seed,margin
6899,68,ZeroIntelligenceTrader,102,NBCM,0.0,0.0,63137965.318183586,205,stressed,42,reactive
8099,1,FundamentalTrader,30,BCM,0.0,0.0,324958964.02499205,850,stressed,42,reactive
8699,6,FundamentalTrader,104,NBCM,0.0,0.0,226347216.34190217,601,stressed,42,reactive
14159,49,MomentumTrader,34,BCM,0.0,0.0,634348208.6611868,-1478,stressed,42,reactive
14159,51,MomentumTrader,102,NBCM,0.0,0.0,413313481.0153741,-963,stressed,42,reactive
14879,91,ZeroIntelligenceTrader,34,BCM,0.0,0.0,105983402.27322036,-235,stressed,42,reactive
14999,79,ZeroIntelligenceTrader,34,BCM,0.0,0.0,105393180.46644604,-230,stressed,42,reactive
15179,57,MomentumTrader,34,BCM,0.0,0.0,770813331.6396103,-1649,stressed,42,reactive
28559,50,MomentumTrader,33,BCM,0.0,0.0,183098762.67945436,-752,stressed,42,reactive
8099,22,FundamentalTrader,31,BCM,0.0,0.0,238716523.2716511,624,stressed,43,reactive
14159,44,MomentumTrader,100,NBCM,0.0,0.0,678166964.7428721,-1581,stressed,43,reactive
14999,63,ZeroIntelligenceTrader,34,BCM,0.0,0.0,155228548.92709404,-339,stressed,43,reactive
17219,96,ZeroIntelligenceTrader,34,BCM,0.0,0.0,163391494.78587914,-374,stressed,43,reactive
20279,14,FundamentalTrader,101,NBCM,0.0,0.0,902982124.1235662,-2517,stressed,43,reactive
28619,83,ZeroIntelligenceTrader,34,BCM,0.0,0.0,125453854.1051868,-511,stressed,43,reactive
28679,52,MomentumTrader,34,BCM,0.0,0.0,188832726.23993817,-766,stressed,43,reactive
28679,90,ZeroIntelligenceTrader,34,BCM,0.0,0.0,189079244.15931147,-767,stressed,43,reactive
28739,51,MomentumTrader,34,BCM,0.0,0.0,86873986.82404715,-352,stressed,43,reactive
8099,17,FundamentalTrader,102,NBCM,0.0,0.0,152234978.5544437,398,stressed,44,reactive
14159,59,MomentumTrader,101,NBCM,0.0,0.0,300519883.7509479,-671,stressed,44,reactive
14999,47,MomentumTrader,101,NBCM,0.0,0.0,442718464.4937356,-967,stressed,44,reactive
15179,73,ZeroIntelligenceTrader,33,BCM,0.0,0.0,63524070.71659393,-136,stressed,44,reactive
