t,defaulted_cm,cm_kind,n_ported,n_unported,unported_position,regime,seed,margin
14159,102,NBCM,0,0,0,stressed,53,reactive
15119,102,NBCM,0,0,0,stressed,57,reactive
28559,104,NBCM,0,0,0,stressed,69,reactive
28679,101,NBCM,1,0,0,stressed,72,reactive
14159,102,NBCM,1,0,0,stressed,73,reactive
20459,101,NBCM,1,0,0,stressed,76,reactive
20279,100,NBCM,1,0,0,stressed,78,reactive
11939,103,NBCM,1,0,0,stressed,82,reactive
14159,101,NBCM,1,0,0,stressed,85,reactive
12179,103,NBCM,1,0,0,stressed,93,reactive
14159,100,NBCM,0,0,0,stressed,95,reactive
14939,102,NBCM,1,0,0,stressed,98,reactive
9719,100,NBCM,1,0,0,stressed,104,reactive
14939,100,NBCM,1,0,0,stressed,106,reactive
14159,101,NBCM,1,0,0,stressed,107,reactive
14999,104,NBCM,0,0,0,stressed,108,reactive
14999,101,NBCM,1,0,0,stressed,113,reactive
9719,103,NBCM,2,0,0,stressed,116,reactive
14999,101,NBCM,1,0,0,stressed,116,reactive
14159,100,NBCM,4,0,0,stressed,118,reactive
14159,104,NBCM,1,0,0,stressed,118,reactive
8099,102,NBCM,1,0,0,stressed,119,reactive
14159,100,NBCM,1,0,0,stressed,119,reactive
14159,100,NBCM,0,0,0,stressed,120,reactive
14999,101,NBCM,1,0,0,stressed,123,reactive
14159,100,NBCM,0,0,0,stressed,125,reactive
14159,101,NBCM,1,0,0,stressed,129,reactive
14159,102,NBCM,0,0,0,stressed,134,reactive
14159,101,NBCM,1,0,0,stressed,135,reactive
14999,100,NBCM,1,0,0,stressed,135,reactive
14999,101,NBCM,1,0,0,stressed,137,reactive
14159,100,NBCM,1,0,0,stressed,142,reactive
6959,100,NBCM,1,0,0,stressed,149,reactive
14999,103,NBCM,1,0,0,stressed,149,reactive
16139,103,NBCM,2,0,0,stressed,157,reactive
14159,100,NBCM,1,0,0,stressed,160,reactive
14879,104,NBCM,1,0,0,stressed,162,reactive
9839,103,NBCM,3,0,0,stressed,166,reactive
12179,101,NBCM,2,0,0,stressed,168,reactive
14999,102,NBCM,1,0,0,stressed,168,reactive
14159,101,NBCM,1,0,0,stressed,171,reactive
14159,102,NBCM,0,0,0,stressed,171,reactive
14939,103,NBCM,1,0,0,stressed,176,reactive
9839,104,NBCM,2,0,0,stressed,178,reactive
14159,101,NBCM,3,0,0,stressed,178,reactive
15179,101,NBCM,1,0,0,stressed,182,reactive
14159,103,NBCM,1,0,0,stressed,185,reactive
14999,102,NBCM,1,0,0,stressed,185,reactive
14159,103,NBCM,0,0,0,stressed,186,reactive
14999,104,NBCM,0,0,0,stressed,186,reactive
28679,104,NBCM,3,0,0,stressed,126,flat04
20399,101,NBCM,3,0,0,stressed,168,flat04
28739,103,NBCM,0,0,0,stressed,45,flat08
14879,104,NBCM,1,0,0,stressed,46,flat08
28559,102,NBCM,0,0,0,stressed,47,flat08
20279,101,NBCM,1,0,0,stressed,49,flat08
16019,102,NBCM,0,0,0,stressed,53,flat08
19859,102,NBCM,0,0,0,stressed,57,flat08
20579,100,NBCM,1,0,0,stressed,58,flat08
16079,101,NBCM,1,0,0,stressed,60,flat08
15119,104,NBCM,1,0,0,stressed,69,flat08
19739,104,NBCM,1,0,0,stressed,72,flat08
28739,101,NBCM,1,0,0,stressed,72,flat08
28559,102,NBCM,0,0,0,stressed,73,flat08
14999,100,NBCM,1,0,0,stressed,78,flat08
16079,103,NBCM,1,0,0,stressed,82,flat08
16079,101,NBCM,1,0,0,stressed,85,flat08
14159,100,NBCM,2,0,0,stressed,89,flat08
14999,103,NBCM,1,0,0,stressed,93,flat08
15119,100,NBCM,1,0,0,stressed,95,flat08
27779,104,NBCM,2,0,0,stressed,97,flat08
19859,103,NBCM,1,0,0,stressed,105,flat08
28799,104,NBCM,1,0,0,stressed,105,flat08
14939,100,NBCM,1,0,0,stressed,106,flat08
14999,102,NBCM,1,0,0,stressed,106,flat08
14159,101,NBCM,1,0,0,stressed,107,flat08
15779,104,NBCM,0,0,0,stressed,108,flat08
19859,101,NBCM,1,0,0,stressed,113,flat08
20579,101,NBCM,1,0,0,stressed,116,flat08
14159,104,NBCM,1,0,0,stressed,118,flat08
17519,100,NBCM,1,0,0,stressed,120,flat08
14999,101,NBCM,1,0,0,stressed,123,flat08
28559,101,NBCM,1,0,0,stressed,129,flat08
28559,101,NBCM,3,0,0,stressed,133,flat08
14999,102,NBCM,1,0,0,stressed,134,flat08
15959,101,NBCM,1,0,0,stressed,135,flat08
20279,100,NBCM,0,0,0,stressed,135,flat08
15779,100,NBCM,1,0,0,stressed,142,flat08
15839,100,NBCM,1,0,0,stressed,143,flat08
27779,103,NBCM,3,0,0,stressed,158,flat08
14999,100,NBCM,1,0,0,stressed,160,flat08
15119,100,NBCM,1,0,0,stressed,164,flat08
15959,100,NBCM,1,0,0,stressed,166,flat08
14159,104,NBCM,1,0,0,stressed,167,flat08
15839,102,NBCM,1,0,0,stressed,168,flat08
14159,101,NBCM,1,0,0,stressed,171,flat08
14159,102,NBCM,2,0,0,stressed,173,flat08
15839,103,NBCM,1,0,0,stressed,176,flat08
19859,100,NBCM,1,0,0,stressed,181,flat08
12179,103,NBCM,1,0,0,stressed,185,flat08
19859,102,NBCM,1,0,0,stressed,185,flat08
14159,104,NBCM,1,0,0,stressed,186,flat08
19859,103,NBCM,1,0,0,stressed,186,flat08
19799,101,NBCM,0,0,0,stressed,188,flat08
19499,103,NBCM,2,0,0,stressed,44,flat12
19859,103,NBCM,1,0,0,stressed,45,flat12
20279,104,NBCM,3,0,0,stressed,45,flat12
19859,103,NBCM,4,0,0,stressed,46,flat12
20399,100,NBCM,0,0,0,stressed,46,flat12
15119,101,NBCM,1,0,0,stressed,49,flat12
20579,100,NBCM,2,0,0,stressed,52,flat12
17519,102,NBCM,1,0,0,stressed,53,flat12
17519,103,NBCM,2,0,0,stressed,54,flat12
20579,100,NBCM,2,0,0,stressed,56,flat12
14159,102,NBCM,1,0,0,stressed,57,flat12
14879,100,NBCM,1,0,0,stressed,58,flat12
14879,101,NBCM,1,0,0,stressed,60,flat12
17519,104,NBCM,3,0,0,stressed,67,flat12
14999,102,NBCM,1,0,0,stressed,70,flat12
14159,104,NBCM,1,0,0,stressed,72,flat12
16019,101,NBCM,0,0,0,stressed,72,flat12
14159,102,NBCM,1,0,0,stressed,73,flat12
19559,100,NBCM,3,0,0,stressed,73,flat12
14939,101,NBCM,1,0,0,stressed,76,flat12
14879,102,NBCM,3,0,0,stressed,77,flat12
12059,100,NBCM,1,0,0,stressed,78,flat12
28739,104,NBCM,2,0,0,stressed,79,flat12
27539,101,NBCM,3,0,0,stressed,81,flat12
14159,101,NBCM,1,0,0,stressed,85,flat12
28499,100,NBCM,4,0,0,stressed,86,flat12
25739,102,NBCM,2,0,0,stressed,89,flat12
28799,101,NBCM,2,0,0,stressed,89,flat12
19859,101,NBCM,2,0,0,stressed,90,flat12
17519,103,NBCM,1,0,0,stressed,93,flat12
14159,102,NBCM,1,0,0,stressed,98,flat12
20459,101,NBCM,5,0,0,stressed,98,flat12
27539,101,NBCM,2,0,0,stressed,100,flat12
27599,101,NBCM,1,0,0,stressed,104,flat12
20339,103,NBCM,1,0,0,stressed,105,flat12
25739,104,NBCM,1,0,0,stressed,105,flat12
14159,102,NBCM,1,0,0,stressed,106,flat12
15839,100,NBCM,1,0,0,stressed,106,flat12
14999,101,NBCM,0,0,0,stressed,113,flat12
