regime,margin,decouple,drawdown,client_defaults,cm_defaults,nbcm_defaults,deepest_waterfall,mutualised_l3,total_df,ccp_cash_used,client_loss_absorbed,im_mean,im_peak
calm,flat05,False,-5.353885090924521,0.0,0.0,0.0,0.0,0.0,4879003644.435938,0.0,0.0,17747424798.941666,21515253509.53125
calm,flat12,False,-5.347462577748322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35353858971.64,41885317102.95
calm,reactive,False,-5.354714011943414,0.0,0.0,0.0,0.0,0.0,6739566547.84875,0.0,0.0,14766770625.347097,17867801354.91452
calm,reactive,True,-5.355128493918734,0.0,0.0,0.0,0.0,0.0,6731795391.13125,0.0,0.0,14755448509.012974,17809079700.792927
calm,static,False,-5.354714011943414,0.0,0.0,0.0,0.0,0.0,6739566547.84875,0.0,0.0,14766770625.347097,17867801354.91452
stressed,flat05,False,-25.559446612490056,4.1,0.05,0.05,0.0,0.0,22158571586.459743,0.0,0.0,16714262559.365671,19454070990.0
stressed,flat12,False,-25.561366138694684,0.65,0.0,0.0,0.0,0.0,10463826027.16712,0.0,0.0,35228274551.740295,40113790502.4
stressed,reactive,False,-25.55944575180046,1.3,0.0,0.0,0.0,0.0,10427747824.285288,0.0,0.0,32582407486.4719,39810897836.4
stressed,reactive,True,-25.559338900765212,1.475,0.0,0.0,0.0,0.0,18908833735.85146,0.0,0.0,31708917325.434185,38481306084.0
stressed,static,False,-25.55944575180046,1.3,0.0,0.0,0.0,0.0,10427747824.285288,0.0,0.0,32582407486.4719,39810897836.4
