member_id,is_banking,is_client,deficit,level,L1_own_df,L2_sitg,L3_pooled_df,L4_survivor_cash,L5_ccp_cash,mutualised,regime,seed,margin
102,False,False,958889936.3181291,3,228536154.92368767,379238859.12000006,351114922.2744413,0.0,0.0,351114922.2744413,stressed,53,reactive
102,False,False,841399510.8715863,3,204424054.44419658,260514025.2,376461431.22738975,0.0,0.0,376461431.22738975,stressed,57,reactive
104,False,False,1454225428.0801253,3,214937330.96064997,345778975.08,893509122.0394754,0.0,0.0,893509122.0394754,stressed,69,reactive
101,False,False,1089259740.276978,3,330373657.29326445,475553760.66,283332322.3237136,0.0,0.0,283332322.3237136,stressed,72,reactive
102,False,False,676110081.1696651,3,190465274.611032,318446428.08,167198378.4786331,0.0,0.0,167198378.4786331,stressed,73,reactive
101,False,False,793753584.6925137,3,219219573.88312697,390068495.52000004,184465515.2893867,0.0,0.0,184465515.2893867,stressed,76,reactive
100,False,False,966912985.0733548,3,255092663.1008535,445362270.54,266458051.43250126,0.0,0.0,266458051.43250126,stressed,78,reactive
103,False,False,745192860.6537331,3,199041907.3434256,375621653.22,170529300.09030747,0.0,0.0,170529300.09030747,stressed,82,reactive
101,False,False,1006119497.7122242,3,249233867.08313248,384365021.04,372520609.5890917,0.0,0.0,372520609.5890917,stressed,85,reactive
103,False,False,812641979.8737634,3,259960506.60929203,501777264.78000003,50904208.48447138,0.0,0.0,50904208.48447138,stressed,93,reactive
100,False,False,1216250690.8417497,3,311222953.35250956,410911712.64000005,494116024.8492401,0.0,0.0,494116024.8492401,stressed,95,reactive
102,False,False,1153869467.675098,3,260469626.29165766,291083745.47999996,602316095.9034402,0.0,0.0,602316095.9034402,stressed,98,reactive
100,False,False,301544307.8608142,2,158576537.7416463,142967770.11916792,0.0,0.0,0.0,0.0,stressed,104,reactive
100,False,False,877430112.9533215,3,284714898.6547177,465977797.56000006,126737416.73860371,0.0,0.0,126737416.73860371,stressed,106,reactive
101,False,False,1284743955.215888,3,333397748.0364572,364205427.96000004,587140779.2194308,0.0,0.0,587140779.2194308,stressed,107,reactive
104,False,False,752689753.6348462,3,170112008.98929054,356275417.74000007,226302326.90555567,0.0,0.0,226302326.90555567,stressed,108,reactive
101,False,False,699401161.907688,3,211217267.99803698,326100453.36,162083440.54965103,0.0,0.0,162083440.54965103,stressed,113,reactive
103,False,False,305963366.87319106,2,226272733.61986548,79690633.25332558,0.0,0.0,0.0,0.0,stressed,116,reactive
101,False,False,825232293.5125374,3,237375480.51809418,349799650.2,238057162.7944432,0.0,0.0,238057162.7944432,stressed,116,reactive
100,False,False,2678323464.5724306,3,876603093.5746139,388766533.32000005,1412953837.6778164,0.0,0.0,1412953837.6778164,stressed,118,reactive
104,False,False,1092854382.0541177,3,220937068.51255342,0.0,871917313.5415642,0.0,0.0,871917313.5415642,stressed,118,reactive
102,False,False,322894412.9256311,2,144099675.771599,178794737.1540321,0.0,0.0,0.0,0.0,stressed,119,reactive
100,False,False,594849717.482501,2,186243787.4041493,408605930.07835174,0.0,0.0,0.0,0.0,stressed,119,reactive
100,False,False,1080369405.8049958,3,210163665.13842914,273144416.15999997,597061324.5065666,0.0,0.0,597061324.5065666,stressed,120,reactive
101,False,False,1032230612.2034509,3,270359047.30774146,397279165.14000005,364592399.75570947,0.0,0.0,364592399.75570947,stressed,123,reactive
100,False,False,1233073630.1724885,3,282666941.28383654,356423667.6,593983021.2886518,0.0,0.0,593983021.2886518,stressed,125,reactive
101,False,False,941055439.0208211,3,287775746.2616005,420194429.82000005,233085262.93922055,0.0,0.0,233085262.93922055,stressed,129,reactive
102,False,False,826859436.0573151,3,191494885.23125884,378760905.6,256603645.22605622,0.0,0.0,256603645.22605622,stressed,134,reactive
101,False,False,939032682.9674281,3,306094539.1481576,412748281.44000006,220189862.37927043,0.0,0.0,220189862.37927043,stressed,135,reactive
100,False,False,916709101.941704,3,262059284.29738918,426315795.84000003,228334021.80431485,0.0,0.0,228334021.80431485,stressed,135,reactive
101,False,False,805322401.6123388,3,240035217.98605856,307699692.3,257587491.32628018,0.0,0.0,257587491.32628018,stressed,137,reactive
100,False,False,988750893.5464904,3,288150263.1840737,408146527.8000001,292454102.5624167,0.0,0.0,292454102.5624167,stressed,142,reactive
