
[MCR calm]  joint 0.0%  (bootstrap ceiling 53.6%, 0% of ceiling)  mean per-moment 20.9%
          moment        emp      CI_lo      CI_hi  model_med   MCR%  self%
         ret_std  0.0002973  0.0002794  0.0003153  0.0003721    0.0   95.7
         acf_r_1  -0.002344  -0.009165   0.004477    0.03634    0.0   94.9
         acf_r_5  -0.002045  -0.008071   0.003981    0.00446   45.0   95.2
        acf_r_10 -0.0001125  -0.005854   0.005629  -0.004854   65.0   95.3
        acf_r_20   0.004796 -0.0004652    0.01006   0.003714   83.8   94.1
      acf_absr_1     0.2955     0.2743     0.3168     0.2235    2.5   94.1
      acf_absr_5     0.2543     0.2337     0.2749     0.1112    0.0   92.3
     acf_absr_10     0.2426     0.2219     0.2634     0.1155    0.0   88.1
     acf_absr_20     0.2167     0.1965     0.2368     0.1031    0.0   75.3
 hill_tail_index      2.958       2.81      3.106      2.607   12.5   94.5

[MCR stressed]  joint 2.5%  (bootstrap ceiling 61.9%, 4% of ceiling)  mean per-moment 86.9%
          moment        emp      CI_lo      CI_hi  model_med   MCR%  self%
         ret_std   0.001823   0.001538   0.002108   0.001811  100.0   95.6
         acf_r_1  -0.005296   -0.01729     0.0067   -0.01017   88.8   95.2
         acf_r_5  -0.001707   -0.01546    0.01205  -0.002373  100.0   94.4
        acf_r_10   -0.00239   -0.01228   0.007505 -0.0006846  100.0   95.4
        acf_r_20  -0.005681   -0.01995   0.008588  -0.004533  100.0   95.8
      acf_absr_1     0.2555     0.2186     0.2924     0.3154    6.2   92.2
      acf_absr_5     0.2189      0.162     0.2758     0.2295  100.0   93.4
     acf_absr_10     0.2006     0.1517     0.2494      0.178   97.5   91.7
     acf_absr_20     0.2047     0.1667     0.2428     0.1748   76.2   83.0
 hill_tail_index      3.179      2.819      3.538      3.018  100.0   95.3
