exp,regime,seed,direct,margin,netting,decouple,drawdown,client_defaults,cm_defaults,nbcm_defaults,deepest_waterfall,mutualised_l3,survivor_l4,total_df,ccp_cash_used,client_loss_absorbed,im_mean,im_peak
H1,calm,42,False,reactive,gross,False,-0.5886233318110334,0,0,0,0,False,False,5753682915.75,0.0,0.0,14301937612.55639,17719167015.0
H1,calm,43,False,reactive,gross,False,-0.5835489927436988,0,0,0,0,False,False,7226920713.375001,0.0,0.0,12907308347.25564,15400052595.0
H1,calm,44,False,reactive,gross,False,-0.5835489927436988,0,0,0,0,False,False,6831197319.375001,0.0,0.0,14880216783.38346,18460153125.0
H1,calm,45,False,reactive,gross,False,-0.5835489927436988,0,0,0,0,False,False,5288029312.5,0.0,0.0,14055093925.37594,16957448437.5
H1,calm,46,False,reactive,gross,False,-0.6241437052823873,0,1,1,0,False,False,7121724742.687501,0.0,0.0,11845944198.101503,14367537225.0
H1,calm,47,False,reactive,gross,False,-0.5784746536763641,0,1,1,0,False,False,6866138942.437501,0.0,0.0,13574931421.466166,16298917740.0
H1,calm,48,False,reactive,gross,False,-0.6038463490130375,0,0,0,0,False,False,6994540061.437501,0.0,0.0,14676049215.845865,18097334482.5
H1,calm,49,False,reactive,gross,False,-0.6444410615517371,0,1,1,0,False,False,7363115669.250001,0.0,0.0,13768786411.2406,16772906925.0
H1,calm,50,False,reactive,gross,False,-0.5886233318110334,0,0,0,0,False,False,5218469350.875,0.0,0.0,12701512716.597744,15448494150.0
H1,calm,51,False,reactive,gross,False,-0.5785920925747368,0,0,0,0,False,False,6420405092.062501,0.0,0.0,15271989982.105263,18257485522.5
H1,calm,52,False,reactive,gross,False,-0.5784746536763641,0,0,0,0,False,False,5182127725.5,0.0,0.0,14087162945.131578,16795222470.0
H1,calm,53,False,reactive,gross,False,-0.5581772974070143,0,1,1,0,False,False,6139978119.000001,0.0,0.0,13433982838.984962,16059814200.0
H1,calm,54,False,reactive,gross,False,-0.6089515883487273,0,0,0,0,False,False,6052477519.687501,0.0,0.0,12266139202.951128,14605907377.5
