regime,margin,decouple,drawdown,client_defaults,cm_defaults,nbcm_defaults,deepest_waterfall,mutualised_l3,total_df,ccp_cash_used,client_loss_absorbed,im_mean,im_peak
calm,flat05,False,-0.5854851633744096,0.0,0.275,0.275,0.0,0.0,7083758749.03125,0.0,0.0,11657710891.148966,14313639130.78125
calm,flat12,False,-0.5871343235712937,0.0,0.0,0.0,0.0,0.0,2280744183.5578127,0.0,0.0,29151250827.9953,36002751384.375
calm,reactive,False,-0.5854851633744096,0.0,0.175,0.175,0.0,0.0,6412379287.050001,0.0,0.0,14058444874.330826,17252974884.375
calm,reactive,True,-0.5854851633744096,0.0,0.175,0.175,0.0,0.0,6412379287.050001,0.0,0.0,14058444874.330826,17252974884.375
calm,static,False,-0.5854851633744096,0.0,0.175,0.175,0.0,0.0,6412379287.050001,0.0,0.0,14058444874.330826,17252974884.375
stressed,flat05,False,-18.75962914415478,1.575,0.35,0.35,0.0,0.0,1720999627.5989513,0.0,920414.1193923069,4723617432.784091,5199538016.25
stressed,flat12,False,-18.7609738782834,1.8,0.0,0.0,0.0,0.0,545424460.9432948,0.0,871056.1157416601,11368593093.0,12530020308.75
stressed,reactive,False,-18.76029975499571,2.3,0.025,0.025,0.0,0.0,694505437.7282597,0.0,1047645.7579862938,12564928148.195055,15476803574.371471
stressed,reactive,True,-18.760749507864713,1.525,0.425,0.425,0.025,0.0,2066769350.3935592,0.0,886051.2900075127,12508508787.441671,15341218139.988653
stressed,static,False,-18.767141534835467,1.725,0.025,0.025,0.0,0.0,573300909.5578159,0.0,980905.2835354742,11235906963.053211,12362875995.271418
