regime,cap,seed,peak_pos,peak_notional,bcm_def,nbcm_def,client_def,deepest,drawdown
calm,on,42,7936.0,31041168000.0,0,0,0,0,-0.5886233318110334
calm,on,43,8975.0,35105992968.75,0,0,0,0,-0.5835489927436988
calm,on,44,8940.0,34964898750.0,0,0,0,0,-0.5835489927436988
calm,on,45,7046.0,27557346375.0,0,0,0,0,-0.5835489927436988
calm,on,46,9613.0,37602451125.0,0,1,0,0,-0.6241437052823873
calm,on,47,9346.0,36559799625.0,0,1,0,0,-0.5784746536763641
calm,on,48,9682.0,37870537875.0,0,0,0,0,-0.6038463490130375
calm,on,49,9329.0,36489800437.5,0,1,0,0,-0.6444410615517371
calm,off,42,29383.0,114929768062.5,0,0,0,0,-0.5886233318110334
calm,off,43,34948.0,136687088625.0,0,0,0,0,-0.5835489927436988
calm,off,44,36733.0,143658171375.0,0,0,0,0,-0.5835489927436988
calm,off,45,31630.0,123695045625.0,0,0,0,0,-0.5835489927436988
calm,off,46,23989.0,93822478312.5,10,5,0,5,-0.6241437052823873
calm,off,47,29962.0,117177636750.0,0,1,0,0,-0.5784746536763641
calm,off,48,32504.0,127134317250.0,0,0,0,0,-0.6038463490130375
calm,off,49,28672.0,112127232000.0,0,1,0,0,-0.6444410615517371
stressed,on,42,878.0,6585658500.0,0,0,7,0,-18.791194009774472
stressed,on,43,882.0,6616984500.0,0,0,2,0,-18.747478370018374
stressed,on,44,800.0,5998500000.0,0,0,3,0,-18.772692635259315
stressed,on,45,791.0,5931906750.0,0,0,2,0,-18.75616536633485
stressed,on,46,775.0,5815696875.0,0,0,1,0,-18.76849941698807
stressed,on,47,774.0,5803548750.0,0,0,2,0,-18.774100977490804
stressed,on,48,755.0,5663915625.0,0,0,2,0,-18.841553554629755
stressed,on,49,813.0,6098414625.0,0,1,0,0,-18.83512544802868
stressed,off,42,11737.0,88093520625.0,3,0,2,4,-18.75084069407703
stressed,off,43,11417.0,85696002000.0,2,0,1,4,-18.75644416550859
stressed,off,44,13919.0,104444696250.0,4,0,3,4,-18.835447577211
stressed,off,45,9990.0,74917507500.0,2,0,5,4,-18.78755268585777
stressed,off,46,14585.0,109469540625.0,1,0,1,4,-18.77298412413669
stressed,off,47,12882.0,96697122750.0,1,1,1,4,-18.774100977490804
stressed,off,48,11327.0,84982233375.0,4,0,3,4,-18.9490659857546
stressed,off,49,12035.0,90271526250.0,2,1,1,4,-18.830645161290327
